,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6251923120489308,0.4935700291842223,0.0088336132466793,0.0133352624252438,0.0045016487129032,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,2,0.7058823529411765,0.8214285714285714,0.6069797651440489,0.4128482481092215,0.0069549111649394,0.0076963626779615,0.0007414516294375,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,3,0.6911764705882353,0.8018867924528302,0.5858247677485148,0.3820671637877821,0.0047576590441167,0.0052791493944823,0.0005214902921579,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,4,0.6985294117647058,0.8193832599118943,0.5837625817340963,0.3576540171243251,0.003564108395949,0.0043741725385189,0.0008100640843622,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,5,0.7720588235294118,0.8436974789915966,0.4713821031299292,0.345816147081554,0.0034891802351921,0.004354665055871,0.0008654848788864,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,6,0.7965686274509803,0.8672,0.4277491724374248,0.3171350767016411,0.0051390067674219,0.0061057987622916,0.0009667918202467,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,7,0.821078431372549,0.8698752228163993,0.3651817199938437,0.2913688616957516,0.0074496874585747,0.008629604242742,0.0011799170169979,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,8,0.8602941176470589,0.8987566607460036,0.3314403799526831,0.2613385358452796,0.0088600926101207,0.0106016984209418,0.001741605810821,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,9,0.8112745098039216,0.8731466227347611,0.4344502760499131,0.233290764035657,0.0102817509323358,0.0120503259822726,0.0017685748171061,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,0.001,10,0.8553921568627451,0.8888888888888888,0.354738211514903,0.2194759443867951,0.0184538327157497,0.0208107475191354,0.0023569138720631,50,-1
