,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.8646039033637327,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.3161764705882353,0.0,1.0751622050416236,0.842905809879303,1.08657986856997e-05,1.635390981391538e-05,5.488110673468327e-06,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6265228688716888,1.0388809416592122,1.769432856235653e-05,5.3544379625236616e-05,3.5850051062880084e-05,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.6740264208877788,0.6106480157971381,2.0830233552260324e-05,2.2911865016794764e-05,2.081632146655465e-06,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.3161764705882353,0.0,0.9003561992271274,0.684702113121748,3.8286780181806535e-05,5.1916456868639216e-05,1.3629674867843278e-05,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,0.7261830124200559,0.9070648077726364,6.774986104574055e-06,1.5966737919370644e-05,9.19175181479659e-06,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,0.6239548635249045,0.7405355392396449,4.679240646510152e-06,6.190111434989376e-06,1.5108707884792238e-06,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6246525464104671,0.6242797642946243,3.262694690420176e-06,3.2744287636887748e-06,1.1734110572092504e-08,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6251836091864342,0.6257344630360604,3.4065242289216258e-06,3.4107274586858694e-06,4.203125403279273e-09,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6245875341050765,0.6227784031629563,3.098507704635267e-06,3.105900077571277e-06,7.392474632439416e-09,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.6242923304146412,0.6217853881120682,3.115883146165288e-06,3.120873543593916e-06,4.990393875914377e-09,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6244820075876573,0.62357114392519,3.1248036975739524e-06,3.1273605145543115e-06,2.556787670471294e-09,50,-1
