,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,1,0.3161764705882353,0.0,37.74210421244303,0.47953135197004304,3.014085054397583,3.959744691848755,0.9456595778465271,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,2,0.6838235294117647,0.8122270742358079,15.772926854152306,9.789621114329227,8.53657054901123,16.329374313354492,7.792803764343262,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,3,0.3161764705882353,0.0,0.7885444351271087,9.309092160415004,7.642165184020996,10.39680290222168,2.7546374797821045,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,4,0.6838235294117647,0.8122270742358079,10.520972756778493,8.843071161711103,8.457623481750488,9.59876823425293,1.141144871711731,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,5,0.6838235294117647,0.8122270742358079,8.1020068841822,10.200048660072008,3.2753868103027344,3.774970769882202,0.4995838403701782,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,6,0.6838235294117647,0.8122270742358079,0.6251261725145227,9.25575081272161,3.319556713104248,3.8268954753875732,0.5073387026786804,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,7,0.6838235294117647,0.8122270742358079,18.178319874931784,8.902794573981748,4.134224891662598,5.6435136795043945,1.5092887878417969,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,8,0.6838235294117647,0.8122270742358079,7.772754388697007,8.979773483332659,5.930287837982178,6.653470039367676,0.7231820821762085,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,9,0.6838235294117647,0.8122270742358079,10.847907795625574,9.620596792738407,3.629481315612793,3.949934482574463,0.3204532265663147,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,10,0.6838235294117647,0.8122270742358079,18.50543353136848,9.038736666430843,4.282689571380615,4.821556568145752,0.5388671159744263,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,11,0.6838235294117647,0.8122270742358079,18.71774387359619,9.132245001771663,5.327645301818848,5.627713680267334,0.300068199634552,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,12,0.6838235294117647,0.8122270742358079,6.625903073479147,8.889589970454942,5.88475227355957,6.912537574768066,1.0277854204177856,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,13,0.6838235294117647,0.8122270742358079,6.3416416504803825,9.282107542932492,4.713378429412842,4.96604585647583,0.25266730785369873,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,14,0.6838235294117647,0.8122270742358079,17.589828435112448,8.844089297852168,4.886747360229492,5.875578880310059,0.988831639289856,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,0.1,SGD,0.1,15,0.6838235294117647,0.8122270742358079,22.72717621747185,9.080528568546828,4.250363349914551,4.7059221267700195,0.4555586576461792,50
