,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,1,0.3161764705882353,0.0,0.7342383207059374,0.6844178674221038,0.00037301325937733054,0.000616588571574539,0.0002435753121972084,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,2,0.3161764705882353,0.0,0.7264142749356288,0.6723672614693642,0.0003771998453885317,0.0005927213933318853,0.00021552154794335365,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,3,0.3161764705882353,0.0,0.7193481641657212,0.6617997009754181,0.0004069645656272769,0.0006043640314601362,0.00019739945128094405,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,4,0.3161764705882353,0.0,0.7119703304533865,0.6523211954832078,0.00040753596113063395,0.0005960706039331853,0.0001885346428025514,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,5,0.3284313725490196,0.035211267605633804,0.7045718805462706,0.6447232360243796,0.000430705287726596,0.0005986497853882611,0.00016794449766166508,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,6,0.4362745098039216,0.4072164948453608,0.694757950072195,0.6317993354797363,0.0004522468661889434,0.0006217780755832791,0.00016953120939433575,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,7,0.6519607843137255,0.7593220338983051,0.6826834152726566,0.6258605206608772,0.0004679305129684508,0.0006273909821175039,0.00015946048370096833,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,8,0.6862745098039216,0.8095238095238095,0.6680408540894004,0.6083733363151551,0.0005455883801914752,0.000719401054084301,0.0001738126593409106,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,9,0.6911764705882353,0.8157894736842105,0.6545456647872925,0.5937523231506348,0.0006202981458045542,0.0007677953108213842,0.00014749715046491474,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.0001,10,0.6862745098039216,0.8134110787172012,0.6426540800169402,0.5773308290839194,0.0007586211431771517,0.0009114838321693242,0.00015286265988834202,50
