,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,1,0.3161764705882353,0.0,0.7396140729679781,0.42232639025338,0.0982481688261032,0.1113538146018982,0.0131056420505046,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,2,0.3161764705882353,0.0,0.7340816119137932,0.4265565740913152,0.1241245567798614,0.1444879919290542,0.0203634314239025,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,3,0.3161764705882353,0.0,0.7307930612096599,0.4167648589364253,0.0822365134954452,0.0961731821298599,0.0139366695657372,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,4,0.3161764705882353,0.0,0.727220804083581,0.4107988533745519,0.122001402080059,0.136844515800476,0.0148431109264492,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,5,0.3161764705882353,0.0,0.7239885657441383,0.4236136413663626,0.0897376984357833,0.1062181517481803,0.0164804570376873,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,6,0.3161764705882353,0.0,0.7211819489796957,0.4147053778711706,0.2842107117176056,0.3142001628875732,0.0299894604831933,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,7,0.3161764705882353,0.0,0.7186570261038986,0.4178398309447803,0.0878418460488319,0.1047626510262489,0.0169208031147718,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,8,0.3161764705882353,0.0,0.7160161943996654,0.4104742837250232,0.0865182727575302,0.1053014174103736,0.0187831427901983,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,9,0.3161764705882353,0.0,0.7135784777940488,0.4118201452959328,0.0793804451823234,0.0929945334792137,0.0136140882968902,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,10,0.3161764705882353,0.0,0.711406926314036,0.4147917479793541,0.4358012080192566,0.4766469001770019,0.0408456996083259,50,-1
