,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.3161764705882353,0.0,0.7352420079941843,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.3161764705882353,0.0,0.7284406680686801,0.7293315747976302,4.5375190893537365e-06,7.266419743245933e-06,2.7289006538921967e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.3161764705882353,0.0,0.7229393194703495,0.7213223972320557,4.787010766449384e-06,7.246359018608928e-06,2.4593482521595433e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.3161764705882353,0.0,0.7178581555684408,0.7133458400964736,4.690127298090374e-06,7.017749794613337e-06,2.327622496522963e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.3161764705882353,0.0,0.7135866272683237,0.7075268335342406,5.525464985112194e-06,7.680723683733959e-06,2.1552586986217648e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.3161764705882353,0.0,0.7089699378200606,0.6986797728538513,4.700099452747963e-06,6.787789516238263e-06,2.0876900634902995e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.3161764705882353,0.0,0.704705110951966,0.6973798073530197,5.309561856847722e-06,7.215664027171442e-06,1.9061023976973956e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.32598039215686275,0.03508771929824561,0.7000778212266809,0.690564171910286,5.3175667744653765e-06,7.222211479529506e-06,1.9046448187509668e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.36519607843137253,0.17777777777777778,0.6963880272472606,0.6859584702253342,6.042412678652909e-06,7.75825265009189e-06,1.7158399714389816e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.553921568627451,0.6192468619246861,0.691677099349452,0.6830906486511231,5.400178451964166e-06,7.182075478340266e-06,1.7818972537497757e-06,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,11,0.6985294117647058,0.8006482982171799,0.6871548552139133,0.6743814244270325,5.822434104629792e-06,7.472025117749581e-06,1.6495907857461134e-06,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,12,0.6985294117647058,0.815592203898051,0.6819484444225535,0.6733210859298706,5.680779395333957e-06,7.265599833772285e-06,1.5848206658120034e-06,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,13,0.6936274509803921,0.8159057437407953,0.6767923130708582,0.6703062802553178,5.799163318442879e-06,7.2784837357176e-06,1.479320417274721e-06,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,14,0.6911764705882353,0.8157894736842105,0.6718067982617546,0.666845517396927,6.373762971634278e-06,7.752469173283316e-06,1.3787060879622004e-06,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,15,0.6862745098039216,0.8134110787172012,0.6661812651391122,0.6622401494979859,6.52474227536004e-06,7.761164852126967e-06,1.2364223493932514e-06,50
