,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,1,0.3161764705882353,0.0,0.7212574037851072,0.479531351970043,3.014085054397583,3.959744691848755,0.9456595778465272,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,2,0.3161764705882353,0.0,0.7022118673605078,0.4665910430262883,17.03253173828125,19.12351417541504,2.0909831523895264,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,3,0.6838235294117647,0.8122270742358079,0.6875398194088655,0.4488264371341211,4.962255954742432,5.907757759094238,0.945501744747162,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,4,0.6838235294117647,0.8122270742358079,0.6760879147286508,0.4356333317947574,7.177083492279053,8.204421043395996,1.0273375511169434,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,5,0.6838235294117647,0.8122270742358079,0.6661604093570336,0.4561132284088526,2.181933879852295,2.6569454669952397,0.4750116467475891,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,6,0.6838235294117647,0.8122270742358079,0.6561029541726205,0.4397514349821723,5.464487075805664,6.395069599151611,0.9305826425552368,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,7,0.6838235294117647,0.8122270742358079,0.6470924791167764,0.4378467495694058,1.5573017597198486,1.9181803464889529,0.3608785569667816,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,8,0.6838235294117647,0.8122270742358079,0.6391248410823298,0.4397706248749745,0.9201942086219788,1.2580747604370115,0.3378805518150329,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,9,0.6838235294117647,0.8122270742358079,0.6330165868880702,0.4259919956602679,0.9452504515647888,1.1830228567123413,0.2377724200487136,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,10,0.6838235294117647,0.8122270742358079,0.6289864486339045,0.4304081936687508,3.4253575801849365,3.91782546043396,0.4924679100513458,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,11,0.6838235294117647,0.8122270742358079,0.6267683067742515,0.4225355657861728,0.5871707201004028,0.7874103784561157,0.2002396583557129,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,12,0.6838235294117647,0.8122270742358079,0.6254301713962181,0.422324332016753,0.407657265663147,0.5330595374107361,0.1254022717475891,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,13,0.6838235294117647,0.8122270742358079,0.6248836382931354,0.4186736588361673,0.4853458702564239,0.6147627830505371,0.1294169127941131,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,14,0.6838235294117647,0.8122270742358079,0.624757646929984,0.4161234423238785,0.4422827363014221,0.5804430246353149,0.1381602883338928,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,15,0.6838235294117647,0.8122270742358079,0.6249641191725638,0.4202436977983453,0.3917074799537658,0.5142364501953125,0.1225289851427078,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,16,0.6838235294117647,0.8122270742358079,0.6254269463174483,0.4088999829154927,0.3408936262130737,0.4346109926700592,0.0937173515558242,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,17,0.6838235294117647,0.8122270742358079,0.6262105212492102,0.4054861694741993,0.2735322713851928,0.3477029502391815,0.0741706788539886,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,18,0.6838235294117647,0.8122270742358079,0.6275062052642598,0.4185950904714409,0.3243204355239868,0.4552225768566131,0.1309021413326263,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,19,0.6838235294117647,0.8122270742358079,0.6295946030055776,0.4085896315788849,0.2653914988040924,0.3441190719604492,0.0787275806069374,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,20,0.6838235294117647,0.8122270742358079,0.6321237624860278,0.4165711873350665,0.2785669863224029,0.3652720153331756,0.0867050215601921,50,-1
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,21,0.6838235294117647,0.8122270742358079,0.6344455094898448,0.4099569517993368,0.2559322714805603,0.3174235820770263,0.0614913068711757,50,-1
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,22,0.6838235294117647,0.8122270742358079,0.6362339299099118,0.4096657667038962,0.2606703341007232,0.3276894986629486,0.0670191720128059,50,-1
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,23,0.6838235294117647,0.8122270742358079,0.6372886744200015,0.4030964997364208,0.2381158024072647,0.320387989282608,0.0822721868753433,50,-1
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,24,0.6838235294117647,0.8122270742358079,0.6379369836227566,0.4092301037008874,0.2519518435001373,0.3113419115543365,0.0593900643289089,50,-1
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,25,0.6838235294117647,0.8122270742358079,0.6379156965835422,0.4124623163016512,0.2896878719329834,0.3700026273727417,0.0803147554397583,50,-1
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,26,0.6838235294117647,0.8122270742358079,0.6373727894296833,0.4114672573613934,0.2885796129703522,0.3481496274471283,0.0595700107514858,50,-1
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,27,0.6838235294117647,0.8122270742358079,0.6380687601426068,0.4136354800476692,0.4765257239341736,0.581579864025116,0.1050541549921035,50,-1
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,28,0.6838235294117647,0.8122270742358079,0.638096012321173,0.4061150337522849,0.2486898303031921,0.3100999891757965,0.0614101663231849,50,-1
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,29,0.6838235294117647,0.8122270742358079,0.637586285086239,0.4024999150866642,0.2738877832889557,0.3339961767196655,0.0601084046065807,50,-1
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,30,0.6838235294117647,0.8122270742358079,0.6369630039906969,0.3975653820214793,0.2691540718078613,0.3099429309368133,0.0407888740301132,50,-1
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,31,0.6838235294117647,0.8122270742358079,0.6357876284449708,0.4058940623234958,0.271174818277359,0.3311497867107391,0.0599749684333801,50,-1
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,32,0.6838235294117647,0.8122270742358079,0.634665849162083,0.3979271696079521,0.2713186144828796,0.3212558627128601,0.0499372407793998,50,-1
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,33,0.6838235294117647,0.8122270742358079,0.6339487076974383,0.4023349787285551,0.2546895146369934,0.3050228059291839,0.0503332838416099,50,-1
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,34,0.6838235294117647,0.8122270742358079,0.6330797917702619,0.4115528074200265,0.2966124713420868,0.3567996621131897,0.0601872019469738,50,-1
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,35,0.6838235294117647,0.8122270742358079,0.6323549881869671,0.4079890107065439,0.2759248316287994,0.3169553875923157,0.0410305447876453,50,-1
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,36,0.6838235294117647,0.8122270742358079,0.6317015284416723,0.3998525981362909,0.2568759620189667,0.3105181157588959,0.0536421462893486,50,-1
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,37,0.6838235294117647,0.8122270742358079,0.6312282389285517,0.3977223073560744,0.2716312110424042,0.3231651484966278,0.0515339486300945,50,-1
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,38,0.6838235294117647,0.8122270742358079,0.6304861786318761,0.4021352129559964,0.2643535733222961,0.3072712421417236,0.0429176613688468,50,-1
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,0.1,39,0.6838235294117647,0.8122270742358079,0.6297920492349887,0.398927770554088,0.2387550473213195,0.2767629325389862,0.0380078889429569,50,-1
