,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6757619205643149,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6297298675658656,0.6634788202047347,4.450095275387866e-06,5.383696134231286e-06,9.336009156868386e-07,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6182398609086579,0.6320823736786843,6.246096745599061e-06,6.456438768509543e-06,2.1034205133219078e-07,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.6172082465068967,0.6157396408319473,5.938075446465518e-06,5.987625627312809e-06,4.9550017422461685e-08,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.6088140127705592,0.6267241952419281,7.1659078457742e-06,7.358461971307406e-06,1.925542250091894e-07,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,0.6413280616203944,0.6020676006972788,1.035667537507834e-05,1.0652015589585062e-05,2.9534035661527014e-07,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,0.6156115041059607,0.6085290673971177,1.839256219682284e-05,2.082479295495432e-05,2.432230985505157e-06,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.622425844856337,0.6103015530109406,9.10560538613936e-06,9.679602044343484e-06,5.739968855777988e-07,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.615183542172114,0.6153610512614248,8.274159881693777e-06,8.554866326448973e-06,2.807065300203249e-07,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6013652869299346,0.608566382408142,6.7903665694757365e-06,7.028956588328583e-06,2.385898483225901e-07,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.5845691193552578,0.5977562001347542,6.808611942688003e-06,7.08051538822474e-06,2.719034739584459e-07,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6047965767336827,0.5788646306991577,8.493319910485297e-06,8.709815119800624e-06,2.164949535199412e-07,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.6862745098039216,0.8134110787172012,0.5516377488772074,0.5687202265858651,1.6387102732551284e-05,1.806628461054061e-05,1.679181082181458e-06,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.7058823529411765,0.8148148148148148,0.5227787944616056,0.5326467337012291,1.648962643230334e-05,1.6835139831528068e-05,3.4551302974250575e-07,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,15,0.7426470588235294,0.8372093023255814,0.5705142668357083,0.5228128944635391,1.9548795535229143e-05,2.4767668946878985e-05,5.218873411649838e-06,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,16,0.7965686274509803,0.8551483420593369,0.4555127533043132,0.4748175705820321,4.343002729001455e-05,4.933715899824165e-05,5.907130798732396e-06,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,17,0.821078431372549,0.87893864013267,0.4114844628116664,0.4214493226259946,3.8706981285940856e-05,4.168899613432586e-05,2.982015757879708e-06,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,18,0.8357843137254902,0.8842832469775475,0.3983871369969611,0.3609487963914871,4.78922993352171e-05,4.85245582240168e-05,6.322600256680744e-07,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,19,0.8333333333333334,0.8759124087591241,0.3865931665926587,0.3170869988277555,5.581712684943341e-05,5.751673597842455e-05,1.6996106069200323e-06,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,20,0.7181372549019608,0.8291233283803864,0.9253698498120204,0.2907363900355995,4.3733725760830566e-05,5.103435250930488e-05,7.300628112716367e-06,50,-1
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,21,0.5808823529411765,0.5581395348837209,1.0536731329618716,0.3875565122608095,6.407532782759517e-05,0.0001964642433449,0.0001323889155173,50,-1
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,22,0.8504901960784313,0.8950086058519794,0.3679619411043092,0.5139982034265996,6.898882566019893e-05,0.0003512848052196,0.0002822959795594,50,-1
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,23,0.7254901960784313,0.8323353293413174,0.5655296313412049,0.3402100074142217,3.7174941098783165e-05,4.3202882807236165e-05,6.027940344210947e-06,50,-1
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,24,0.7328431372549019,0.8360902255639098,0.5840625394062668,0.3928719364330172,5.231668910710141e-05,8.555372914997861e-05,3.32370400428772e-05,50,-1
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,25,0.8651960784313726,0.9063032367972744,0.3429085799292022,0.3714797547422349,5.423991751740687e-05,9.27831424633041e-05,3.854322494589724e-05,50,-1
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,26,0.8480392156862745,0.8793774319066148,0.3465766982704985,0.2880153684392572,2.922099156421609e-05,3.0300883736344986e-05,1.0798925131894066e-06,50,-1
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,27,0.8774509803921569,0.9067164179104478,0.3001765918497945,0.3624337340742349,3.238329372834414e-05,7.862855272833258e-05,4.624525899998844e-05,50,-1
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,28,0.8578431372549019,0.9023569023569024,0.4546788036914579,0.288655936382711,2.834827682818286e-05,5.265786239760928e-05,2.4309585569426417e-05,50,-1
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,29,0.8284313725490197,0.8859934853420195,0.6345222567153328,0.2417533573238179,4.8696652811486274e-05,5.848348882864229e-05,9.786835107661318e-06,50,-1
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,30,0.8578431372549019,0.8982456140350877,0.3896168165785424,0.2741384375169873,6.0953541833441705e-05,0.0001038856353261,4.29320934927091e-05,50,-1
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,31,0.8333333333333334,0.8666666666666667,0.4099259366664816,0.2043076574821025,4.144836202613078e-05,4.4479613279690966e-05,3.031251935681212e-06,50,-1
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,32,0.8602941176470589,0.8942486085343229,0.3458652877084472,0.2238998268917203,3.3481632272014394e-05,7.485503010684624e-05,4.137339783483185e-05,50,-1
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,33,0.8480392156862745,0.8970099667774086,0.4279024841391718,0.1729784634169191,3.040541196241975e-05,4.513503154157661e-05,1.472961957915686e-05,50,-1
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,34,0.8504901960784313,0.900163666121113,0.5117241272282805,0.1611157803470268,3.0543465982191265e-05,4.012029603472911e-05,9.576830962032544e-06,50,-1
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,35,0.8946078431372549,0.925476603119584,0.333537207112885,0.1637578157847747,3.457598722889088e-05,5.6016036978689954e-05,2.1440049749799076e-05,50,-1
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,36,0.8725490196078431,0.9033457249070632,0.3312417845625211,0.1243331700051203,2.270563891215716e-05,2.3489477825933136e-05,7.838384021852107e-07,50,-1
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,37,0.8970588235294118,0.925,0.321645844303181,0.1196975688505917,2.557219340815209e-05,5.357472036848776e-05,2.8002526960335672e-05,50,-1
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,38,0.8774509803921569,0.9149659863945578,0.4386828138821703,0.0973738686800934,2.869851959985681e-05,3.452427336014807e-05,5.825752850796562e-06,50,-1
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,39,0.8602941176470589,0.9051580698835274,0.5215719321642217,0.0763142848405987,2.2463744244305417e-05,2.8364718673401512e-05,5.9009735196013935e-06,50,-1
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,40,0.8872549019607843,0.9198606271777005,0.4181920401318291,0.0749228929057717,2.632995528983884e-05,3.951986946049146e-05,1.318991508014733e-05,50,-1
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,41,0.8946078431372549,0.9225225225225224,0.382289754231369,0.0558113674628548,1.8319376977160573e-05,1.944046016433276e-05,1.121082505051163e-06,50,-1
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,42,0.9019607843137256,0.92831541218638,0.3792037236613824,0.0631875541736371,1.3490946912497748e-05,2.3868889911682345e-05,1.0377942999184596e-05,50,-1
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,43,0.8872549019607843,0.9198606271777005,0.4134440996191081,0.0462003992530517,1.0597425898595247e-05,1.333027375949314e-05,2.7328480882715667e-06,50,-1
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,44,0.8799019607843137,0.9165247018739352,0.4748305732900204,0.0370901509707327,9.977190529752988e-06,1.0420767466712276e-05,4.4357724959809285e-07,50,-1
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,45,0.8921568627450981,0.9241379310344828,0.4405911105283189,0.0340968026395421,1.1446611097198913e-05,1.549150147184264e-05,4.044890374643728e-06,50,-1
