,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,2.3647216569515876,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,2,0.3161764705882353,0.0,125.15925059599034,1.9997466330696478,6.400315032806247e-05,0.00011603417806327343,5.2031027735210955e-05,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,3,0.3161764705882353,0.0,66.11233183916877,125.68144900512695,4.0065948269329965e-05,0.00022191093012224883,0.00018184498185291886,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,5.179941857562346,66.59807015800477,4.040611383970827e-05,0.00022396071290131658,0.00018355459906160831,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,25.977805530323703,5.05672496610445,3.944251511711627e-05,7.691766222706065e-05,3.747514710994437e-05,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,35.955839718089386,25.36447377586365,4.0336581150768325e-05,7.717474363744259e-05,3.6838162486674264e-05,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,37.55751531264361,35.42933864784241,4.0087725210469216e-05,7.751839439151809e-05,3.743066918104887e-05,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,32.55366437575396,36.80139161491394,4.0075279684970155e-05,7.714727689744905e-05,3.707199721247889e-05,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,22.179806428797104,31.952288166046138,3.997741805505939e-05,7.72442581364885e-05,3.726684008142911e-05,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,7.4192310501547425,21.572916858673096,4.0335966332349926e-05,7.695656677242368e-05,3.662060044007376e-05,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,11,0.3161764705882353,0.0,23.81960947373334,7.159756675839425,3.985944204032421e-05,7.645566802239046e-05,3.6596225982066244e-05,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,12,0.3161764705882353,0.0,31.61548951092888,23.74669897842407,3.994231519754976e-05,0.0002218096487922594,0.00018186733359470963,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,13,0.3161764705882353,0.0,16.411058706395767,31.539431682586667,3.98450210923329e-05,0.00022125887335278094,0.00018141385226044804,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,7.492512338301715,16.393063543379306,4.038705083075911e-05,0.000223688010009937,0.00018330095917917788,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,16.780634431278003,7.303535409092904,3.981482223025523e-05,7.721759902779013e-05,3.74027767975349e-05,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,20.996619505040787,16.368204759597777,4.0287231968250126e-05,7.706040923949331e-05,3.6773177271243185e-05,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,20.703552470487708,20.555327300071717,4.026862734463066e-05,7.733201346127316e-05,3.7063386116642505e-05,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,16.410735466900995,20.205357443809508,3.97594048990868e-05,7.667692261748016e-05,3.6917517718393356e-05,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,8.550121195176068,16.03970767402649,4.0239785448648036e-05,7.719115819782019e-05,3.695137274917215e-05,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,20,0.3161764705882353,0.0,5.453976280548993,8.377182754993438,4.009020631201565e-05,7.747716153971851e-05,3.7386955227702856e-05,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,21,0.3161764705882353,0.0,7.883200093811634,5.270445071782568,3.946098149754107e-05,0.00021709610882680863,0.00017763512732926756,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,22,0.6838235294117647,0.8122270742358079,3.4853842048005923,7.730959252268822,3.991970152128488e-05,0.00022180676751304418,0.0001818870659917593,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,23,0.6838235294117647,0.8122270742358079,6.301312727086684,3.2829372281497,4.0254835766972974e-05,7.618625386385247e-05,3.59314180968795e-05,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,24,0.6838235294117647,0.8122270742358079,5.174017408314874,6.08835492080412,4.0201284718932584e-05,7.718936103628948e-05,3.69880763173569e-05,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,25,0.6838235294117647,0.8122270742358079,0.6724841060007319,5.060229629116815,3.995220686192624e-05,7.738448766758665e-05,3.743228080566041e-05,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,26,0.3161764705882353,0.0,7.942493485469444,1.0779119101688264,3.4267835872014984e-05,3.433240999584086e-05,6.457548806793056e-08,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,27,0.6838235294117647,0.8122270742358079,0.8083096533721569,7.740453645210081,4.029132833238691e-05,0.00022294842347037047,0.00018265709513798356,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,28,0.6838235294117647,0.8122270742358079,3.9131104151402796,1.1259534152969717,3.722510882653296e-05,3.8928956200834364e-05,1.7038461237461888e-06,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,29,0.6838235294117647,0.8122270742358079,3.171036661783029,3.760697344470335,4.017361789010465e-05,7.69893013057299e-05,3.6815683415625244e-05,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,AdamW,0.1,SGD,1e-05,30,0.3161764705882353,0.0,2.4972439934225643,3.0427894931367043,4.023694054922089e-05,7.698126864852384e-05,3.674432809930295e-05,50
