,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,1,0.6838235294117647,0.8122270742358079,1.2812246420950282,0.4935700291842223,0.0088336132466793,0.0133352624252438,0.0045016487129032,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,2,0.3161764705882353,0.0,1.4835420636569752,0.4443885665610433,0.012910634279251,0.0176110472530126,0.0047004129737615,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6283294254658269,0.4001107188579625,0.0028816051781177,0.0061068260110914,0.0032252208329737,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,4,0.6838235294117647,0.8122270742358079,0.8727396986648148,0.4123157692328095,0.0065354402177035,0.0071974471211433,0.0006620070780627,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,5,0.6838235294117647,0.8122270742358079,0.6297557120229683,0.5558121748669074,0.0197919812053442,0.0366347394883632,0.016842758283019,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,6,0.3161764705882353,0.0,0.9231177533374112,0.4368029734939337,0.00839021243155,0.0085283676162362,0.0001381549518555,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6445012729541928,0.4749327082037925,0.008129714988172,0.0157167147845029,0.0075869997963309,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6247814946314868,0.4264696478247643,0.0081151183694601,0.0084227593615651,0.0003076413413509,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6437784561923906,0.4160398215875029,0.0063764541409909,0.006503933109343,0.0001274790993193,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,10,0.6838235294117647,0.8122270742358079,1.2644222789973605,0.4003359679169953,0.0042989463545382,0.004867976065725,0.0005690298858098,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,11,0.3161764705882353,0.0,0.9200355270329644,0.444352506166324,0.0056516090407967,0.0121536692604422,0.0065020602196455,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,12,0.3161764705882353,0.0,0.7012844588242325,0.4670196256488562,0.0079427156597375,0.0157466977834701,0.0078039816580712,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6651659885457918,0.4269048660248518,0.0070525226183235,0.0089830132201313,0.0019304907182231,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,14,0.6838235294117647,0.8122270742358079,0.8393998495211789,0.4056335366517306,0.0068484409712255,0.0072118202224373,0.0003633793676272,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,15,0.6838235294117647,0.8122270742358079,0.8178457293440314,0.4267275934368372,0.0058344402350485,0.0091308690607547,0.0032964288257062,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,16,0.6838235294117647,0.8122270742358079,0.6694649457931519,0.4110746373832226,0.0053620338439941,0.008105032145977,0.0027429985348135,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,17,0.6838235294117647,0.8122270742358079,0.6368369799034268,0.3962574025467037,0.0051049552857875,0.0055801733396947,0.0004752180830109,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,18,0.3161764705882353,0.0,0.7543622921494877,0.4009455967694521,0.0043938248418271,0.0046617095358669,0.0002678845485206,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,19,0.3161764705882353,0.0,0.816385756520664,0.4022946891337633,0.0046003945171833,0.0058913207612931,0.0012909261276945,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,20,0.3161764705882353,0.0,0.742868979771932,0.4082930760011077,0.0045055751688778,0.0064415335655212,0.001935958280228,50,-1
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,21,0.6838235294117647,0.8122270742358079,0.6441449978772331,0.4051527019143104,0.0043240110389888,0.0055253528989851,0.0012013418599963,50,-1
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,22,0.6838235294117647,0.8122270742358079,0.6305640281415453,0.397516776818782,0.0042026974260807,0.0044602937996387,0.000257596373558,50,-1
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,23,0.6838235294117647,0.8122270742358079,0.6884903183170393,0.3878535410910845,0.0040885191410779,0.0041108909063041,2.237191620224621e-05,50,-1
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,24,0.6838235294117647,0.8122270742358079,0.7363498158314649,0.3935621993876994,0.0040756897069513,0.0046152942813932,0.0005396047490648,50,-1
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,25,0.6838235294117647,0.8122270742358079,0.7352704397019219,0.4023556466773152,0.0041535077616572,0.004959990736097,0.0008064827416092,50,-1
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,26,0.6838235294117647,0.8122270742358079,0.686561646414738,0.403792483665049,0.0040695518255233,0.0051579265855252,0.0010883745271712,50,-1
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,27,0.6838235294117647,0.8122270742358079,0.6362325870523265,0.3952822833396495,0.0038439179770648,0.0043785898014903,0.0005346717662177,50,-1
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,28,0.6838235294117647,0.8122270742358079,0.6260086765476301,0.3946917186453939,0.0037329241167753,0.0038064604159444,7.353629189310595e-05,50,-1
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,29,0.6838235294117647,0.8122270742358079,0.6524769406692654,0.38949136184901,0.0038074627518653,0.0038854223676025,7.795959390932694e-05,50,-1
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,30,0.6838235294117647,0.8122270742358079,0.679512573223488,0.3916443698182702,0.0039161443710327,0.004182371776551,0.0002662272308953,50,-1
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,31,0.6838235294117647,0.8122270742358079,0.6734278727980221,0.3990311753638089,0.0038169976323843,0.0044903098605573,0.000673312228173,50,-1
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,32,0.6838235294117647,0.8122270742358079,0.6454241649777281,0.3920475838035345,0.0038314443081617,0.0043696565553545,0.0005382121889851,50,-1
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,33,0.6838235294117647,0.8122270742358079,0.6257908513732985,0.391565322637558,0.0038267010822892,0.0040233167819678,0.0001966158160939,50,-1
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,34,0.6838235294117647,0.8122270742358079,0.6281929869277805,0.3948825212344527,0.0038970708847045,0.0039534480310976,5.637724461848848e-05,50,-1
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,35,0.6838235294117647,0.8122270742358079,0.6463769171752182,0.3993160587809981,0.0036503719165921,0.0036722396034747,2.1867766918148845e-05,50,-1
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,36,0.6838235294117647,0.8122270742358079,0.6624468004002291,0.3875855212919413,0.0034961821511387,0.0036374970804899,0.0001413149293512,50,-1
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,37,0.6838235294117647,0.8122270742358079,0.6645848753989911,0.3883043687641621,0.003627257887274,0.0038622438441962,0.0002349860151298,50,-1
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,38,0.6838235294117647,0.8122270742358079,0.6538855363340939,0.3935974597595632,0.0035209760535508,0.003726951777935,0.0002059758116956,50,-1
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,39,0.6838235294117647,0.8122270742358079,0.635765577063841,0.3917976988554,0.003356717294082,0.0036055042874068,0.000248786935117,50,-1
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,40,0.6838235294117647,0.8122270742358079,0.6249494166935191,0.392337011910975,0.0036405220162123,0.0036926895845681,5.216749559622258e-05,50,-1
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,41,0.6838235294117647,0.8122270742358079,0.6265893812273063,0.3918652880080044,0.0034714052453637,0.0034971707500517,2.5765501050045717e-05,50,-1
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,42,0.6838235294117647,0.8122270742358079,0.6352007190386454,0.3864108743146062,0.0033593832049518,0.003438422223553,7.903906953288242e-05,50,-1
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,43,0.6838235294117647,0.8122270742358079,0.638127208924761,0.3923239839449525,0.0035083550028502,0.0036943515297025,0.0001859966432675,50,-1
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,44,0.6838235294117647,0.8122270742358079,0.6334455381421482,0.3870425355844199,0.003570077707991,0.0037245906423777,0.0001545130216982,50,-1
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,45,0.6838235294117647,0.8122270742358079,0.6264005145605873,0.3893270460218191,0.0037429337389767,0.0038647723849862,0.0001218386751133,50,-1
45,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,46,0.6838235294117647,0.8122270742358079,0.6240417174264496,0.3923313749320805,0.0036388984881341,0.0036872096825391,4.831126352655701e-05,50,-1
46,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,47,0.6838235294117647,0.8122270742358079,0.6263010092810088,0.3935915908887982,0.0031043053604662,0.003140915185213,3.660984293674119e-05,50,-1
47,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,48,0.6838235294117647,0.8122270742358079,0.6277765695955239,0.3878895921632647,0.0034803485032171,0.0035556815564632,7.533296593464911e-05,50,-1
48,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,49,0.6838235294117647,0.8122270742358079,0.6274349046688453,0.3934718020409345,0.0037380480207502,0.0037830432411283,4.499521310208365e-05,50,-1
49,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,50,0.6838235294117647,0.8122270742358079,0.6258272996135786,0.3934718818254769,0.0035882117226719,0.0036247153766453,3.6503646697383374e-05,50,-1
50,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,51,0.6838235294117647,0.8122270742358079,0.6245690519903221,0.389418236143887,0.0032012932933866,0.0032157686073333,1.4475339412456378e-05,50,-1
51,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,0.001,52,0.6838235294117647,0.8122270742358079,0.6241192028802984,0.3845714253932237,0.0036720361094921,0.0036868907045572,1.4854595065116882e-05,50,-1
