,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.8700872177586836,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,2,0.3161764705882353,0.0,0.8712928470443276,0.8514590682983398,1.1614762115641497e-05,1.7345497326459736e-05,5.7307356655655894e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6420735705132578,0.857266185581684,1.2241985132277478e-05,2.7104959372081794e-05,1.4862974239804316e-05,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,1.0411355920574243,0.6489934387207031,6.758627023373265e-06,7.942572665342595e-06,1.1839457556561683e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.63777035650085,0.9892073297500612,1.3708441656490322e-05,2.2978083507041447e-05,9.269641850551125e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,0.6445061237204308,0.6434588763117789,3.420374468987575e-06,3.7326030906115193e-06,3.122285363588162e-07,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,0.6752961453269509,0.6398198519349099,3.4628467346919933e-06,3.580380280254758e-06,1.1753363082789292e-07,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6299654496651069,0.6642424561977387,3.642426008809707e-06,4.213137799524702e-06,5.70711790714995e-07,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6270137493516884,0.6318387605547906,3.72637578038848e-06,3.7382590107881697e-06,1.1883267703183265e-08,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6281964843179665,0.6338667931854725,3.3896524200827116e-06,3.5260109143564478e-06,1.363584658520267e-07,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.6240232534268323,0.6315092873871327,3.339585873618489e-06,3.4543184028734686e-06,1.1473264294181718e-07,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6318969405164906,0.6252642896771431,3.2443663258163724e-06,3.2508557978871977e-06,6.489368153950181e-09,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,13,0.6838235294117647,0.8122270742358079,0.6312925710397608,0.6331335596442221,3.390761094124173e-06,3.4810580018529436e-06,9.029692904505282e-08,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,0.6239556109204012,0.6356137051582337,3.437072336964775e-06,3.522432962199673e-06,8.536066786746233e-08,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,0.6285317399922539,0.6289577280879021,3.577230472728843e-06,3.588553681765916e-06,1.1323255222350781e-08,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,0.627237364357593,0.6281573494672774,3.714834974744008e-06,3.817004653683398e-06,1.0216957946340699e-07,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,0.6242250139806785,0.6240368678271772,3.6542428460961673e-06,3.7130212149349973e-06,5.8778379496970956e-08,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,0.6263460160470476,0.6241311044692993,3.6278531752031995e-06,3.640512431957177e-06,1.2659350900889876e-08,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,0.6240412248115913,0.6263971112370491,3.7945205804135185e-06,3.86540114050149e-06,7.088048903369781e-08,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,20,0.6838235294117647,0.8122270742358079,0.6271209751858431,0.6193272506594658,3.6846272450929973e-06,3.686810259750928e-06,2.183114800047292e-09,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,21,0.6838235294117647,0.8122270742358079,0.6260741423158085,0.6198473994731903,3.6001861190015916e-06,3.6399503642314812e-06,3.976429496788114e-08,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,22,0.6838235294117647,0.8122270742358079,0.6240575833647859,0.6212410130500794,3.877692961395951e-06,3.910357008862775e-06,3.266402615054176e-08,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,23,0.6838235294117647,0.8122270742358079,0.6253243071191451,0.6147393468022345,3.775971208597184e-06,3.787605237448588e-06,1.1633944474453983e-08,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,24,0.6838235294117647,0.8122270742358079,0.6239606662123811,0.620286396920681,3.873406058119144e-06,3.921487859770423e-06,4.808178033499644e-08,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,25,0.6838235294117647,0.8122270742358079,0.6250623131499571,0.6189708604216576,3.932909294235287e-06,3.935505446861498e-06,2.59619303832892e-09,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,26,0.6838235294117647,0.8122270742358079,0.6240893280973622,0.6225435777306555,3.963516519434052e-06,3.987334821431432e-06,2.3818172323331055e-08,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,27,0.6838235294117647,0.8122270742358079,0.6245138995787677,0.6190068796873092,4.116167929169023e-06,4.121483470953535e-06,5.315601292465999e-09,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,28,0.6838235294117647,0.8122270742358079,0.624088644397025,0.6221037412881851,4.106809683435131e-06,4.1240782593376935e-06,1.7268497742861655e-08,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,29,0.6838235294117647,0.8122270742358079,0.6242818481781903,0.618757312119007,4.396226813696558e-06,4.401449587021489e-06,5.222858590059332e-09,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,30,0.6838235294117647,0.8122270742358079,0.62416832762606,0.6159595552086831,4.288638137950329e-06,4.293080564821139e-06,4.442644918611904e-09,50
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,31,0.6838235294117647,0.8122270742358079,0.62443041509273,0.6207208712100982,4.409337634569965e-06,4.4174635149829555e-06,8.125808470538232e-09,50
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,32,0.6838235294117647,0.8122270742358079,0.6241887872125588,0.6176388483643532,4.982076916348888e-06,4.997811174689559e-06,1.5734363145725183e-08,50
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,33,0.6838235294117647,0.8122270742358079,0.624000248371386,0.6159309222102165,5.244083240540931e-06,5.257039902062388e-06,1.2956841821676335e-08,50
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,34,0.6838235294117647,0.8122270742358079,0.6245022188214695,0.6187942640185355,5.754412086389493e-06,5.758392489951802e-06,3.980483054277784e-09,50
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,35,0.6838235294117647,0.8122270742358079,0.6611568787518669,0.6204131798744202,6.210025730979396e-06,6.249759735510452e-06,3.9734047163619834e-08,50
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,36,0.6838235294117647,0.8122270742358079,0.7274987507684558,0.6460851539969446,8.952238204074092e-06,1.0325514267606195e-05,1.3732762909057783e-06,50
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,37,0.6838235294117647,0.8122270742358079,0.6553931817704556,0.7125380578525364,5.0010503400699235e-06,6.42524264549138e-06,1.4241920780477813e-06,50
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,38,0.6838235294117647,0.8122270742358079,0.630792402753643,0.6496257911026478,4.875344529864378e-06,5.410323410615092e-06,5.349786533770384e-07,50
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,39,0.6838235294117647,0.8122270742358079,0.671347392540352,0.6299643885493278,5.274207978800405e-06,5.4807073865958955e-06,2.064996067474567e-07,50
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,40,0.6838235294117647,0.8122270742358079,0.6308451686419693,0.6702724608182907,5.385033546190243e-06,6.690018835797673e-06,1.3049850622337544e-06,50
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,41,0.6838235294117647,0.8122270742358079,0.635682472411324,0.6260447517633437,5.208425591263222e-06,5.425598828878719e-06,2.1717339393489965e-07,50
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,42,0.6838235294117647,0.8122270742358079,0.6591883395232406,0.6235856545269489,5.070213319413597e-06,5.206482001085533e-06,1.3626882378048322e-07,50
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,43,0.6838235294117647,0.8122270742358079,0.641399998290866,0.6464604515731335,4.934569005854428e-06,5.4466945584863424e-06,5.121255526319146e-07,50
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,44,0.6838235294117647,0.8122270742358079,0.6239563618220535,0.6288573371469975,4.943823114444967e-06,5.186373527976684e-06,2.4255027142316976e-07,50
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,45,0.6838235294117647,0.8122270742358079,0.6364502486060647,0.6173741575479508,4.716698640550021e-06,4.725365215563215e-06,8.666738438023458e-09,50
45,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,46,0.6838235294117647,0.8122270742358079,0.635631450251037,0.6364393236041069,4.712202553491807e-06,5.10663221575669e-06,3.9442969068659295e-07,50
46,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,47,0.6838235294117647,0.8122270742358079,0.6243937675859413,0.6315092444419862,4.441989858605666e-06,4.755775989906397e-06,3.1378607445731177e-07,50
47,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,48,0.6838235294117647,0.8122270742358079,0.6292600643401053,0.6189139148592948,4.448513209354132e-06,4.473311491892673e-06,2.479843530522885e-08,50
48,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,49,0.6838235294117647,0.8122270742358079,0.6371818155634636,0.6220868560671806,4.650333266909001e-06,4.727231498691253e-06,7.68982602039614e-08,50
49,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,50,0.6838235294117647,0.8122270742358079,0.632752900614458,0.6278493673205376,4.530083515419392e-06,4.715270733868238e-06,1.8518741740081168e-07,50
50,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,51,0.6838235294117647,0.8122270742358079,0.6247438502077963,0.622511825621128,4.594332040142035e-06,4.717156116385013e-06,1.228242041406702e-07,50
51,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,52,0.6838235294117647,0.8122270742358079,0.6257559680471233,0.6160488069057464,4.389031346363481e-06,4.394866209622705e-06,5.834801086734842e-09,50
52,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,53,0.6838235294117647,0.8122270742358079,0.6298053679512996,0.6215121500492096,4.1953207983169705e-06,4.251087375450879e-06,5.5766644635468765e-08,50
53,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,54,0.6838235294117647,0.8122270742358079,0.6269172885838676,0.6242986130714416,4.201755018584663e-06,4.348274160292931e-06,1.4651931223852444e-07,50
54,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,55,0.6838235294117647,0.8122270742358079,0.6239752132518619,0.6193678385615349,4.167568476987071e-06,4.263704340701224e-06,9.613569318389636e-08,50
55,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,56,0.6838235294117647,0.8122270742358079,0.6277053163332098,0.6158187978267671,4.276439085515449e-06,4.278808319213567e-06,2.3691053563368314e-09,50
56,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,57,0.6838235294117647,0.8122270742358079,0.6302045957714904,0.6214365993142127,4.486770194489509e-06,4.5466995288734324e-06,5.992929885678677e-08,50
57,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,58,0.6838235294117647,0.8122270742358079,0.6270177773400849,0.6216653180122377,4.3630993786791805e-06,4.450036158232251e-06,8.693663033909615e-08,50
58,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,59,0.6838235294117647,0.8122270742358079,0.6240007865662668,0.6173876252770424,4.165272457612446e-06,4.198262558929855e-06,3.299021145153347e-08,50
59,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,60,0.6838235294117647,0.8122270742358079,0.6252811773150575,0.6148666710257531,4.25258576797205e-06,4.2543470044620335e-06,1.7613601688282188e-09,50
60,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,61,0.6838235294117647,0.8122270742358079,0.6263783591635087,0.6199003680944444,4.322640961618163e-06,4.354294105723966e-06,3.1653314636059804e-08,50
61,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,62,0.6838235294117647,0.8122270742358079,0.6246126685656753,0.6210931097865104,4.254058239894221e-06,4.308752068027388e-06,5.469365049748376e-08,50
62,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,63,0.6838235294117647,0.8122270742358079,0.6242435942677891,0.6176490197777749,4.174069090367993e-06,4.200165676593315e-06,2.6096540040043692e-08,50
63,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.001,SGD,1e-05,64,0.6838235294117647,0.8122270742358079,0.6262196921834758,0.6202113871574402,4.309965788706904e-06,4.315353180572856e-06,5.387425616731889e-09,50
