,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,1,0.3161764705882353,0.0,33.96024962032543,0.45464875467150107,6.308890342712402,7.203073978424072,0.8941835761070251,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,2,0.6838235294117647,0.8122270742358079,23.54478417190851,9.049842387599323,10.871232986450195,17.207244873046875,6.3360114097595215,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,3,0.6838235294117647,0.8122270742358079,3.6049857116175583,8.364399917452412,6.8285231590271,9.074912071228027,2.2463889122009277,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,4,0.6838235294117647,0.8122270742358079,1.9332558962233437,9.584748390624686,7.2370710372924805,8.224329948425293,0.9872586727142334,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,5,0.3161764705882353,0.0,4.588077619964001,9.061185735809108,5.399378776550293,5.878605842590332,0.4792269170284271,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,6,0.6838235294117647,0.8122270742358079,7.928523175856647,9.478397523267232,39.751251220703125,45.85794448852539,6.106691360473633,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,7,0.6838235294117647,0.8122270742358079,17.80717950708726,9.232256430091518,3.2920353412628174,3.656524658203125,0.36448922753334045,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,8,0.6838235294117647,0.8122270742358079,17.77464776880601,7.9243700549372535,5.313941955566406,6.529217720031738,1.2152760028839111,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,9,0.6838235294117647,0.8122270742358079,14.99658951104856,9.550006319354477,5.6708292961120605,6.162180423736572,0.4913511276245117,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,10,0.6838235294117647,0.8122270742358079,8.51716288398294,7.955951646907362,5.03466272354126,5.557944297790527,0.5232816934585571,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,11,0.6838235294117647,0.8122270742358079,5.632112250608556,8.372521384787387,3.4438233375549316,3.8753514289855957,0.4315282106399536,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,12,0.6838235294117647,0.8122270742358079,7.311749738805434,8.823062982457513,4.319223403930664,4.9811930656433105,0.6619694232940674,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,13,0.6838235294117647,0.8122270742358079,10.5310100106632,8.602389673992187,3.943206548690796,4.278417110443115,0.3352105915546417,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,14,0.6838235294117647,0.8122270742358079,17.202569624956915,8.057613077238445,3.7796010971069336,4.355917930603027,0.5763169527053833,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,15,0.6838235294117647,0.8122270742358079,16.887133766623105,8.581111267014082,3.7099838256835938,4.862241268157959,1.1522573232650757,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,16,0.6838235294117647,0.8122270742358079,10.186147063386207,8.507714422317319,6.010021209716797,7.405200481414795,1.395179271697998,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,17,0.6838235294117647,0.8122270742358079,1.617842301379378,8.556698300417056,4.460813522338867,4.881511688232422,0.4206980764865875,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,18,0.3161764705882353,0.0,5.4138048957375915,8.585635668382583,4.535266399383545,5.147398948669434,0.6121325492858887,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,19,0.3161764705882353,0.0,2.1472845404755834,9.026176183218547,4.318436622619629,5.324042797088623,1.0056062936782837,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,20,0.6838235294117647,0.8122270742358079,2.495144768642586,8.098000057321986,4.926292896270752,5.361758708953857,0.43546563386917114,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,21,0.6838235294117647,0.8122270742358079,11.034872952629538,8.940418703331448,3.8535404205322266,4.914152145385742,1.0606118440628052,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,22,0.6838235294117647,0.8122270742358079,18.092307820039636,9.072522290766672,4.123358726501465,4.413656234741211,0.290297269821167,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,23,0.6838235294117647,0.8122270742358079,21.388405070585364,8.497308081033696,4.960089683532715,5.456116199493408,0.49602633714675903,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,24,0.6838235294117647,0.8122270742358079,19.278625712675208,9.318606973872289,4.762335777282715,5.825953960418701,1.0636180639266968,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,25,0.6838235294117647,0.8122270742358079,7.918999671936035,8.544685024503892,4.613646507263184,8.189709663391113,3.576063394546509,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,26,0.3161764705882353,0.0,11.111619192011217,8.796557070508676,3.0639195442199707,3.609429121017456,0.5455096960067749,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,27,0.3161764705882353,0.0,21.168576016145593,9.058699060739539,4.795395851135254,6.789999485015869,1.9946038722991943,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,28,0.3161764705882353,0.0,17.71893254448386,8.896775106822794,2.7053639888763428,4.239369869232178,1.534005880355835,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,29,0.6838235294117647,0.8122270742358079,1.2222584918433546,8.685519558491928,5.388956069946289,8.284708976745605,2.8957529067993164,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,30,0.6838235294117647,0.8122270742358079,11.483083051793715,8.498510755090972,4.624622344970703,5.014159679412842,0.38953739404678345,50
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,31,0.6838235294117647,0.8122270742358079,23.67972452500287,8.590000457706847,4.538249492645264,5.125667095184326,0.587417483329773,50
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,32,0.6838235294117647,0.8122270742358079,30.49022371628705,8.496170757327869,4.427849769592285,5.367713928222656,0.9398642778396606,50
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,0.1,33,0.6838235294117647,0.8122270742358079,28.617940790512982,8.52091680073906,3.804408550262451,6.701608180999756,2.8971996307373047,50
