,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,2.370071437096853,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,2,0.3161764705882353,0.0,125.25268779081456,2.00453167135542,6.402611325029284e-05,0.0001160988103947,5.207270078244619e-05,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,3,0.3161764705882353,0.0,66.33568797392003,125.77539486312868,4.006591916549951e-05,0.0002219107263954,0.0001818448072299,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,5.045509181770624,66.82341900634765,4.040589556097984e-05,0.0002239594759885,0.0001835535804275,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,25.847214193905103,4.923723742135719,3.944298077840358e-05,7.691867358516902e-05,3.747569280676544e-05,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,35.850765116074506,25.236617761611942,4.0336592064704746e-05,7.717466360190883e-05,3.683807153720409e-05,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,37.48819732666016,35.32568412590026,4.008775067632087e-05,7.751840894343331e-05,3.743065826711245e-05,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,32.521900064804974,36.73323561096191,4.007526149507612e-05,7.714728417340666e-05,3.707202267833054e-05,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,22.180735307581283,31.920840591430665,3.997741441708058e-05,7.724411989329383e-05,3.7266705476213247e-05,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,7.442581008462345,21.57378681945801,4.033597360830754e-05,7.69564212532714e-05,3.662044764496386e-05,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,11,0.3161764705882353,0.0,23.75235187306124,7.18249785244465,3.985945295426063e-05,7.645540608791634e-05,3.659595313365571e-05,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,12,0.3161764705882353,0.0,31.572030123542337,23.679053929805757,3.994222788605839e-05,0.0002218090958194,0.0001818668679334,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,13,0.3161764705882353,0.0,16.399514815386603,31.49575414371491,3.984493378084153e-05,0.0002212582185165,0.0001814132847357,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,7.490051858565387,16.38171137481928,4.038684710394591e-05,0.0002236871951026,0.0001833003479987,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,16.785542431999655,7.300968420147896,3.981483314419165e-05,7.72173298173584e-05,3.740249667316675e-05,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,21.0182502970976,16.373250129699706,4.028718831250444e-05,7.706017640884966e-05,3.6772988096345216e-05,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,20.746157253489773,20.57667075157165,4.026855458505452e-05,7.733201346127316e-05,3.706345887621865e-05,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,16.47405299018411,20.24693430328369,3.9759353967383504e-05,7.667695172131062e-05,3.691759775392711e-05,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,8.629903568941003,16.102061462402347,4.023974543088116e-05,7.719091809121892e-05,3.695117266033776e-05,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,0.1,SGD,1e-05,20,0.3161764705882353,0.0,5.262833333482929,8.456161484241488,4.009025724371895e-05,7.74768996052444e-05,3.7386642361525446e-05,50,-1
