,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,1,0.3161764705882353,0.0,0.7373646299044291,0.4935700291842223,0.008833613246679306,0.013335262425243855,0.004501648712903261,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,2,0.3161764705882353,0.0,0.7282591625755909,0.4846356031447649,0.009360016323626041,0.013511543162167072,0.004151526838541031,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,3,0.3161764705882353,0.0,0.7176531483145321,0.4666950830593706,0.008228207938373089,0.012374239042401314,0.004146031104028225,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,4,0.33578431372549017,0.05574912891986063,0.7038076683586719,0.44934007317572827,0.009839998558163643,0.01345664169639349,0.0036166436038911343,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,5,0.6053921568627451,0.7034990791896869,0.6856552514375425,0.44209754865616563,0.018367629498243332,0.022322213277220726,0.0039545828476548195,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,6,0.6887254901960784,0.8124076809453471,0.6626455444915622,0.43061831850558524,0.017797641456127167,0.020309364423155785,0.002511722734197974,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,7,0.6838235294117647,0.8122270742358079,0.6387806441269669,0.42010581977292893,0.02344183251261711,0.026417115703225136,0.002975283656269312,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,8,0.6838235294117647,0.8122270742358079,0.6200925216955298,0.40967556801810856,0.010396160185337067,0.011763427406549454,0.0013672674540430307,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,9,0.6838235294117647,0.8122270742358079,0.6130255957444509,0.4085698708854616,0.008396568708121777,0.009842447936534882,0.0014458788791671395,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,10,0.6838235294117647,0.8122270742358079,0.6147324624014836,0.40251972876116626,0.01741725392639637,0.018796367570757866,0.001379114226438105,50
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,11,0.6838235294117647,0.8122270742358079,0.6196376167091668,0.3997446427792311,0.014988701790571213,0.01734098605811596,0.0023522842675447464,50
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,12,0.6838235294117647,0.8122270742358079,0.6248628491280126,0.40191400464251636,0.03792281448841095,0.04124290868639946,0.003320092801004648,50
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,13,0.6838235294117647,0.8122270742358079,0.6266753150551927,0.39775702407956126,0.009020134806632996,0.010213680565357208,0.001193545525893569,50
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,14,0.6936274509803921,0.8169838945827232,0.6277054814147014,0.38884135955944654,0.009593748487532139,0.010351437143981457,0.000757688598241657,50
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,15,0.6911764705882353,0.8147058823529412,0.6278192281138664,0.38699310990795494,0.005911636631935835,0.00653167674317956,0.0006200402858667076,50
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,16,0.6985294117647058,0.8183161004431314,0.626140233056218,0.3763750347048044,0.005169314332306385,0.005785842426121235,0.0006165278609842062,50
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,17,0.6985294117647058,0.8183161004431314,0.6238785371476528,0.3726262570470572,0.006838782224804163,0.007572812028229237,0.0007340296288020909,50
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,18,0.7083333333333334,0.8226527570789866,0.6236907141465767,0.3764121573679149,0.09928009659051895,0.11009186506271362,0.01081177033483982,50
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,19,0.7132352941176471,0.8240601503759398,0.6161232026768666,0.36754934310168025,0.005078605376183987,0.005691820289939642,0.0006132151465862989,50
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,20,0.7156862745098039,0.8253012048192772,0.6074731534018236,0.3641247268468142,0.044467344880104065,0.04933520779013634,0.004867864772677422,50
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,21,0.7107843137254902,0.8217522658610272,0.5965022397976295,0.3634816707372665,0.008404847234487534,0.009346415288746357,0.0009415678214281797,50
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,22,0.7107843137254902,0.8206686930091185,0.583074194543502,0.3579897906892001,0.0155770443379879,0.017490345984697342,0.0019133014138787985,50
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,23,0.7107843137254902,0.8195718654434251,0.5706238638536603,0.3495029942765832,0.004622241482138634,0.0052574253641068935,0.0006351839983835816,50
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,24,0.7205882352941176,0.8251533742331288,0.5563536902853087,0.3461684252135455,0.004553794860839844,0.005316581577062607,0.0007627866580151021,50
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,25,0.7254901960784313,0.8271604938271605,0.5426905365551219,0.35226188196986913,0.004464869853109121,0.005266794469207525,0.000801924557890743,50
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,26,0.7230392156862745,0.8258859784283513,0.5311151935773737,0.35013284866139294,0.012566260062158108,0.014001472853124142,0.0014352130237966776,50
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,27,0.7230392156862745,0.8258859784283513,0.5181438995926988,0.3462031719982624,0.005547213368117809,0.006489600520581007,0.0009423870360478759,50
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,28,0.7328431372549019,0.8310077519379845,0.5085213957171814,0.3391323156394065,0.010701227933168411,0.012377130798995495,0.0016759030986577272,50
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,29,0.7450980392156863,0.8390092879256966,0.5009885184905108,0.33893126152083275,0.009783884510397911,0.011142612434923649,0.0013587279245257378,50
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,30,0.75,0.8421052631578947,0.4940580436412026,0.3322318321429193,0.006898277439177036,0.007999028079211712,0.0011007505236193538,50
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,31,0.7524509803921569,0.8434108527131783,0.4870106579334128,0.32975951753929256,0.0069396658800542355,0.007985479198396206,0.0010458132019266486,50
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.001,32,0.7549019607843137,0.8452012383900929,0.4794764723263535,0.31944454859942195,0.006584920454770327,0.007914460264146328,0.0013295399257913232,50
