,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,1,0.3161764705882353,0.0,0.7396227822584265,0.42232639025338,0.0982481688261032,0.1113538146018982,0.0131056420505046,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,2,0.3161764705882353,0.0,0.7332494702993655,0.4244401902360842,0.5375896692276001,0.6209189891815186,0.083329327404499,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,3,0.3161764705882353,0.0,0.726936564725988,0.4118955032201484,0.1106433719396591,0.1246335133910179,0.0139901442453265,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,4,0.3161764705882353,0.0,0.7205546673606423,0.4140537486998364,0.0930159389972686,0.1067347303032875,0.0137187931686639,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,5,0.3161764705882353,0.0,0.7137360946804869,0.4245461094509809,0.186059221625328,0.2191313803195953,0.0330721549689769,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,6,0.3161764705882353,0.0,0.7065441047444063,0.4099032244430855,0.1089262068271637,0.1235464364290237,0.0146202305331826,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,7,0.3235294117647059,0.0482758620689655,0.6990696296972387,0.411398057998158,0.4781823456287384,0.5371600985527039,0.058977760374546,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,8,0.5245098039215687,0.5745614035087719,0.6916583975156149,0.4045557554373518,0.1177320778369903,0.1351750195026397,0.0174429416656494,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,9,0.7058823529411765,0.8130841121495327,0.6842286703633327,0.4094192798114381,0.0930975973606109,0.1068049073219299,0.0137073062360286,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,10,0.6985294117647058,0.8172362555720654,0.6764052463512794,0.4054125785483046,0.1283411532640457,0.1461715102195739,0.0178303550928831,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,11,0.696078431372549,0.8176470588235294,0.6686931381038591,0.404023158036638,0.0845754593610763,0.0987314730882644,0.0141560118645429,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,12,0.6936274509803921,0.8164464023494861,0.6601016369520449,0.4103326505851001,0.2023128718137741,0.2394033670425415,0.0370904952287673,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,13,0.6936274509803921,0.8169838945827232,0.652162676932765,0.4103838965212926,0.2794433534145355,0.3105092346668243,0.0310658682137727,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,14,0.6887254901960784,0.8145985401459854,0.6445412448808259,0.4047837376780808,0.1047145202755928,0.1218194290995597,0.0171049106866121,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,15,0.6838235294117647,0.8122270742358079,0.6370279134488573,0.403684503313154,0.1080449149012565,0.1224831864237785,0.0144382687285542,50,-1
