,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.3161764705882353,0.0,0.7372748769965827,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.3161764705882353,0.0,0.7291288165485158,0.7321454559564591,4.567433734337101e-06,7.386793186014984e-06,2.819359451677883e-06,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.3161764705882353,0.0,0.7213445399321762,0.7224986492395401,4.739724317914806e-06,7.223936790978769e-06,2.4842124730639625e-06,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.3161764705882353,0.0,0.7138675299345278,0.71224671459198,4.601004093274241e-06,6.850209956610343e-06,2.249205863336101e-06,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.3161764705882353,0.0,0.7066746798216128,0.7041866847276688,4.586052000377094e-06,6.480457614088664e-06,1.894405500024732e-06,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.3161764705882353,0.0,0.6996205040052825,0.69170534658432,4.521472874330357e-06,6.342955202853773e-06,1.8214821011497408e-06,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.5220588235294118,0.5806451612903226,0.6927391138731265,0.6887240382432938,4.685886324296007e-06,6.2188673837226816e-06,1.532980945739837e-06,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6858569383621216,0.6787459127902984,4.839116172661306e-06,6.2589606386609375e-06,1.4198443523127937e-06,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.6838235294117647,0.8122270742358079,0.6791786270983079,0.6729398139715196,5.22199843544513e-06,6.372341886162758e-06,1.150343450717628e-06,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.6721331816093594,0.6670773065686225,5.24143069924321e-06,6.399673566193087e-06,1.1582430943235522e-06,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.6838235294117647,0.8122270742358079,0.6650623760971368,0.655777406513691,4.939072823617607e-06,5.858958502358291e-06,9.198859061143594e-07,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.6838235294117647,0.8122270742358079,0.6577233157905877,0.6532913916707038,5.876889190403745e-06,6.9671491473854985e-06,1.090259956981754e-06,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.6838235294117647,0.8122270742358079,0.6507220852608774,0.6509027959108352,6.687088443868561e-06,7.419494977511931e-06,7.324066473302082e-07,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,14,0.6838235294117647,0.8122270742358079,0.6434158308833253,0.6483128454685211,6.798423783038743e-06,7.375811492238427e-06,5.773878228865215e-07,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,15,0.6838235294117647,0.8122270742358079,0.6376408981341942,0.6454401648640632,6.573821337951813e-06,6.98974190527224e-06,4.159207946941024e-07,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,16,0.6838235294117647,0.8122270742358079,0.6310036702483308,0.6343460558652878,1.117459760280326e-05,1.1849571819766425e-05,6.749740464329079e-07,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,17,0.6838235294117647,0.8122270742358079,0.6256216104124107,0.6324461691379547,1.1073973837483209e-05,1.1967643331445288e-05,8.93669209744985e-07,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,18,0.6838235294117647,0.8122270742358079,0.6214118810260997,0.6220039009451866,1.0660031875886489e-05,1.131638782680966e-05,6.563561782968463e-07,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,19,0.6838235294117647,0.8122270742358079,0.6176877793143777,0.6195659719109536,1.0994969670719e-05,1.1532453754625749e-05,5.37483856533072e-07,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,20,0.6838235294117647,0.8122270742358079,0.6156842229413051,0.6232447788119316,9.553567906550596e-06,1.0093677701661363e-05,5.401101930146979e-07,50,-1
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,21,0.6838235294117647,0.8122270742358079,0.6124999143329322,0.6168624686598777,9.4029046522337e-06,9.605478226148987e-06,2.025739718192199e-07,50,-1
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,22,0.6838235294117647,0.8122270742358079,0.610206031331829,0.6146630529165268,9.74325303104706e-06,1.0028544238593897e-05,2.8529089490803017e-07,50,-1
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,23,0.6838235294117647,0.8122270742358079,0.6075869377921609,0.6037718731164933,1.0575224223430268e-05,1.0704496162361464e-05,1.292722799917101e-07,50,-1
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,24,0.6838235294117647,0.8122270742358079,0.6054135309714898,0.6046984715461731,1.1930695109185764e-05,1.2140862054366153e-05,2.1016690254782588e-07,50,-1
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,25,0.6838235294117647,0.8122270742358079,0.6025590960885964,0.6070380896925927,1.3392122127697805e-05,1.363519550068304e-05,2.4307320245497976e-07,50,-1
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,26,0.6838235294117647,0.8122270742358079,0.5996464864880431,0.6053547555208206,1.3093696907162666e-05,1.3298049452714622e-05,2.0435248870853687e-07,50,-1
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,27,0.6838235294117647,0.8122270742358079,0.5962677183104497,0.5928925063908099,2.5978741177823395e-05,2.6770425392896868e-05,7.916838740129606e-07,50,-1
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,28,0.6838235294117647,0.8122270742358079,0.5921595721852546,0.5923045950829982,1.3563197171606587e-05,1.379769128107e-05,2.3449430841537838e-07,50,-1
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,29,0.6838235294117647,0.8122270742358079,0.5877519133044224,0.5870896861851216,1.3685240446648096e-05,1.3905434570915531e-05,2.201945079605139e-07,50,-1
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,30,0.6838235294117647,0.8122270742358079,0.5835891097199684,0.5888755028545857,1.5103299119800797e-05,1.525841980765108e-05,1.551207304828495e-07,50,-1
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,31,0.6838235294117647,0.8122270742358079,0.5795581866713131,0.5818536307513714,1.5005148270574864e-05,1.5161666851781774e-05,1.565182685681066e-07,50,-1
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,32,0.6838235294117647,0.8122270742358079,0.5766670154590233,0.576611086666584,1.5318122677854262e-05,1.5521965906373225e-05,2.038428021933214e-07,50,-1
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,33,0.6838235294117647,0.8122270742358079,0.5758779224227456,0.5741186127960682,1.7728183593135327e-05,1.803930899768602e-05,3.111246371645393e-07,50,-1
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,34,0.6838235294117647,0.8122270742358079,0.5735223395567314,0.5755896005630493,1.882231299532577e-05,1.9133982277708128e-05,3.116697655514145e-07,50,-1
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,35,0.6838235294117647,0.8122270742358079,0.5716045066422107,0.5670965533554554,1.844829057517927e-05,1.863508987298701e-05,1.8679867253013074e-07,50,-1
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,36,0.6838235294117647,0.8122270742358079,0.5665108272257973,0.5611025423109532,2.117686744895764e-05,2.1682299120584503e-05,5.054322400610545e-07,50,-1
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,37,0.6838235294117647,0.8122270742358079,0.5612084909397013,0.5502476644814014,2.169258914364036e-05,2.1909514543949623e-05,2.1692528662242694e-07,50,-1
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,38,0.6838235294117647,0.8122270742358079,0.5576223564498565,0.552146539002657,2.2073712898418307e-05,2.2301270291791297e-05,2.275575923249562e-07,50,-1
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,39,0.6838235294117647,0.8122270742358079,0.5535668648925482,0.5498507910072803,2.097885953844525e-05,2.115218376275152e-05,1.7332426693883465e-07,50,-1
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,40,0.6838235294117647,0.8122270742358079,0.5512307429430532,0.5418984328210354,2.3502223484683785e-05,2.392834903730545e-05,4.261248420789343e-07,50,-1
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,41,0.6838235294117647,0.8122270742358079,0.550864184311792,0.5379485065788031,2.2409114535548724e-05,2.262305497424677e-05,2.139408081802685e-07,50,-1
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,42,0.6838235294117647,0.8122270742358079,0.5486500377164167,0.5267689575254917,2.605468580441084e-05,2.625440538395196e-05,1.997192669023207e-07,50,-1
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,43,0.6838235294117647,0.8122270742358079,0.5452111044935152,0.5268078500330449,2.3865288312663324e-05,2.4076543923001736e-05,2.11255525073284e-07,50,-1
