,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,1,0.3161764705882353,0.0,0.7458290200607449,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50,-1
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,2,0.3161764705882353,0.0,0.7458187166382285,0.743541126549244,4.624192115443293e-06,7.777432074362878e-06,3.1532399589195848e-06,50,-1
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,3,0.3161764705882353,0.0,0.7458040538956138,0.7438536463975907,5.053790118836332e-06,8.1789612522698e-06,3.1251711334334686e-06,50,-1
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,4,0.3161764705882353,0.0,0.7457854408843845,0.7434733750820162,4.693869414040819e-06,7.81261951487977e-06,3.118750100838952e-06,50,-1
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,5,0.3161764705882353,0.0,0.7457634292396844,0.7431837252378464,5.611306278296979e-06,8.652222277305555e-06,3.0409159990085755e-06,50,-1
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,6,0.3161764705882353,0.0,0.7457381381708033,0.7431305245161057,4.722641278931405e-06,7.89718524174532e-06,3.174543962813914e-06,50,-1
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,7,0.3161764705882353,0.0,0.7457100889262032,0.7432259588241579,4.674447609431809e-06,7.645798177691177e-06,2.971350568259368e-06,50,-1
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,8,0.3161764705882353,0.0,0.7456794112336402,0.7428794902563094,4.79212303616805e-06,7.927731530799065e-06,3.1356082672573397e-06,50,-1
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,9,0.3161764705882353,0.0,0.7456465036261315,0.7412114256620407,4.826453732675873e-06,7.806590474501718e-06,2.9801369691995205e-06,50,-1
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,10,0.3161764705882353,0.0,0.7456113193549362,0.7446158388853072,4.743814315588679e-06,8.025723218452185e-06,3.2819086754898308e-06,50,-1
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,11,0.3161764705882353,0.0,0.7455742920146269,0.7420065286159516,4.578395419230219e-06,7.656507477804553e-06,3.0781120585743338e-06,50,-1
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,12,0.3161764705882353,0.0,0.7455355817196416,0.7434450132846833,4.630352577805752e-06,7.693307452427689e-06,3.062954874621937e-06,50,-1
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,13,0.3161764705882353,0.0,0.7454953298849218,0.7437950829267501,4.79875598102808e-06,7.928818376967683e-06,3.1300623959396034e-06,50,-1
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,14,0.3161764705882353,0.0,0.7454537831100763,0.7435038002729416,4.779115442943294e-06,7.795296369295102e-06,3.0161811537254835e-06,50,-1
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,15,0.3161764705882353,0.0,0.745411126052632,0.74113434779644,4.765146059071412e-06,7.675867891521193e-06,2.9107218324497808e-06,50,-1
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,16,0.3161764705882353,0.0,0.7453673259884703,0.7432168180942536,4.809150141227292e-06,7.94950574345421e-06,3.1403556022269186e-06,50,-1
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,17,0.3161764705882353,0.0,0.7453224612217323,0.7442285151481629,4.698116754298098e-06,7.829518835933413e-06,3.131402081635315e-06,50,-1
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,18,0.3161764705882353,0.0,0.7452766731673596,0.7427769063711166,4.594954589265399e-06,7.731594450888224e-06,3.13663963424915e-06,50,-1
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,19,0.3161764705882353,0.0,0.7452299887058782,0.74334306204319,4.7694488785055e-06,7.948714483063668e-06,3.179265604558168e-06,50,-1
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,20,0.3161764705882353,0.0,0.745182476791681,0.7456721596717835,4.753060238726903e-06,7.966335942910518e-06,3.213275704183616e-06,50,-1
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,21,0.3161764705882353,0.0,0.7451343033827987,0.7425245023965835,4.545931005850434e-06,7.687758625252172e-06,3.141827619401738e-06,50,-1
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,22,0.3161764705882353,0.0,0.7450855526269651,0.7426842849254608,4.776079094881425e-06,7.854844625398982e-06,3.0787655305175576e-06,50,-1
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,23,0.3161764705882353,0.0,0.7450362584170174,0.7426422522068024,4.547741809801664e-06,7.680911039642524e-06,3.13316922984086e-06,50,-1
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,24,0.3161764705882353,0.0,0.7449864172467998,0.744020553469658,4.745240403281059e-06,7.941020157886669e-06,3.1957795272319345e-06,50,-1
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,25,0.3161764705882353,0.0,0.7449363166210698,0.7414408532381057,4.616472324414644e-06,7.5579860094876494e-06,2.941513685073005e-06,50,-1
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,26,0.3161764705882353,0.0,0.7448859542023902,0.7413897030353546,4.640836777980439e-06,7.604583515785634e-06,2.9637469651788706e-06,50,-1
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,27,0.3161764705882353,0.0,0.7448353627148796,0.7402116947174072,4.798223926627543e-06,7.763058420096058e-06,2.96483426609484e-06,50,-1
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,28,0.3161764705882353,0.0,0.7447845865698421,0.7411242301464082,4.572017132886685e-06,7.51610559746041e-06,2.9440886919474e-06,50,-1
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,29,0.3161764705882353,0.0,0.7447336900467966,0.7400298244953156,4.883375368081033e-06,7.780332452966832e-06,2.896956857512123e-06,50,-1
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,30,0.3161764705882353,0.0,0.7446825492615793,0.7425645622015,4.639556664187694e-06,7.675936103623826e-06,3.036379439436132e-06,50,-1
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.001,SGD,1e-05,31,0.3161764705882353,0.0,0.7446313921143027,0.7394701864719392,4.543706381809898e-06,7.378663667623186e-06,2.8349570584396133e-06,50,-1
