,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,1,0.3161764705882353,0.0,0.740431382375605,0.7426656436920165,4.694390554504935e-06,7.837091288820375e-06,3.1427009616891155e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,2,0.3161764705882353,0.0,0.7352950935270272,0.7374293760061263,4.781184543389827e-06,7.780880878272e-06,2.9996963348821737e-06,50
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,3,0.3161764705882353,0.0,0.730448487926932,0.7320631424188614,4.822528353543021e-06,7.593843747599749e-06,2.7713151666830527e-06,50
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,4,0.3161764705882353,0.0,0.7258221892749562,0.7262565350532533,4.6653449317091145e-06,7.317535619222326e-06,2.652190914886887e-06,50
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,5,0.3161764705882353,0.0,0.7215484520968269,0.7214364088773727,4.647899913834408e-06,7.01594535712502e-06,2.368045670664287e-06,50
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,6,0.3161764705882353,0.0,0.7173331520136665,0.7158349816799164,4.579464075504802e-06,7.00730697644758e-06,2.4278429009427782e-06,50
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,7,0.3161764705882353,0.0,0.7134417003276301,0.7122643834352493,4.627554062608397e-06,6.772256256226683e-06,2.1447021936182864e-06,50
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,8,0.3161764705882353,0.0,0.709643075279161,0.7068318017721177,5.004608283343259e-06,7.2145699050452095e-06,2.2099618490756257e-06,50
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,9,0.3161764705882353,0.0,0.7061268348319858,0.7020955401659013,4.851053290622076e-06,6.765264060959453e-06,1.9142107703373767e-06,50
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,10,0.3161764705882353,0.0,0.7025919556617737,0.699592887878418,4.676562184613431e-06,6.708668934152229e-06,2.032106749538798e-06,50
