,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.6251082987177605,0.48906825663447373,0.008027775213122368,0.012815916910767555,0.004788142163306475,500
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,2,0.6911764705882353,0.8157894736842105,0.6263431071066389,0.41160038101598645,0.005266354884952307,0.005786227062344551,0.0005198721773922443,500
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,3,0.6495098039215687,0.7588532883642496,0.6186817031280667,0.39073301481008527,0.00436489237472415,0.0051530515775084496,0.0007881592027842999,500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,4,0.6985294117647058,0.7494908350305499,0.5660759344989178,0.3453823733270168,0.002652137540280819,0.0034344082232564688,0.0007822706247679889,500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,5,0.7671568627450981,0.8513302034428795,0.6877115373225773,0.28399826071523127,0.0028707231394946575,0.003980719484388828,0.001109996228478849,500
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,6,0.8161764705882353,0.8739495798319328,0.5233516978172987,0.225641594251059,0.004958961624652147,0.006479489151388407,0.0015205276431515813,500
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,7,0.8627450980392157,0.8992805755395683,0.41233463574420004,0.1660228978537954,0.005647014826536179,0.006954357959330082,0.001307343365624547,500
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,8,0.8578431372549019,0.8975265017667845,0.5067764868658474,0.12151863699187533,0.005562345031648874,0.00669914809986949,0.0011368030682206154,500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,9,0.8627450980392157,0.9027777777777778,0.5735426900232685,0.07274206529901132,0.004541423637419939,0.00521375285461545,0.0006723293336108327,500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,10,0.8725490196078431,0.9090909090909091,0.6008461072525083,0.04115017031033057,0.0036721420474350452,0.0041733393445611,0.0005011972971260548,500
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,11,0.8553921568627451,0.8955752212389381,0.617198093374278,0.030611245124606657,0.003280258970335126,0.003754691919311881,0.00047443294897675514,500
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,12,0.8553921568627451,0.8977469670710572,0.6882878404479319,0.015625447904662002,0.0022678521927446127,0.0026041013188660145,0.00033624909701757133,500
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,13,0.8602941176470589,0.9032258064516129,0.7963528704564726,0.01135792738895397,0.001884393161162734,0.0021337636280804873,0.0002493704087100923,500
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,14,0.8627450980392157,0.9057239057239057,0.8462086022918811,0.006698545884544728,0.0010617019142955542,0.0011885918211191893,0.00012688996503129601,500
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,15,0.8553921568627451,0.899488926746167,0.8181031589109825,0.004926024333084931,0.0009934008121490479,0.0010954595636576414,0.00010205872968072072,500
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,16,0.8627450980392157,0.9020979020979021,0.7500549345198784,0.0037315374521218457,0.0009071165695786476,0.0009969609091058373,8.984433225123212e-05,500
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,17,0.8651960784313726,0.9046793760831889,0.7421856265450604,0.004007926495859281,0.001108467229641974,0.0012247010599821806,0.00011623379396041855,500
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,18,0.8602941176470589,0.9032258064516129,0.8281185155818307,0.003516417204958271,0.0008573046652600169,0.0009359476389363408,7.864295912440866e-05,500
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,19,0.8602941176470589,0.9032258064516129,0.8502995710855341,0.003603285369884542,0.0008771320572122931,0.0009475303813815117,7.03983023413457e-05,500
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,20,0.8602941176470589,0.9032258064516129,0.8507120302105357,0.0019877389467226744,0.0007306754123419523,0.0007947859703563154,6.411053618649021e-05,500
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,21,0.8553921568627451,0.8991452991452992,0.8177627280054045,0.002211797523274436,0.0005825507105328143,0.0006154046859592199,3.285397542640567e-05,500
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,22,0.8627450980392157,0.903448275862069,0.7688528688031867,0.0018662887624814166,0.0005278472090139985,0.0005619052099063993,3.405797542654909e-05,500
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,23,0.8578431372549019,0.8996539792387543,0.7477004951987172,0.0017131242548392035,0.000480206566862762,0.000505980511661619,2.5773952074814588e-05,500
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,24,0.8553921568627451,0.8981001727115717,0.7655656447042893,0.0014799495533668972,0.0004536690830718726,0.0004839901812374592,3.0321094527607784e-05,500
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,25,0.8602941176470589,0.9015544041450777,0.7795671993276212,0.0014754897491198787,0.0003693621838465333,0.0003860334400087595,1.6671254343236797e-05,500
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,26,0.8651960784313726,0.9053356282271945,0.7913592622237903,0.0012050201267280497,0.000310913979774341,0.00032061742967925966,9.70343899098225e-06,500
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,27,0.8676470588235294,0.906896551724138,0.788884902467829,0.0016513964528821826,0.00041704095201566815,0.0004350741801317781,1.803323903004639e-05,500
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,28,0.8676470588235294,0.906896551724138,0.7653856918006889,0.0017073311261920014,0.00036702374927699566,0.0003827037871815264,1.568003608554136e-05,500
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,29,0.8553921568627451,0.8973913043478261,0.7480361953094675,0.0011339606660207208,0.00031830143416300416,0.0003291563771199435,1.0854955689865164e-05,500
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,30,0.8578431372549019,0.8996539792387543,0.7537956393435689,0.0014122639904540842,0.0005269828834570944,0.000559530220925808,3.254735202062875e-05,500
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,31,0.8627450980392157,0.903448275862069,0.7740702432398822,0.0012012907954995168,0.0002929331676568836,0.0003028952341992408,9.96205835690489e-06,500
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,32,0.8602941176470589,0.9018932874354562,0.8038817608241658,0.0010709798834897814,0.00033075560349971056,0.00034461557515896857,1.3859974387742113e-05,500
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,33,0.8602941176470589,0.9018932874354562,0.828633180552952,0.0011338588570928552,0.00028819101862609386,0.0003025144978892058,1.4323471987154335e-05,500
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,34,0.8627450980392157,0.903448275862069,0.8162499235102088,0.0011124940859677734,0.00025689395260997117,0.0002736758906394243,1.6781927115516737e-05,500
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,35,0.8651960784313726,0.9043478260869565,0.8111956885749904,0.0008884790357893508,0.0002863385307136923,0.00030541809974238276,1.907955993374344e-05,500
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,36,0.8651960784313726,0.9053356282271945,0.8590435433054118,0.0007620551218762558,0.0002325689565623179,0.0002534960804041475,2.0927125660819e-05,500
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,37,0.8602941176470589,0.9025641025641026,0.9051302403334144,0.000584224677873135,0.00029673654353246093,0.00030898660770617425,1.2250049621798098e-05,500
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,38,0.8578431372549019,0.9013605442176871,0.9293394754901837,0.0009779871517679572,0.00042911028140224516,0.0004597613587975502,3.0651081033283845e-05,500
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,39,0.8651960784313726,0.905982905982906,0.9021709771504011,0.0006673397911872598,0.0003669683064799756,0.00038800129550509155,2.1032994482084177e-05,500
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,40,0.8676470588235294,0.9059233449477352,0.8369870377783966,0.0009909188820467533,0.00028243125416338444,0.00029586729942820966,1.3436034350888804e-05,500
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,41,0.8725490196078431,0.9094076655052264,0.8409713416471027,0.0007434696669330153,0.0003988129028584808,0.0004366108332760632,3.77979340555612e-05,500
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,42,0.875,0.9113043478260869,0.8481999029639101,0.0005618314426981666,0.0002754146698862314,0.00029052645550109446,1.511177651991602e-05,500
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,43,0.8799019607843137,0.9150779896013865,0.8612673510508424,0.0006375386080155291,0.00018721158266998827,0.00019864575006067753,1.143416011473164e-05,500
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,44,0.8774509803921569,0.9134948096885813,0.8664352595052133,0.0007501585206868182,0.00023276617866940796,0.00024421964189969003,1.1453457773313858e-05,500
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,45,0.8774509803921569,0.9131944444444444,0.8533290247474261,0.0008369885523257841,0.00020951745682395995,0.0002223470073658973,1.2829550541937351e-05,500
45,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,46,0.8799019607843137,0.9144851657940664,0.8369554347841139,0.0006043231282608757,0.00022358153364621103,0.00023571094789076596,1.2129419701523148e-05,500
46,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,47,0.8799019607843137,0.9147826086956522,0.8429195381563748,0.00039669337108716695,0.00014206423657014966,0.00015090325905475765,8.839026122586802e-06,500
47,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,48,0.8799019607843137,0.9147826086956522,0.8528218244202578,0.001982287089399324,0.0005750092095695436,0.0006204266683198512,4.54174805781804e-05,500
48,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,49,0.875,0.9109947643979057,0.8418468936583582,0.0005580539930233498,0.0001480133068980649,0.0001560319069540128,8.018603693926707e-06,500
49,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,50,0.8799019607843137,0.9153713298791019,0.837279468306709,0.0007421201264816775,0.0002312693395651877,0.0002486330922693014,1.7363750885124318e-05,500
50,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,0.010391313116996998,,Adam,0.0001,SGD,0.0001,51,0.8774509803921569,0.9140893470790378,0.8405166437332809,0.0006897274165425189,0.0002043426502496004,0.00021858690888620913,1.4244251360651106e-05,500
