,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6614803741959965,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6224890801252103,0.644812769214312,4.21368567913305e-05,4.777233334607445e-05,5.635475645249244e-06,150,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6192390907044504,0.6018218072950839,8.794821769697592e-05,9.00026861927472e-05,2.054471224255394e-06,200,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,4,0.4240196078431372,0.3108504398826979,0.6934952104792875,0.5664629405935606,0.0001448235561838,0.0001535652700113,8.741707461012993e-06,150,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.6283791240523843,0.6402615452855824,0.0002864452544599,0.000392370391637,0.0001059251226251,400,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,6,0.6838235294117647,0.8122270742358079,0.6127941766205955,0.5915209201872347,0.0001898030459415,0.00020491660689,1.5113568224478511e-05,300,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,7,0.6838235294117647,0.8122270742358079,0.6281030598808738,0.5497881998531521,0.0001897999609354,0.0002064657019218,1.666574098635465e-05,200,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,8,0.6985294117647058,0.8183161004431314,0.592966159769133,0.5828765508607032,0.0002911168267019,0.0003201150975655,2.8998281777603552e-05,400,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,9,0.7132352941176471,0.8235294117647058,0.5381498062143139,0.525938228672743,0.0002450668253004,0.0002558593987487,1.079257344827056e-05,250,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,10,0.6838235294117647,0.8122270742358079,0.9526072875687888,0.4853460267831881,0.0002975662355311,0.0003351700142957,3.760378240258433e-05,300,10
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,11,0.7156862745098039,0.8253012048192772,0.6332863767941793,0.7752344783898444,0.0002832672325894,0.0004719411663245,0.000188673948287,200,10
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,12,0.7034313725490197,0.8202080237741456,0.6080945575354146,0.5772975013123618,0.0003624647506512,0.0004085210675839,4.605632784659974e-05,450,10
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,13,0.6911764705882353,0.7666666666666667,0.6307551241388508,0.5146982230365277,0.0002833758771885,0.0003110302204731,2.7654330551740717e-05,250,10
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,14,0.696078431372549,0.8176470588235294,0.6765336968442973,0.5054878206610679,0.0003286913852207,0.0005371504812501,0.0002084590814774,250,10
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,15,0.7181372549019608,0.8249619482496194,0.5343814761030907,0.5307288522273302,0.0004177710216026,0.0005393805913627,0.000121609562484,300,10
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,16,0.7009803921568627,0.8184523809523809,0.5375523155226427,0.4602045317036767,0.0004232744686305,0.0004796243447344,5.6349861552007496e-05,350,10
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,17,0.7941176470588235,0.851063829787234,0.485135791348476,0.434961028879881,0.0003116847074124,0.0003538528981152,4.216818342683837e-05,250,10
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,18,0.7034313725490197,0.8212703101920237,0.6572109576241643,0.3892450610299905,0.0003608375554904,0.0005125190364196,0.0001516814663773,300,10
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,1e-05,19,0.7401960784313726,0.7685589519650655,0.5609837863959518,0.4286632831916212,0.000306732894387,0.0004983444232493,0.0001916115288622,200,10
