,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6746288771722831,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6222401939186395,0.6535276647408804,4.3390868086135015e-05,5.1486509619280696e-05,8.09564062365098e-06,150,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6192725966958439,0.6080791126713156,9.974333079298958e-05,0.0001012487264233,1.505394720879849e-06,200,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.6179204802302753,0.5911022314578295,0.0001252112415386,0.0001287261402467,3.5149050745530985e-06,200,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.5922769436649248,0.5582151858285072,0.0001606750302016,0.0001664214069023,5.746383521909593e-06,200,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,6,0.7083333333333334,0.8226527570789866,0.6750268039165759,0.5355538620471956,0.0002515766536816,0.0003303271078038,7.875046139815822e-05,250,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,7,0.7769607843137255,0.840630472854641,0.5657639380763558,0.4922127454988659,0.000333873060299,0.0003980832698289,6.421021680580452e-05,200,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.9002074007602299,0.385904057624936,0.0003565946826711,0.0004626059962902,0.000106011313619,500,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,9,0.5931372549019608,0.6084905660377359,0.9702549033305224,0.3584430623520166,0.0001719213032629,0.0003444870526436,0.0001725657493807,400,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,1e-05,10,0.7475490196078431,0.8,0.5154170204027027,0.3232595333181321,0.0001052911247825,0.0002181180316256,0.0001128269068431,250,10
