,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.6465488976123286,0.6857686650156974,0.0003670506412163,0.0005970456986688,0.0002299950574524,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,2,0.6838235294117647,0.8122270742358079,0.603397038637423,0.5278992020090422,0.0025581598747521,0.0029656419064849,0.0004074820899404,150,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,3,0.6838235294117647,0.8122270742358079,0.557106732153425,0.411806184673948,0.0044875480234622,0.005154778715223,0.0006672308663837,350,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,4,0.7549019607843137,0.8344370860927153,0.5105585526017582,0.3625657451068983,0.0036300076171755,0.0043622991070151,0.0007322915480472,400,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,5,0.7916666666666666,0.8526863084922011,0.5126661924170512,0.3139573409939185,0.0022645099088549,0.0027529732324182,0.0004884633817709,400,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,6,0.7941176470588235,0.8640776699029126,0.4740133589389277,0.2805454712867737,0.0015656407922506,0.001947182114236,0.0003815413510892,250,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,7,0.8382352941176471,0.886986301369863,0.4338263032556164,0.2403194627631456,0.0016654776409268,0.0021465385798364,0.0004810609971173,250,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,8,0.8382352941176471,0.8759398496240601,0.4605320912292775,0.1927538001861423,0.0019406790379434,0.002429959597066,0.0004892805591225,250,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,9,0.8504901960784313,0.8888888888888888,0.4173972882038238,0.1563908039461821,0.0022293655201792,0.0027878924738615,0.0005585269536823,250,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.0001,10,0.8553921568627451,0.899488926746167,0.555315695232803,0.1033532413585732,0.0023717558942735,0.002773948945105,0.000402193138143,300,10
