,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.0086731947958469,0.0133620528504252,0.0046888585202395,50,10
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,2,0.6838235294117647,0.8122270742358079,0.6125467992296406,0.3841940925755538,0.0407308265566825,0.0506246872246265,0.0098938625305891,500,10
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,3,0.6838235294117647,0.8122270742358079,0.6101482715092453,0.3766608615803223,0.0362336710095405,0.040730208158493,0.0044965352863073,150,10
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,4,0.7156862745098039,0.8242424242424242,0.5304256826639175,0.33108905752711,0.0421575866639614,0.0650263950228691,0.0228688083589077,500,10
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,5,0.7818627450980392,0.8562197092084006,0.4630642620956196,0.3004169660806656,0.0269547346979379,0.0349685065448284,0.0080137718468904,200,10
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,6,0.8333333333333334,0.8870431893687708,0.4094995160167123,0.2639053071229718,0.0378441102802753,0.0473965071141719,0.0095523977652192,200,10
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,7,0.8333333333333334,0.8859060402684564,0.4339856243162763,0.2361749498562887,0.0573732033371925,0.0690240859985351,0.0116508835926651,250,10
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,8,0.8553921568627451,0.8948306595365418,0.3587645416823672,0.2013905813112855,0.0675637125968933,0.0794462636113166,0.0118825510144233,250,10
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,9,0.8553921568627451,0.8952042628774423,0.3809477680673201,0.1805219772874377,0.0764068365097045,0.0876238495111465,0.0112170167267322,250,10
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,200,True,1.0,,SGD,1,SGD,0.001,10,0.8602941176470589,0.900523560209424,0.4207206146937667,0.1662465603904798,0.0766603350639343,0.0863989889621734,0.0097386557608842,250,10
