,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6614803741959965,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6205685162076763,0.6356216538548468,0.00010912308061961085,0.00012443382001947612,1.5310735761886463e-05,250
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.8266353719666892,0.567338846087456,0.0004232981300447136,0.0004347675130702555,1.1469369383121375e-05,450
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.3161764705882353,0.0,1.6405369767955704,0.468240194589964,0.0008990257047116756,0.0012702903477475047,0.00037126464303582907,700
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.6224140302807677,0.7144713063814809,0.0011907180305570364,0.004308959469199181,0.003118241438642144,700
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.6887254901960784,0.8145985401459854,0.7045103369974622,0.5146452651511537,0.0016249979380518198,0.001837155083194375,0.00021215711603872478,1100
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.31862745098039214,0.007142857142857143,1.4188496166584539,0.4230040211143593,0.0014106988674029708,0.0017482059774920344,0.0003375070809852332,1200
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.6838235294117647,0.8122270742358079,0.6441289385159811,0.666293895251372,0.000994254951365292,0.0027114804834127426,0.0017172255320474505,550
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.6887254901960784,0.8140556368960469,0.6359426560355168,0.49549296052634706,0.0017590756760910153,0.002373764291405678,0.0006146886153146625,1250
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.7009803921568627,0.8195266272189349,0.5893635779034858,0.473492718269117,0.001379517954774201,0.0014933423371985555,0.00011382442608010024,800
