,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6746288771722831,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6218429961625267,0.6439378965973857,0.00011087923485320061,0.0001323493052041158,2.147006853192579e-05,250
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6394524223664227,0.579095326844189,0.00042210370884276927,0.0004338600265327841,1.1756320418498944e-05,450
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.5837914511269214,0.5188623075155275,0.0009602729114703834,0.0010472845751792192,8.701165643287823e-05,700
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.7110488809206906,0.445325842015445,0.0013749315403401852,0.001652928302064538,0.00027799676172435284,1000
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,6,0.7156862745098039,0.7698412698412699,0.5435097667516446,0.37403035148742914,0.0009615446906536818,0.001293617649935186,0.0003320729301776737,1900
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,7,0.7450980392156863,0.8109090909090909,0.5505179347945195,0.33024820692789175,0.00046879431465640664,0.0007464230293408036,0.000277628714684397,1550
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,8,0.7181372549019608,0.8286140089418778,0.7415181371730333,0.3099039697450188,0.0002852874167729169,0.0003834865055978298,9.819909610087052e-05,700
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,9,0.7720588235294118,0.8553654743390358,0.46044813812363383,0.28151753981281075,0.0003799966361839324,0.00053610117174685,0.0001561045355629176,1000
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,10,0.821078431372549,0.8630393996247655,0.44272683056838374,0.24203259090626866,0.00034579241764731705,0.0005312745342962444,0.00018548211664892733,1050
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,11,0.8431372549019608,0.891156462585034,0.4453106420479861,0.20511929499426224,0.0003291337925475091,0.0004726899787783623,0.0001435561862308532,750
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,12,0.8382352941176471,0.8896321070234113,0.5398373740049554,0.15518375191244443,0.00044019517372362316,0.0005207133945077658,8.0518213508185e-05,950
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,13,0.8455882352941176,0.8888888888888888,0.4938056191758198,0.11632689977938897,0.00045490567572414875,0.0005490024923346937,9.409680205862969e-05,1100
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,14,0.8431372549019608,0.8857142857142857,0.5462964572487217,0.07867012958898735,0.0003951484977733344,0.00048705260269343853,9.190409764414653e-05,1150
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,15,0.8357843137254902,0.8877721943048577,0.807718320693775,0.04802287868814262,0.0003288227890152484,0.000377858494175598,4.903570516034961e-05,1150
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,16,0.8357843137254902,0.8896210873146623,0.9716779263050971,0.029795779212005415,0.00027179523021914065,0.0003194896562490612,4.769443330587819e-05,1250
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,17,0.8308823529411765,0.8848080133555927,0.890435131919552,0.020420079480196973,0.00020785759261343628,0.00023900794622022659,3.11503499688115e-05,1200
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,18,0.8480392156862745,0.8927335640138409,0.7692423639545107,0.015612329892563868,0.00017928877787198871,0.00019585154950618744,1.6562767996219918e-05,1000
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,19,0.8308823529411765,0.883248730964467,0.8424086237757686,0.011560264626719382,0.0001713201927486807,0.00020252462127245963,3.120442488580011e-05,1300
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,20,0.8235294117647058,0.8807947019867549,0.967824813295795,0.008062303014949434,0.0001288676867261529,0.00013663043500855565,7.762754648865666e-06,1500
20,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,21,0.8284313725490197,0.8833333333333333,0.9120003931240325,0.012405201036541262,8.576029358664528e-05,9.063049219548702e-05,4.870197699347045e-06,300
21,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,22,0.8308823529411765,0.8828522920203735,0.8207831485642065,0.007354403157919155,0.0001402647903887555,0.00015595964214298874,1.5694853573222645e-05,1900
22,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,23,0.8406862745098039,0.8869565217391304,0.7799708419456604,0.011761557900812476,7.057187758618966e-05,7.166557043092325e-05,1.093692389986245e-06,250
23,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,24,0.8308823529411765,0.8840336134453781,0.819409510782719,0.006048486025561271,0.00011718778841895983,0.0001349467784166336,1.775898999767378e-05,1900
24,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,25,0.8333333333333334,0.8866666666666667,0.8282302282682127,0.013190882291256761,5.910349864279851e-05,6.039008803782053e-05,1.2865901908298838e-06,150
25,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,26,0.8308823529411765,0.8844221105527639,0.804267256543515,0.0052880402655604165,0.00010982812091242522,0.00012144193897256628,1.1613820788625162e-05,1900
26,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,27,0.8357843137254902,0.8846815834767642,0.7465141421873305,0.010129701922647658,5.9741618315456435e-05,6.181914068292826e-05,2.077522367471829e-06,200
27,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,28,0.8357843137254902,0.8850771869639794,0.7687205379627937,0.005165369975673169,9.813496581045911e-05,0.00010342478344682604,5.289816726872232e-06,1900
28,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,29,0.8382352941176471,0.888135593220339,0.7909537173953711,0.009432878447114492,5.1555060053942725e-05,5.266696825856343e-05,1.1119070677523268e-06,250
29,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,30,0.8333333333333334,0.8851351351351351,0.8203023676281137,0.003976041354315576,9.974124259315431e-05,0.00010696503886720166,7.223797638289398e-06,1900
30,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,31,0.8333333333333334,0.8839590443686007,0.822438562224966,0.004680195060333064,5.0238726544193923e-05,5.13062987010926e-05,1.0675730663933791e-06,400
31,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,32,0.8382352941176471,0.8877551020408163,0.8686221636621756,0.0024509179101893856,7.667755562579259e-05,8.105215238174424e-05,4.374599939183099e-06,1900
32,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,33,0.8382352941176471,0.8873720136518771,0.8819599058901362,0.004203131975761305,4.083137901034206e-05,4.160876778769307e-05,7.773877541694674e-07,300
33,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,34,0.8333333333333334,0.8847457627118644,0.9212876196942684,0.0015548651036944256,6.336519436445087e-05,6.555700383614749e-05,2.191808334828238e-06,1900
34,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,35,0.8333333333333334,0.8843537414965986,0.9311329674548652,0.0036202232050709443,3.170295531162992e-05,3.2273572287522256e-05,5.706172032660106e-07,250
35,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,36,0.8284313725490197,0.8813559322033898,0.9507241489019875,0.0012443237838957255,5.761701686424203e-05,5.977395994705148e-05,2.156941945941071e-06,1900
36,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,37,0.8333333333333334,0.8831615120274914,0.8994338955432314,0.0027089700770506165,3.255874980823137e-05,3.347246456542052e-05,9.137143592852226e-07,250
37,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,38,0.8357843137254902,0.8858603066439523,0.9265498286892099,0.000978177812602983,4.920752326142974e-05,5.1191298553021625e-05,1.9837736999761546e-06,1900
38,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,39,0.8333333333333334,0.8839590443686007,0.9157496586872274,0.002996639287302968,2.564180249464698e-05,2.6166531824856065e-05,5.247285344012198e-07,150
39,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,40,0.8406862745098039,0.8907563025210085,0.9694250238452714,0.0007324486743232946,4.15261929447297e-05,4.305499896872789e-05,1.5288073882402387e-06,1900
40,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,41,0.8406862745098039,0.8903878583473862,0.9381334407060458,0.004547469504963374,2.267232230224181e-05,2.3698919903836213e-05,1.0265976015944034e-06,150
41,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,42,0.8382352941176471,0.8873720136518771,0.9000021439455403,0.0006559720366498557,3.682031456264667e-05,3.72583199350629e-05,4.380052303076809e-07,1900
42,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,43,0.8382352941176471,0.8865979381443299,0.8508299141919683,0.003430402931475935,2.1449881387525238e-05,2.1854100850760005e-05,4.0421903690912586e-07,150
43,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,44,0.8431372549019608,0.8904109589041096,0.8642369549209024,0.0006519223803004841,3.3455038646934554e-05,3.551992995198816e-05,2.064891532427282e-06,1900
44,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,45,0.8455882352941176,0.8926746166950597,0.8884288628840152,0.0017677789176872467,1.7529731849208474e-05,1.776186763891019e-05,2.3213505073726992e-07,250
45,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,46,0.8406862745098039,0.8907563025210085,0.9418151865776927,0.0006146614243453338,3.353121064719744e-05,3.4470831451471895e-05,9.396201221534284e-07,1900
46,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,47,0.8480392156862745,0.8949152542372881,0.915488889296231,0.0024968763122160454,1.8587534214020707e-05,1.9536635591066442e-05,9.491013202023169e-07,150
47,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,48,0.8553921568627451,0.8991452991452992,0.8823995705318464,0.0005516021854070318,2.7239339033258148e-05,2.7611138648353517e-05,3.7179898981776205e-07,1900
48,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,49,0.8480392156862745,0.8923611111111112,0.8456107595507181,0.003242153191749822,1.5905492546153255e-05,1.6163341570063494e-05,2.578485975845979e-07,100
49,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,50,0.8529411764705882,0.8983050847457628,0.9216417439502217,0.0005613427005894325,2.9811908461852e-05,3.433149686316028e-05,4.519588401308283e-06,1900
50,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,51,0.8455882352941176,0.893760539629005,0.9468535573340726,0.0014019166247053359,1.5548441297141835e-05,1.6136502381414175e-05,5.880612548025965e-07,200
51,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,52,0.8480392156862745,0.8949152542372881,0.9294104484199802,0.00047764817883082857,2.9132457711966708e-05,2.9442549930536188e-05,3.1009153644845355e-07,1900
52,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,53,0.8553921568627451,0.8991452991452992,0.9031208521679647,0.0014873277159495046,1.457255712011829e-05,1.4786942301725503e-05,2.1438522423977702e-07,200
53,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,54,0.8529411764705882,0.896551724137931,0.8853619609280049,0.00046647152848891006,2.257288906548638e-05,2.2909784092917107e-05,3.368949421655998e-07,1900
54,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,AdamW,0.0001,SGD,1e-05,55,0.8578431372549019,0.8993055555555556,0.8678801412682458,0.0021872243135973497,1.1496654224174563e-05,1.1667993021546863e-05,1.7133875473973603e-07,150
