,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.008673194795846939,0.013362052850425243,0.004688858520239592,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,2,0.696078431372549,0.8176470588235294,0.5776617909763374,0.33482219638647165,0.16721463203430176,0.2231539487838745,0.055939313024282455,1400
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,3,0.7892156862745098,0.8557046979865772,0.43944817021781324,0.2955795313267736,0.11899372935295105,0.14864304661750793,0.029649315401911736,400
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,4,0.8431372549019608,0.8900343642611683,0.5784720899263287,0.12413074441472897,0.28682827949523926,0.3816263973712921,0.09479812532663345,1200
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,5,0.8406862745098039,0.8873483535528596,0.5329730227023509,0.12774611794373494,0.22796741127967834,0.2640879154205322,0.03612050414085388,750
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,6,0.8357843137254902,0.8858603066439523,0.7476280818039359,0.05083661500534634,0.293580561876297,0.3387570083141327,0.0451764352619648,1350
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,7,0.8504901960784313,0.8942807625649913,0.644258307644586,0.05904272518473954,0.20912396907806396,0.23447345197200775,0.02534947544336319,800
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,8,0.8553921568627451,0.8977469670710572,0.6471249694341347,0.04235422963053099,0.2531743049621582,0.2836860418319702,0.030511721968650818,1050
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,9,0.8553921568627451,0.8973913043478261,0.702298882500127,0.02799240866482054,0.2382429838180542,0.2658745348453522,0.027631552889943123,1350
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,10,0.8504901960784313,0.8950086058519794,0.6499627009935804,0.0593490598737327,0.17208698391914368,0.19060364365577698,0.018516654148697853,450
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,11,0.8480392156862745,0.8938356164383562,0.7841830381854807,0.01851520037410688,0.24708256125450134,0.2754952311515808,0.028412671759724617,1900
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,12,0.8504901960784313,0.8946459412780656,0.6776151689809208,0.04536124699269567,0.1286008507013321,0.142739936709404,0.014139091596007347,400
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,38,100,True,0.0,,SGD,1.0,SGD,0.001,13,0.8627450980392157,0.900709219858156,0.6953424732066695,0.014994762536433162,0.24403345584869385,0.2711268365383148,0.02709338814020157,1900
