,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.6465488976123286,0.6857686650156974,0.0003670506412163377,0.0005970456986688077,0.00022999505745247006,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,2,0.6838235294117647,0.8122270742358079,0.5941265462075963,0.41131265061013433,0.008728024549782276,0.01171745453029871,0.0029894302133470774,1000
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,3,0.6838235294117647,0.8122270742358079,0.5899233498117503,0.346388586496878,0.011021994054317474,0.01570863090455532,0.004686637315899134,1650
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,4,0.7107843137254902,0.8244047619047619,0.7987211611779297,0.28852667994373893,0.00821823813021183,0.011736718937754631,0.0035184810403734446,1100
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,5,0.7622549019607843,0.8514548238897397,0.8358287310921678,0.22539737283252181,0.008866549469530582,0.011743930168449879,0.00287738093174994,1000
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,6,0.8406862745098039,0.8896434634974533,0.6420530684694064,0.1703550731056137,0.010670870542526245,0.013788700103759766,0.003117829095572233,1000
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,7,0.8480392156862745,0.8880866425992779,0.6742218558530451,0.12385978806207214,0.01314358226954937,0.01580066978931427,0.0026570879854261875,1100
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,8,0.8112745098039216,0.8566108007448789,0.6450678014433852,0.07084192072055472,0.014555467292666435,0.016846949234604836,0.0022914819419384003,1400
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,9,0.8161764705882353,0.8653500897666068,0.6729272343127021,0.02236880687665447,0.010578342713415623,0.012384905479848385,0.0018065629992634058,2400
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,10,0.8455882352941176,0.8926746166950597,0.8344338039876711,0.015369327645823697,0.005421491339802742,0.006279883440583944,0.0008583919261582196,1750
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,11,0.8333333333333334,0.8881578947368421,1.0643194780480139,0.01137326178235676,0.003769606351852417,0.004220522474497557,0.00045091600622981787,1450
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,12,0.8308823529411765,0.8855721393034826,1.1200845024500534,0.022262920728789014,0.003147226059809327,0.0034922838676720858,0.00034505789517425,350
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,13,0.8480392156862745,0.89419795221843,0.9731233764049487,0.006250944675231952,0.003943577408790588,0.004507631063461304,0.000564053887501359,2400
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,14,0.8553921568627451,0.8959435626102292,0.864396376545283,0.005458421465906819,0.0020040522795170546,0.002224140102043748,0.00022008783707860857,1350
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,15,0.8480392156862745,0.8896797153024911,0.8304687415711313,0.0040899957452756935,0.001713438774459064,0.0019281102577224374,0.00021467148326337337,2400
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,16,0.8553921568627451,0.8970331588132635,0.8333689501275384,0.0069608008312043255,0.0008973948424682021,0.0009944988414645195,9.710397716844454e-05,400
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,17,0.8504901960784313,0.8974789915966387,0.9249340987407063,0.002937591104797171,0.0011295003350824118,0.0012761132093146443,0.00014661291788797826,2400
17,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,18,0.8431372549019608,0.8940397350993378,1.013766168237221,0.005097914450198005,0.0006001980509608984,0.0006400705897249281,3.98725678678602e-05,300
18,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,19,0.8455882352941176,0.8955223880597015,1.0249654799606338,0.002036697110148907,0.0009925197809934616,0.0010925634996965528,0.00010004374053096399,2400
19,roberta-base,glue,mrpc,2,10,10,1.0,8,1,48,100,True,0.0,,Adam,0.0001,SGD,0.0001,20,0.8627450980392157,0.9050847457627119,0.9256432997189061,0.005501711942098332,0.0005257338052615523,0.0005640340386889875,3.8300240703392774e-05,250
