,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6614803741959965,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.619300503356784,0.6257930930512292,0.00020273469272069633,0.0002320043568033725,2.926966772065498e-05,350
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6786501647210589,0.5294684666653473,0.0010351287201046944,0.0010632853955030441,2.8156631742604077e-05,750
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.3161764705882353,0.0,1.0741608563591452,0.43171426162216814,0.00233831605874002,0.002673039911314845,0.00033472393988631666,1600
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,1.244731763085606,0.39962955219857405,0.002654602285474539,0.006114577408879995,0.0034599751234054565,2800
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.46078431372549017,0.36416184971098264,0.6996778132868748,0.4439822545496014,0.0017754784785211086,0.005541851278394461,0.003766372799873352,2150
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.7009803921568627,0.8189910979228486,0.593795453508695,0.45031885695606483,0.001441298401914537,0.0025156678166240454,0.0010743694147095084,1000
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.7450980392156863,0.8375,0.4685235184197332,0.34203138397162924,0.002157788723707199,0.0029872418381273746,0.0008294532308354974,3400
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.8112745098039216,0.8701517706576728,0.39395351094358105,0.2836876666942346,0.0010320866713300347,0.0014736006269231439,0.0004415139846969396,2100
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.8357843137254902,0.8830715532286213,0.3617274931394586,0.22553795171385782,0.0008437765063717961,0.00116528884973377,0.0003215123724658042,1950
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,11,0.8431372549019608,0.8888888888888888,0.394360771512284,0.17483324439735673,0.0007405575597658753,0.0010286761680617929,0.0002881186082959175,1800
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,12,0.8406862745098039,0.8857644991212654,0.4948818837383799,0.1365910781703561,0.0007100412622094154,0.001031600753776729,0.0003215594624634832,1700
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,13,0.8455882352941176,0.8877005347593583,0.42414122359717593,0.13563674926649671,0.0007334031979553401,0.0013723976444453,0.00063899444648996,1550
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,14,0.8308823529411765,0.8824531516183987,0.5709415436083195,0.09894092145462054,0.0007979233632795513,0.0013591570314019918,0.0005612336681224406,2000
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,15,0.8553921568627451,0.8952042628774423,0.4452931927882281,0.07331355640049117,0.0006784263532608747,0.0010517679620534182,0.00037334157968871295,2050
15,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,16,0.8529411764705882,0.8969072164948454,0.5580068959982372,0.05257650745537305,0.0005573676899075508,0.0007815722492523491,0.00022420455934479833,2200
16,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adagrad,0.0001,SGD,1e-05,17,0.8602941176470589,0.9001751313485113,0.5080370315277547,0.041798643225652396,0.0004364544292911887,0.000561282504349947,0.00012482806050684303,2150
