,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6746288771722831,0.7419016926288604,4.618841558112763e-06,7.547909717686707e-06,2.929067932200269e-06,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6205739419834286,0.6341540241326606,0.00019963807426393032,0.00023939288803376257,3.975480649387464e-05,350
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.737804139361662,0.5453888538265601,0.001045692479237914,0.0010825630743056536,3.687061325763352e-05,800
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,4,0.36519607843137253,0.16720257234726688,0.7334072893741084,0.46165311333884784,0.0021982695907354355,0.0027397293597459793,0.0005414597108028829,1500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,5,0.7083333333333334,0.8215892053973014,0.6807170101240569,0.38331976630100434,0.0023489142768085003,0.0035254713147878647,0.0011765570379793644,3400
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,6,0.6936274509803921,0.8159057437407953,0.7302394497628305,0.3573220429687819,0.0011522877030074596,0.001469559851102531,0.00031727211899124086,2550
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,7,0.7401960784313726,0.7977099236641222,0.4909599797398436,0.3208601059513384,0.0007476010359823704,0.0011778714833781123,0.00043027044739574194,2150
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,8,0.7598039215686274,0.7949790794979079,0.5594892769175417,0.27871633658853584,0.000554907601326704,0.0008398490026593208,0.00028494137222878635,1450
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,9,0.8504901960784313,0.8964346349745331,0.40039408312854813,0.2278347650017989,0.0006334665813483298,0.0009467277559451759,0.0003132611745968461,1400
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,10,0.8308823529411765,0.8848080133555927,0.418128351242665,0.18038623090721026,0.0007926138350740075,0.001002580625936389,0.00020996681996621192,1450
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,AdamW,0.0001,SGD,1e-05,11,0.8700980392156863,0.9027522935779817,0.3680551529989815,0.13490903575171587,0.0009466115734539926,0.001168446964584291,0.00022183539113029838,1750
