,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.6465488976123286,0.6857686650156974,0.0003670506412163377,0.0005970456986688077,0.00022999505745247006,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,2,0.6838235294117647,0.8122270742358079,0.5524746255547393,0.38507494578662177,0.0121413953602314,0.018283415585756302,0.00614202069118619,2150
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,3,0.6838235294117647,0.8122270742358079,0.6051135378725389,0.32835788844229175,0.010022614151239395,0.01430609729140997,0.004283483140170574,1350
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,4,0.7254901960784313,0.8323353293413174,0.9147216372429302,0.2514707470717358,0.012590794824063778,0.01809319294989109,0.0055023981258273125,1450
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,5,0.7573529411764706,0.847457627118644,0.8215408157557249,0.20170084847524214,0.014547744765877724,0.01902400143444538,0.0044762566685676575,1300
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,6,0.8357843137254902,0.8873949579831932,0.7615571887981073,0.12250870553141632,0.019054435193538666,0.025079000741243362,0.006024566479027271,1650
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,7,0.8308823529411765,0.8804159445407279,0.8221835498241525,0.0696420852159908,0.019764024764299393,0.02356087788939476,0.003796853357926011,2000
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,8,0.8284313725490197,0.8793103448275862,0.7038291126544423,0.06999681152650747,0.016815830022096634,0.019244054332375526,0.002428225241601467,1400
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,9,0.8333333333333334,0.8831615120274914,0.6402570850617599,0.01498059456738787,0.010956531390547752,0.012695908546447754,0.001739376806654036,3400
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,10,0.8308823529411765,0.8848080133555927,0.897309073905561,0.008977967446009916,0.0054451171308755875,0.006436736322939396,0.0009916191920638084,2950
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,11,0.8284313725490197,0.8841059602649006,1.0870470004772548,0.009485975378980844,0.0031691878102719784,0.0035589139442890882,0.0003897262504324317,1400
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,12,0.8333333333333334,0.8877887788778878,1.162550695199838,0.0041219597621310455,0.003815828822553158,0.004329762887209654,0.000513934064656496,3250
12,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,13,0.8259803921568627,0.8818635607321131,1.125003337627562,0.007846296754491052,0.0020474628545343876,0.0022761996369808912,0.00022873684065416455,600
13,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,14,0.8455882352941176,0.8926746166950597,1.0240852768494697,0.002994253233452632,0.003386084921658039,0.0038115722127258778,0.0004254873492754996,3400
14,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,Adam,0.0001,SGD,0.0001,15,0.8627450980392157,0.9014084507042254,1.0117181277208718,0.0060778412152350135,0.0017115785740315914,0.0018956840503960848,0.0001841054909164086,450
