,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,1,0.6838235294117647,0.8122270742358079,0.6270383859381956,0.4972625351846219,0.008673194795846939,0.013362052850425243,0.004688858520239592,50
1,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,2,0.7107843137254902,0.8228228228228228,0.5530809827295005,0.2962754520202437,0.3012068271636963,0.4054694175720215,0.104262575507164,1950
2,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,3,0.8308823529411765,0.883248730964467,0.5128823481500149,0.1396265600236163,0.2599252760410309,0.3530614972114563,0.09313622117042542,1150
3,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,4,0.8480392156862745,0.8912280701754386,0.6002467995527766,0.06974286792880954,0.38347452878952026,0.4531819522380829,0.06970743089914322,1600
4,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,5,0.8455882352941176,0.891566265060241,0.7293695488162271,0.04548588112906338,0.4033947288990021,0.463609516620636,0.060214776545763016,1850
5,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,6,0.8431372549019608,0.8904109589041096,0.7491171099830478,0.046424122776034187,0.369663268327713,0.415673166513443,0.046009887009859085,1350
6,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,7,0.8480392156862745,0.8927335640138409,0.796536972283445,0.02062220579731066,0.43769410252571106,0.49255943298339844,0.054865334182977676,3400
7,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,8,0.8455882352941176,0.8919382504288165,0.7368968080514676,0.03666317107963387,0.2211645245552063,0.24635910987854004,0.02519458904862404,900
8,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,9,0.8406862745098039,0.8896434634974533,0.9179625811702863,0.010370159481047756,0.3257521688938141,0.36315640807151794,0.03740422800183296,3400
9,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,10,0.8480392156862745,0.8923611111111112,0.7016889213917631,0.03772687944363594,0.17343656718730927,0.19270098209381104,0.01926441304385662,550
10,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,11,0.8504901960784313,0.8946459412780656,0.7975042246244437,0.00904008746478907,0.29333359003067017,0.3266153633594513,0.033281758427619934,3400
11,roberta-base,glue,mrpc,2,10,10,1.0,8,1,68,100,True,True,0.0,,SGD,1.0,SGD,0.001,12,0.8602941176470589,0.8991150442477877,0.6913481714034466,0.02485504832428098,0.15913735330104828,0.17606399953365326,0.016926640644669533,600
