,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.616360664952035,0.443955488157086,0.011513905599713326,0.018240243196487427,0.0067263380624353886,1000
1,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,2,0.7009803921568627,0.8189910979228486,0.6387064494923049,0.38593170605544,0.006664115469902754,0.007611608598381281,0.0009474932448938489,1000
2,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,3,0.7230392156862745,0.8274809160305343,0.6065514606295848,0.3498292529726401,0.005916527938097715,0.007618185132741928,0.0017016571946442127,1000
3,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,4,0.7941176470588235,0.8609271523178808,0.5088818960768335,0.28078075123215096,0.007489541079849005,0.011140869930386543,0.0036513288505375385,1000
4,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,5,0.8137254901960784,0.8754098360655738,0.7218734907105053,0.18519047847311013,0.011803182773292065,0.015138587914407253,0.0033354053739458323,1000
5,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,6,0.8186274509803921,0.875,0.8076331854738551,0.11884519623485393,0.012986678630113602,0.016017261892557144,0.00303058372810483,1000
6,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,7,0.8529411764705882,0.8951048951048951,0.7003077527384877,0.078512846983911,0.011597066186368465,0.013845356181263924,0.0022482897620648146,1000
7,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,8,0.8553921568627451,0.8973913043478261,0.7156309590311994,0.04624204400291783,0.00932584423571825,0.01093989796936512,0.0016140538500621915,1000
8,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,9,0.8431372549019608,0.8922558922558923,0.7996725515849368,0.02569231329714821,0.005903699900954962,0.00681261345744133,0.00090891367290169,1000
9,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,10,0.8431372549019608,0.8954248366013072,0.8719235806578688,0.014629186420587942,0.004196922294795513,0.004723403137177229,0.0005264809005893767,1000
10,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,11,0.8406862745098039,0.8929159802306426,0.8663651043022458,0.009050182411968127,0.002617107704281807,0.0029998794198036194,0.0003827717446256429,1000
11,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,12,0.8431372549019608,0.8915254237288136,0.8371846241920424,0.005982222062889195,0.002022039843723178,0.00231875735335052,0.0002967174514196813,1000
12,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,13,0.8382352941176471,0.8846153846153846,0.8271339829251005,0.003809774140386435,0.0016290666535496712,0.0018339775269851089,0.0002049108879873529,1000
13,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,14,0.8406862745098039,0.8853615520282186,0.8566273669093075,0.0030237413512397325,0.0014550822088494897,0.0016289058839902282,0.00017382364603690803,1000
14,roberta-base,glue,mrpc,2,10,10,1.0,8,20,-1,100,False,0.0,,Adam,0.0001,SGD,0.0001,15,0.8627450980392157,0.9024390243902439,0.8913859651156064,0.0024740980462287553,0.00152845389675349,0.0017199245048686862,0.00019147056445945054,1000
