,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6399478281245512,0.6002429811944564,0.002142848912626505,0.003493937198072672,0.0013510884018614888,1500
1,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6313955737095253,0.5032028024723132,0.00246344693005085,0.0029252050444483757,0.00046175808529369533,1500
2,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.696078431372549,0.8171091445427728,0.6808151228755128,0.46421120712459085,0.0024060667492449284,0.002557666040956974,0.00015159918984863907,1500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.6985294117647058,0.8183161004431314,0.7506397858846421,0.49106409082710745,0.0023841981310397387,0.003565604332834482,0.0011814062017947435,1500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.4485294117647059,0.40633245382585753,0.7026419721397699,0.42991430786748736,0.002076944336295128,0.0027694383170455694,0.0006924938643351197,1500
5,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.6985294117647058,0.8183161004431314,0.6266220670704749,0.44590367602755626,0.002334550255909562,0.0035267334897071123,0.0011921832337975502,1500
6,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.7205882352941176,0.8262195121951219,0.5398039619127909,0.40484765442311765,0.0020360955968499184,0.002326430520042777,0.0002903349814005196,1500
7,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.7034313725490197,0.8217967599410898,0.7421178599344749,0.35869069889634847,0.0014256613794714212,0.001628383412025869,0.00020272203255444765,1500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.5588235294117647,0.5384615384615384,0.8243701896246742,0.3051208618145436,0.0006797608220949769,0.0010131471790373325,0.0003333863860461861,1500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.7279411764705882,0.8340807174887892,0.8899148862955033,0.273400797416394,0.0006683315732516348,0.0014168944908306003,0.0007485629175789654,1500
10,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,11,0.625,0.6240786240786241,0.807404940034829,0.23807720737159252,0.0006915357080288231,0.0013802297180518508,0.0006886940100230277,1500
11,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,12,0.7647058823529411,0.8532110091743119,0.7623497505727059,0.1846831865593791,0.0007006445666775107,0.0013843051856383681,0.0006836606189608574,1500
12,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,13,0.7818627450980392,0.8172484599589322,0.5645828515145124,0.1429597134690111,0.0006543614435940981,0.0011484036222100258,0.0004940421786159277,1500
13,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,14,0.8284313725490197,0.8863636363636364,0.6013971747940078,0.09743394003193825,0.0006220421637408435,0.0009580104961059988,0.0003359683323651552,1500
14,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adagrad,0.0001,SGD,1e-05,15,0.8651960784313726,0.8983364140480592,0.4412445540302524,0.06990378175565663,0.00046708615263924,0.0006646827678196132,0.00019759662973228842,1500
