,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,1,0.6838235294117647,0.8122270742358079,0.6453850210881701,0.6002429811944564,0.002142848912626505,0.003493937198072672,0.0013510884018614888,1500
1,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,2,0.6838235294117647,0.8122270742358079,0.6999375352672502,0.5086657677173615,0.002444044454023242,0.002947882516309619,0.0005038381204940379,1500
2,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,3,0.6838235294117647,0.8122270742358079,0.6353313245025336,0.45733488580087817,0.0022191773168742657,0.0025197933427989483,0.00030061608413234353,1500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,4,0.6838235294117647,0.8122270742358079,0.6025302068275564,0.45968590190261605,0.0022891599219292402,0.0026048736181110144,0.0003157137252856046,1500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,5,0.6838235294117647,0.8122270742358079,0.7217228641258735,0.414485728297631,0.0018765947315841913,0.002136044902727008,0.0002594501420389861,1500
5,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,6,0.7549019607843137,0.8275862068965517,0.5106473062552658,0.36572090910896654,0.001300842734053731,0.0017625255277380347,0.00046168279368430376,1500
6,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,7,0.6813725490196079,0.7346938775510204,0.6060046442583495,0.3171344929480305,0.0008993282681331038,0.0011014967458322644,0.0002021684922510758,1500
7,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,8,0.7990196078431373,0.8551236749116607,0.4760048620256723,0.27686312132067975,0.0007906780811026692,0.0009920299053192139,0.00020135182421654463,1500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,9,0.8406862745098039,0.8794063079777366,0.3722435472642674,0.2305502434746362,0.0008038703817874193,0.0009960015304386616,0.00019213116320315748,1500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,10,0.8014705882352942,0.8462998102466793,0.40151479212092417,0.17518821972828977,0.0007123915129341185,0.0008978858822956681,0.00018549438391346484,1500
10,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,11,0.8308823529411765,0.883248730964467,0.6450319260897517,0.13152340116693326,0.0006854191888123751,0.0009682136587798595,0.0002827944699674845,1500
11,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,12,0.8308823529411765,0.8859504132231405,0.7644251910170686,0.08744201545959804,0.0006396831013262272,0.0007972006569616497,0.00015751755563542247,1500
12,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,13,0.8480392156862745,0.8908450704225352,0.5519650446561476,0.05601937327258057,0.0005318507319316268,0.0006194542511366308,8.760354103287682e-05,1500
13,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,14,0.8308823529411765,0.8719851576994434,0.5905983218119717,0.03696403044497128,0.0003411854268051684,0.00040337099926546216,6.218556518433616e-05,1500
14,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,15,0.8382352941176471,0.8833922261484098,0.6303530106521851,0.028319790096518895,0.0002525846066419035,0.0003156385791953653,6.30539798294194e-05,1500
15,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,16,0.8480392156862745,0.8973509933774835,0.771056551155269,0.021282089636280824,0.00021532666869461536,0.0002471544430591166,3.1827778002480045e-05,1500
16,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,17,0.8480392156862745,0.8959731543624161,0.7965366420491288,0.016439374037455615,0.00019153350149281323,0.0002131324727088213,2.159897849196568e-05,1500
17,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,18,0.8455882352941176,0.8908145580589255,0.7369491217986626,0.013835633656776434,0.00017537690291646868,0.00019552570302039385,2.014879646594636e-05,1500
18,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,AdamW,0.0001,SGD,1e-05,19,0.8480392156862745,0.8904593639575972,0.7351419732714182,0.010783590174185034,0.0001661083661019802,0.00018098308646585792,1.4874721273372415e-05,1500
