,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,1,0.6838235294117647,0.8122270742358079,0.627596983722612,0.425088674172697,0.01574374921619892,0.023314757272601128,0.007571007590740919,1500
1,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,2,0.6985294117647058,0.8188512518409425,0.636036858254788,0.37621858946556846,0.012906280346214771,0.015162301249802113,0.002256021136417985,1500
2,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,3,0.6985294117647058,0.8172362555720654,0.7791630660055899,0.33900557388135544,0.009449473582208157,0.014150569215416908,0.004701095633208752,1500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,4,0.7573529411764706,0.847926267281106,0.8867291117671365,0.23381063219873854,0.01570725440979004,0.0253023412078619,0.009595085866749287,1500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,5,0.7892156862745098,0.8647798742138365,0.9795195147459048,0.13113080052221196,0.019824445247650146,0.025732597336173058,0.005908153019845486,1500
5,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,6,0.8259803921568627,0.880672268907563,0.7841546463040525,0.08393510063057766,0.017808612436056137,0.021467484533786774,0.0036588723305612803,1500
6,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,7,0.8333333333333334,0.8798586572438163,0.7700347289004746,0.053405932691887335,0.014514688402414322,0.017367882654070854,0.0028531947173178196,1500
7,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,8,0.8455882352941176,0.8880994671403197,0.7576786720361698,0.029215434967280213,0.00962818693369627,0.011556696146726608,0.0019285089801996946,1500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,9,0.8431372549019608,0.8896551724137931,0.8248810847649378,0.018594781459516766,0.006734245922416449,0.00787429790943861,0.0011400518706068397,1500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,10,0.8431372549019608,0.8950819672131147,0.9919135189579809,0.010802018226107855,0.004383730236440897,0.004976650699973106,0.0005929204053245485,1500
10,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,11,0.821078431372549,0.8828250401284109,1.21570202989724,0.006915538892685436,0.0031032273545861244,0.0034842751920223236,0.000381047953851521,1500
11,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,Adam,0.0001,SGD,0.0001,12,0.8137254901960784,0.8778135048231511,1.2528020053685074,0.005320149582911594,0.002105843974277377,0.002442313125357032,0.00033646918018348515,1500
