,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,max_epochs,total_rounds,fda,threshold,theta,extras,server_opt_name,server_opt_lr,server_opt_momentum,client_opt_name,client_opt_lr,round,accuracy,f1,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,1,0.696078431372549,0.8171091445427728,0.5594252862182318,0.34825478681881605,0.21815431118011475,0.2909204959869385,0.07276619225740433,1500
1,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,2,0.7622549019607843,0.8496124031007752,1.28239256308777,0.1436782962992283,0.34700635075569153,0.47949323058128357,0.13248687982559204,1500
2,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,3,0.8553921568627451,0.8966725043782837,1.1483217145300753,0.07792799297055462,0.3911641836166382,0.4666406214237213,0.07547643035650253,1500
3,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,4,0.8529411764705882,0.8905109489051095,1.3838020857182056,0.0685030061278731,0.5383497476577759,0.6209837198257446,0.08263399451971054,1500
4,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,5,0.8529411764705882,0.8924731182795699,0.997729865822989,0.07100385382609621,0.7435469031333923,0.842132031917572,0.09858514368534088,1500
5,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,6,0.8259803921568627,0.8773747841105354,0.8013829637179608,0.03226100627534775,0.5556463003158569,0.6236860752105713,0.06803974509239197,1500
6,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,7,0.8186274509803921,0.8774834437086093,0.9205136801876292,0.015875955683485564,0.3149629533290863,0.3560355007648468,0.0410725437104702,1500
7,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,8,0.8431372549019608,0.893687707641196,1.1292471384090188,0.009454096199544921,0.17815709114074707,0.20159919559955597,0.0234421007335186,1500
8,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,9,0.8455882352941176,0.8923076923076924,1.2771583214828341,0.008094268311127747,0.18744602799415588,0.21109668910503387,0.02365066297352314,1500
9,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,10,0.8480392156862745,0.8931034482758621,1.233013331459514,0.010007798974886753,0.30774641036987305,0.3456503450870514,0.03790393844246864,1500
10,roberta-base,glue,mrpc,2,10,10,1.0,8,30,10,100,False,True,0.0,,SGD,1.0,0.9,SGD,0.001,11,0.8578431372549019,0.8996539792387543,1.1563197377312124,0.0046856432856642516,0.13893088698387146,0.15503691136837006,0.016106022521853447,1500
