,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,1,0.4946000366099213,0.7549672997277094,0.4543810538430365,0.0423468872904777,0.0504639744758605,0.0081170881167054,560,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,2,0.6706937580084202,0.5899821844055573,0.3400780449083582,0.1480123400688171,0.1824306100606918,0.0344182774424552,560,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,3,0.8107267069375801,0.4536317551882166,0.2550100090649669,0.1284284740686416,0.175622820854187,0.047194343060255,560,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,4,0.7990115321252059,0.4998984382014672,0.2604766699709164,0.2151684165000915,0.26010262966156,0.0449342168867588,560,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,5,0.8308621636463481,0.4468560582694991,0.2486512658196235,0.8216843605041504,0.921665370464325,0.0999809801578521,560,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,6,0.8563060589419733,0.4130112533437123,0.1565852946434461,0.1550681293010711,0.1839798539876938,0.0289117228239774,560,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,7,0.847153578619806,0.4710168181257227,0.1726543188225228,0.1869827508926391,0.2219444364309311,0.0349616818130016,560,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,8,0.8026725242540729,0.6875630646168853,0.1658562496039667,0.2076943665742874,0.2446519136428833,0.0369575470685958,560,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,9,0.8416620904265056,0.5082625040663802,0.1503051542816267,0.2023374289274215,0.2368360608816146,0.0344986282289028,560,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,10,0.8288486179754714,0.593762646852972,0.141102367236994,0.1935284733772277,0.223446324467659,0.0299178548157215,560,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,11,0.8590518030386235,0.4653229299199114,0.1568407056975203,0.2109182178974151,0.2449412792921066,0.034023068845272,560,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,12,0.8669229361156874,0.4380191075748533,0.1392888770235835,0.2147094905376434,0.2466854155063629,0.0319759249687194,560,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,13,0.8773567636829581,0.4170930292910731,0.1082714116699311,0.1770927608013153,0.2017730772495269,0.0246803164482116,560,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,14,0.876807614863628,0.4252608096870316,0.1417980473658827,0.2416285723447799,0.2770545184612274,0.0354259498417377,560,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,15,0.8777228628958448,0.4362512768820981,0.1491083022139667,0.2574914693832397,0.2957363128662109,0.0382448397576808,560,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,16,0.8806516565989383,0.4056986847685822,0.1594677134059332,0.2155098915100097,0.2458987981081009,0.0303889028728008,560,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,17,0.8758923668314114,0.4412481229974565,0.1035904797173757,0.1845919638872146,0.2092813998460769,0.0246894396841526,560,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,18,0.8832143510891451,0.3933620563330535,0.1127869333189196,0.1939141750335693,0.2204253524541854,0.0265111774206161,560,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,19,0.8784550613216182,0.435003402553421,0.1464985750739807,0.2559406161308288,0.2919618189334869,0.0360211953520774,560,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,20,0.8786381109280615,0.4570801106067156,0.1397607484064481,0.2496703863143921,0.2847113907337188,0.0350410118699073,560,-1
20,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,21,0.8850448471535787,0.4240134366336115,0.105759633665158,0.2103351801633834,0.2368278354406356,0.0264926590025424,560,-1
21,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,22,0.8797364085667215,0.4488162920671538,0.1015014111450935,0.1904327124357223,0.2147484123706817,0.0243157017976045,560,-1
22,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,23,0.8815669046311551,0.427268091851019,0.1100242736703512,0.2173532843589782,0.2453020811080932,0.0279487948864698,560,-1
23,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,24,0.8839465495149186,0.4189840559932024,0.0825584256749633,0.1793780177831649,0.202566459774971,0.0231884401291608,560,-1
24,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,25,0.879919458173165,0.4611863724885325,0.0724969763007642,0.1587630212306976,0.1784199476242065,0.0196569301187992,560,-1
25,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,26,0.8894380377082189,0.3979998620347655,0.0776123052346416,0.155134841799736,0.1749620884656906,0.0198272503912448,560,-1
26,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,27,0.8885227896760022,0.3927232690090225,0.1063943354705822,0.2337431460618972,0.2629432082176208,0.0292000565677881,560,-1
27,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adagrad,0.0001,SGD,0.001,28,0.8870583928244554,0.4126171363413839,0.109714191465651,0.2389298975467682,0.2690925598144531,0.0301626678556203,560,-1
