,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,1,0.4946000366099213,0.7543994673523686,0.4543810538430365,0.0423468872904777,0.0504639744758605,0.0081170881167054,560,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,2,0.4947830862163646,0.6989346220762105,0.3435870683505449,0.0906810462474823,0.1234765797853469,0.0327955372631549,560,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,3,0.723412044664104,0.5642666618938328,0.2980596396303528,0.1567387878894806,0.2036106437444687,0.0468718484044075,560,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,4,0.7675269998169504,0.7201259659758685,0.278370860196467,0.1660674810409546,0.2094800323247909,0.0434125550091266,560,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,5,0.8041369211056196,0.7966282520573422,0.2227866868838983,0.1702252477407455,0.2076805382966995,0.0374552868306636,560,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,6,0.8348892549881017,0.6371771006253145,0.1784062699712272,0.2044169306755066,0.2395230829715728,0.0351061597466468,560,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,7,0.8537433644517665,0.493086987807065,0.1844601851118412,0.2063036561012268,0.2428206652402877,0.0365170091390609,560,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,8,0.8550247116968699,0.4473768200014212,0.1888494084196073,0.2427790164947509,0.2807539701461792,0.0379749611020088,560,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,9,0.8596009518579535,0.4384317562835615,0.1495200897774027,0.2188064008951187,0.251498281955719,0.0326918847858905,560,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,10,0.8597840014643968,0.4831608150448884,0.1354713982379949,0.2086575925350189,0.2381071597337722,0.0294495616108179,560,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,11,0.8658246384770273,0.4889592088388734,0.1493189000237388,0.2458548843860626,0.279154509305954,0.0332996249198913,560,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,12,0.8704008786381109,0.4892862444647382,0.130744206957544,0.2281823456287384,0.2578510344028473,0.0296686962246894,560,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,13,0.8746110195863079,0.481851906489409,0.0993923207994989,0.1926390826702118,0.2166074067354202,0.0239683166146278,560,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,14,0.8744279699798645,0.4835977268624794,0.157797012944819,0.2898981273174286,0.3268519937992096,0.0369538553059101,560,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,15,0.8760754164378547,0.49470153991675,0.1327787431353967,0.2723852694034576,0.3063453733921051,0.0339601002633571,560,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,16,0.8769906644700713,0.4959755189766927,0.109270215430141,0.2410857677459716,0.2700636684894562,0.0289779063314199,560,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,10,200,False,0.0,,Adam,0.0001,SGD,0.001,17,0.8779059125022881,0.4882540153625856,0.0895737201204558,0.1962887048721313,0.2193705141544342,0.0230818148702383,560,-1
