,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,1,0.4946000366099213,0.7333218375027267,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,2,0.4946000366099213,0.6950057136715767,0.7702179434576205,8.960250852396712e-06,1.220817557623377e-05,3.247924723837059e-06,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,3,0.519311733479773,0.6903988006872454,0.6902983686753682,7.228875347209396e-06,7.346656730078394e-06,1.177811910224591e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,4,0.4946000366099213,0.6950077279245871,0.6858224652707576,6.461806151492056e-06,6.515707354992628e-06,5.3901064944739125e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,5,0.5053999633900788,0.6911424284972698,0.702921639595713,6.288965323619777e-06,7.527572051913012e-06,1.2386068419800722e-06,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,6,0.5053999633900788,0.7003321472233595,0.6684966668486596,7.134316092560766e-06,7.752099918434396e-06,6.17783882717049e-07,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,7,0.4946000366099213,0.6925880744027882,0.7513521594128438,8.438863005721942e-06,1.239456469193101e-05,3.955701231461717e-06,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,8,0.4946000366099213,0.7008670815437116,0.664186820494277,3.282358420619857e-06,5.706049705622718e-06,2.42369128500286e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,9,0.4946000366099213,0.6946386523861138,0.7040788593036788,7.604168786201626e-06,8.399696525884792e-06,7.955276259963284e-07,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.0001,SGD,1e-05,10,0.4946000366099213,0.6993351275889451,0.6622350563960416,5.799278824270004e-06,6.57541022519581e-06,7.761315714560624e-07,56,-1
