,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,1,0.4946000366099213,2.0243524832059228,0.47509835189640776,0.49999040365219116,0.558079719543457,0.05808931216597557,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,2,0.5053999633900788,0.7116940134091747,0.4391072069444427,0.053840264678001404,0.10537490993738174,0.05153464525938034,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,3,0.4946000366099213,1.250970642484648,0.4279601923339734,0.04340263083577156,0.04639995098114014,0.0029973206110298634,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,4,0.5053999633900788,0.6930913464391214,0.48116644892642013,0.058418307453393936,0.0837746188044548,0.025356311351060867,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,5,0.5053999633900788,0.8289125392412546,0.46315262878696173,0.03303709253668785,0.038409266620874405,0.005372174084186554,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,6,0.4946000366099213,0.7191118970186086,0.3881465090754709,0.03220990672707558,0.03478239104151726,0.002572484780102968,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,7,0.5053999633900788,0.7052082697783173,0.4442586005638337,0.026712508872151375,0.028265435248613358,0.0015529266092926264,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,8,0.4946000366099213,0.9546999638112014,0.4668910550219672,0.015396280214190483,0.030657624825835228,0.015261344611644745,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,9,0.5053999633900788,0.7203966084633181,0.44798341767662875,0.043886948376894,0.07022250443696976,0.02633555606007576,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,10,0.4946000366099213,0.7741845113990248,0.43448935554562407,0.023789454251527786,0.037818994373083115,0.014029539190232754,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,11,0.5053999633900788,0.7055235242424738,0.4868890063321617,0.025202078744769096,0.045705970376729965,0.02050389163196087,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,12,0.5053999633900788,0.6964203935241978,0.4564804825299819,0.024236569181084633,0.024949081242084503,0.0007125125848688185,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,13,0.5053999633900788,0.7731064133029731,0.4006295493321626,0.03272882103919983,0.03755929693579674,0.004830476827919483,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,14,0.5053999633900788,0.696341713473179,0.5098855783447757,0.02103380858898163,0.025039909407496452,0.004006099887192249,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,15,0.5053999633900788,0.693907063318032,0.5420980600839747,0.018297497183084488,0.018971560522913933,0.000674062583129853,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,16,0.5053999633900788,0.6957298654239313,0.47108644045656545,0.028948813676834106,0.029624102637171745,0.0006752893677912652,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,17,0.5053999633900788,0.693123097388322,0.39408374023457454,0.031906817108392715,0.03255157545208931,0.0006447600899264216,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,18,0.5053999633900788,0.7341123245994657,0.4025658837378224,0.03924037516117096,0.04265585169196129,0.003415476530790329,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,19,0.4946000366099213,0.701715678543856,0.5396155904645898,0.017420882359147072,0.0248353723436594,0.007414490450173616,56
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,20,0.4946000366099213,0.7071185144288997,0.534089477958956,0.016399357467889786,0.017169123515486717,0.0007697666878812015,56
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,21,0.5053999633900788,0.7115738717389142,0.4189284649611051,0.023199107497930527,0.031063338741660118,0.007864232175052166,56
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,22,0.4946000366099213,0.69323908139462,0.4301320491990607,0.03222250938415527,0.03465532884001732,0.002432820852845907,56
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,23,0.4946000366099213,0.6936613421663533,0.4663680506803627,0.028971625491976738,0.02950637973845005,0.0005347546539269388,56
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,24,0.5053999633900788,0.6931383820089728,0.37061624565560897,0.03664173185825348,0.037070807069540024,0.00042907509487122297,56
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,25,0.4946000366099213,0.7205284231752812,0.3761334575845726,0.021944547072052956,0.02446555346250534,0.002521007088944316,56
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,26,0.5053999633900788,0.8202342560315725,0.36770015512177323,0.02267090231180191,0.05017330124974251,0.027502398937940598,56
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,27,0.5053999633900788,0.705983041233409,0.48288820416782985,0.02470570057630539,0.030031247064471245,0.005325545556843281,56
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,28,0.4946000366099213,0.7074498094367423,0.49552539437676646,0.01595274545252323,0.024091700091958046,0.008138954639434814,56
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,29,0.4946000366099213,0.7042476310562424,0.47615670512397107,0.024695605039596558,0.025350097566843033,0.0006544922944158316,56
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,0.01,30,0.4946000366099213,0.7193704954352595,0.4923981097925987,0.021872004494071007,0.02409469150006771,0.002222687704488635,56
