,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,1,0.4946000366099213,1.5651785737097177,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,2,0.5053999633900788,0.8321903714934694,1.5541282111047101,5.047708691563457e-05,0.0001435729645891115,9.309587767347693e-05,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,3,0.4946000366099213,1.1001056339128126,0.8510698094964028,6.499547453131527e-06,1.0011000995291397e-05,3.511453314786195e-06,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,4,0.5053999633900788,0.7033244550315387,1.0378631220731351,7.918037226772867e-06,1.6111422155518085e-05,8.193384928745218e-06,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,5,0.5053999633900788,0.6955100195823267,0.679003232717514,4.402252216095803e-06,4.407048891152954e-06,4.796871344581177e-09,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,6,0.5053999633900788,0.7463878016171658,0.6700780255453928,4.468401129997801e-06,4.764215191244148e-06,2.958142601983127e-07,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,7,0.4946000366099213,0.7154104372767369,0.8308111916695322,4.573255409923149e-06,8.146225809468888e-06,3.5729703995457385e-06,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,8,0.4946000366099213,0.7476228853881272,0.6173623537910836,1.9422461718932027e-06,2.3788129510649014e-06,4.3656677917169873e-07,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,9,0.4946000366099213,0.697750806546665,0.7756877751754864,4.616232217813376e-06,6.405374733731151e-06,1.7891425159177743e-06,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,10,0.4946000366099213,0.7119998266023214,0.6667623001549925,3.3121441447292455e-06,3.7184465782047482e-06,4.063024618972122e-07,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,11,0.5053999633900788,0.6930968333826582,0.757285662740469,2.9544460176111897e-06,4.825396445085062e-06,1.870950427473872e-06,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,12,0.4946000366099213,0.6931938253244928,0.6899520599416323,3.826377451332519e-06,3.829577963188058e-06,3.200385512158732e-09,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,13,0.5053999633900788,0.6950481994783896,0.6904671364596912,3.980893779953476e-06,4.295921371522127e-06,3.150275347252318e-07,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,14,0.5053999633900788,0.6931940920181888,0.6971739169742379,3.109354338448611e-06,3.1891229355096584e-06,7.976857574476526e-08,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,15,0.5053999633900788,0.6931052418264777,0.6922156709645475,2.5639305931690615e-06,2.5649385406723013e-06,1.0079238554894232e-09,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,16,0.5053999633900788,0.6932432027547286,0.6906442425080708,3.3769249512261013e-06,3.387169272173196e-06,1.0244271209103317e-08,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,17,0.4946000366099213,0.6943608526778605,0.6945211968251637,4.3363802433304954e-06,4.5651077016373165e-06,2.2872752936109464e-07,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,18,0.5053999633900788,0.6930886613502335,0.6951382490141051,4.069644091941882e-06,4.22259608967579e-06,1.5295196931219834e-07,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,19,0.4946000366099213,0.6970752684473118,0.6949029382850441,2.2215210719878087e-06,2.6484030968276784e-06,4.2688196799645084e-07,56
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,20,0.4946000366099213,0.70185628598815,0.6787129092429366,2.452360149618471e-06,2.5645317691669334e-06,1.1217169060273591e-07,56
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,0.001,SGD,1e-05,21,0.5053999633900788,0.69314801431156,0.7324917075889451,3.806427457675454e-06,5.298291853250703e-06,1.4918643955752486e-06,56
