,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,1,0.4946000366099213,0.704550573015981,0.5095044822831241,0.00886500347405672,0.009611074812710285,0.0007460710476152599,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,2,0.4946000366099213,0.7027301811892676,0.46936212549584777,0.010417845100164413,0.012365099042654037,0.0019472541753202677,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,3,0.4946000366099213,0.7019338152244534,0.4688599764070075,0.01022697240114212,0.01154289860278368,0.0013159257359802723,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,4,0.4946000366099213,0.7021781438266201,0.49845850703838684,0.008235071785748005,0.009080418385565281,0.0008453467162325978,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,5,0.4946000366099213,0.7000120701936468,0.48927812845047036,0.008452162146568298,0.010576723143458366,0.0021245614625513554,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,6,0.4946000366099213,0.6978171176303009,0.43791562543982365,0.010779967531561852,0.01413381565362215,0.003353848122060299,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,7,0.4946000366099213,0.6989954586084904,0.4734201757503408,0.008261270821094513,0.009497595019638538,0.0012363237328827381,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,8,0.4946000366099213,0.701701367494826,0.4867773421773953,0.007959021255373955,0.011260002851486206,0.0033009815961122513,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,9,0.4946000366099213,0.700895617681925,0.45505872038193046,0.008733546361327171,0.00977806095033884,0.0010445150546729565,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,10,0.4946000366099213,0.7030220336306671,0.4516429932854538,0.0068015530705451965,0.008334202691912651,0.0015326498541980982,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,11,0.4946000366099213,0.7004771886248888,0.5028727595162179,0.009000780060887337,0.011863469146192074,0.002862689085304737,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,12,0.4946000366099213,0.6997281487480264,0.4743827931449881,0.00887893233448267,0.009609649889171124,0.0007307177293114364,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,13,0.4946000366099213,0.697407727185664,0.42818042245760035,0.008019661530852318,0.010287550278007984,0.0022678885143250227,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,14,0.4946000366099213,0.6971298129806407,0.5130394226239462,0.009432143531739712,0.010340427048504353,0.0009082831675186753,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,15,0.4946000366099213,0.696667830120243,0.5482247878265168,0.015431130304932594,0.016827328130602837,0.0013961981749162078,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,16,0.4946000366099213,0.6957442706360824,0.48513852461640317,0.01021466962993145,0.01119443029165268,0.000979760312475264,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,17,0.4946000366099213,0.6958531264330248,0.41725052565868415,0.008979709818959236,0.0095869991928339,0.0006072891992516816,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,18,0.4946000366099213,0.69382499365646,0.4307882965376069,0.021466176956892014,0.02455674484372139,0.0030905683524906635,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,19,0.4946000366099213,0.6950413238251716,0.5359526362403163,0.006263373419642448,0.007185386028140783,0.0009220127249136567,56
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,20,0.4946000366099213,0.6959958523293714,0.5384095462039113,0.009204702451825142,0.009986797347664833,0.0007820945465937257,56
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,21,0.4946000366099213,0.692865817211732,0.43544628917838313,0.0071195559576153755,0.009116264060139656,0.0019967081025242805,56
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,22,0.4946000366099213,0.692874204972827,0.4420595273508557,0.007660357281565666,0.008199852891266346,0.0005394953768700361,56
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,23,0.4946000366099213,0.6925760862767958,0.47445422345439764,0.010353637859225273,0.011068250983953476,0.000714613008312881,56
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,24,0.4946000366099213,0.6909841711838808,0.39683993302086107,0.019152503460645676,0.021183380857110023,0.0020308776292949915,56
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,25,0.4946000366099213,0.6918850802921446,0.3984249887921449,0.009355858899652958,0.0110969552770257,0.0017410962609574199,56
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,26,0.4966135822807981,0.6855126678681828,0.38890063537151687,0.007853279821574688,0.01381287258118391,0.005959592759609222,56
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,27,0.4977118799194582,0.6838610086748227,0.48432557861586767,0.007469875272363424,0.008360978215932846,0.0008911028853617609,56
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,28,0.49496613582280796,0.6844342709634873,0.49418368499859106,0.022001277655363083,0.024323930963873863,0.0023226540070027113,56
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,29,0.49514918542925135,0.6821028206219262,0.4751062412613205,0.007191949989646673,0.008166544139385223,0.0009745942079462111,56
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,30,0.49496613582280796,0.6815909047776051,0.48585955298372674,0.005180586129426956,0.006266583688557148,0.0010859976755455136,56
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,31,0.5004576240161084,0.6758794953847524,0.4647522085179975,0.02189772203564644,0.025140082463622093,0.0032423599623143673,56
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,32,0.5465861248398316,0.6704689471997419,0.3682529744958239,0.017511121928691864,0.021493155509233475,0.003982032649219036,56
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.001,33,0.6318872414424309,0.6652336103151693,0.4629633718303272,0.005314537324011326,0.008287872187793255,0.002973334863781929,56
