,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,1,0.4946000366099213,0.7038247335707635,0.4750983518964077,0.4999904036521911,0.558079719543457,0.0580893121659755,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,2,0.4946000366099213,0.7026770437793536,0.4127563390826773,0.0729473084211349,0.0803266838192939,0.0073793772608041,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,3,0.4946000366099213,0.702201513210816,0.4260457005723895,0.0678150653839111,0.0739868730306625,0.0061718095093965,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,4,0.4946000366099213,0.702221655304575,0.483025786826121,0.0783586353063583,0.0851592049002647,0.0068005667999386,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,5,0.4946000366099213,0.7011349274508252,0.4729094541411281,0.1552103161811828,0.1752731204032898,0.0200628079473972,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,6,0.4946000366099213,0.7000336111202771,0.4003343868975728,0.0572898387908935,0.0682600066065788,0.0109701678156852,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,7,0.4946000366099213,0.7004751453113416,0.4544711714546013,0.0864557176828384,0.0945705100893974,0.0081147933378815,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,8,0.4946000366099213,0.7015360287482009,0.4769506091152185,0.0441814661026001,0.0547849722206592,0.0106035079807043,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,9,0.4946000366099213,0.701213931531194,0.438353970578672,0.0804435759782791,0.0894885584712028,0.0090449787676334,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,10,0.4946000366099213,0.7019437308890928,0.444739891286008,0.2170445621013641,0.2576391100883484,0.0405945479869842,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,11,0.4946000366099213,0.7010675613737036,0.4871773214091912,0.0391542166471481,0.0499011166393756,0.0107468990609049,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,12,0.4946000366099213,0.7009001506893386,0.4710950655101832,0.245326817035675,0.2750516831874847,0.0297248661518096,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,13,0.4946000366099213,0.7002944843311785,0.4074181547301123,0.1484168171882629,0.1671587973833084,0.0187419783324003,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,14,0.4946000366099213,0.7002070793993825,0.5186581388552441,0.1296597123146057,0.1403599679470062,0.0107002509757876,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,15,0.4946000366099213,0.7000650569774745,0.5526047935110651,0.0484274476766586,0.0540212765336036,0.005593828856945,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,16,0.4946000366099213,0.6998628379659806,0.4760059153690236,0.0710282549262046,0.0833378061652183,0.0123095540329813,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,17,0.4946000366099213,0.6999274390159205,0.4063710067412883,0.1104259490966796,0.1198653355240821,0.0094393854960799,56,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,18,0.4946000366099213,0.6995271135388845,0.4077210522951126,0.0608793869614601,0.0694670528173446,0.0085876677185297,56,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,19,0.4946000366099213,0.6998895180696624,0.5431811573516045,0.0815474465489387,0.0908754244446754,0.0093279760330915,56,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,0.01,20,0.4946000366099213,0.7001099856147655,0.5437341272198994,0.0345353186130523,0.0420646369457244,0.0075293183326721,56,-1
