,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,1,0.4946000366099213,0.7042024556225599,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,2,0.4946000366099213,0.7011684272683731,0.7087725618055889,7.76719389250502e-06,8.65433867147658e-06,8.871451200320735e-07,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,3,0.4946000366099213,0.6997742471373797,0.6969976243163859,7.541698323620949e-06,7.914181878732052e-06,3.724834130025556e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,4,0.4946000366099213,0.6993200711764145,0.6869264855980874,6.464972102548927e-06,6.512559139082441e-06,4.7586983242808856e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,5,0.4946000366099213,0.697734441188209,0.7078650819403786,6.4542800828348845e-06,7.556109721917892e-06,1.101829411709332e-06,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,6,0.4946000366099213,0.6963389608381783,0.7084886051714421,6.846425094408914e-06,8.708985660632607e-06,1.8625603388500167e-06,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,7,0.4946000366099213,0.6968881329017014,0.6779534913599491,6.369162747432711e-06,6.745605332980631e-06,3.764426423913392e-07,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,8,0.4946000366099213,0.6981014193064298,0.6590773664414883,3.46293722941482e-06,5.792892807221506e-06,2.329955577806686e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,9,0.4946000366099213,0.6975192929431251,0.6971826673618384,7.60967532187351e-06,8.045676622714382e-06,4.3600141452770913e-07,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adagrad,1e-05,SGD,1e-05,10,0.4946000366099213,0.6982076323398908,0.6660625017115048,6.009532171447063e-06,6.86503426550189e-06,8.555019803679897e-07,56,-1
