,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,1,0.4946000366099213,0.7248214446171835,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,2,0.4946000366099213,0.7017779800588181,0.7523163752364261,8.577982953283936e-06,1.1061689292546362e-05,2.483705884515075e-06,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,3,0.4946000366099213,0.6928791057312995,0.697733399271965,7.399379683192819e-06,7.812274816387799e-06,4.1289519003839814e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,4,0.5053999633900788,0.6920449250264538,0.687534944500242,6.73360591463279e-06,6.806782039348036e-06,7.317595418498969e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,5,0.5053999633900788,0.6949401173200649,0.6825703081275736,6.641657364525599e-06,6.9003845055704005e-06,2.587269420928351e-07,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,6,0.5053999633900788,0.7032019152997353,0.6619737022157227,6.240843504201621e-06,6.500478320958791e-06,2.596349872874271e-07,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,7,0.5053999633900788,0.6966015754995724,0.7501798655305592,5.86899204790825e-06,8.515467925462872e-06,2.646475877554621e-06,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,8,0.5043016657514187,0.6948360373998281,0.7657734577144895,3.301444394310238e-06,8.8098877313314e-06,5.508443337021163e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,9,0.4946000366099213,0.6955420590424433,0.689646065128701,6.783668140997179e-06,6.8298736550787e-06,4.6205613557503966e-08,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,10,0.4946000366099213,0.7146414639660066,0.6751346054886069,5.267645519779762e-06,6.245625172596192e-06,9.77979539129592e-07,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,11,0.4946000366099213,0.6985321218586945,0.7577705166701759,5.573087037191726e-06,9.009489076561294e-06,3.4364018119958928e-06,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,12,0.4971627311001281,0.6936662488591095,0.6929148916687284,5.663892352458788e-06,5.8671848819358274e-06,2.0329261474216767e-07,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,13,0.5053999633900788,0.6961766107888732,0.6966179197388035,6.665912223979831e-06,7.549570000264794e-06,8.836576625981252e-07,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,14,0.5053999633900788,0.694328300687614,0.6943500713578292,8.019826964300591e-06,8.3085424193996e-06,2.887153698338807e-07,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,15,0.5088779059125023,0.6923075473675092,0.6919772317366941,5.595510629063938e-06,5.663819592882646e-06,6.83087861830245e-08,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,16,0.6126670327658795,0.6916193219439003,0.6881347476371696,6.1326809372985736e-06,6.163628313515801e-06,3.094745792964204e-08,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,17,0.4946000366099213,0.6927212073548122,0.6858223650072303,7.530703442171216e-06,7.770900083414745e-06,2.4019644229156256e-07,56,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,18,0.4946000366099213,0.6921138625542904,0.6907977455428669,6.953278898436111e-06,7.199971150839701e-06,2.466921387167531e-07,56,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,19,0.4946000366099213,0.6937144074921726,0.6829165992992265,3.908455255441368e-06,4.326987891545286e-06,4.185325792604999e-07,56,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,20,0.4946000366099213,0.6981690076573875,0.6789061400507178,4.27945587944123e-06,4.573757450998528e-06,2.94301685244136e-07,56,-1
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,21,0.4946000366099213,0.6940749928158862,0.7172472238540648,6.714188202749938e-06,8.863253242452629e-06,2.1490652670763666e-06,56,-1
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,22,0.4946000366099213,0.6916273282527226,0.6770102312522275,6.770554136892315e-06,6.855138963146601e-06,8.458468414573873e-08,56,-1
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,23,0.4946000366099213,0.6894411849591603,0.6801684527524879,6.220497198228259e-06,6.266187938308576e-06,4.569076850202691e-08,56,-1
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,24,0.6774665934468241,0.6838894986477987,0.6817964955099991,9.19909780350281e-06,9.22691287996713e-06,2.7814659020464205e-08,56,-1
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,25,0.4946000366099213,0.6907762107527972,0.6725607023707457,9.343005331174936e-06,1.0622817171679344e-05,1.2798119541912456e-06,56,-1
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,26,0.7127951674903898,0.6712390010737396,0.7328963930053372,4.962982075085165e-06,1.19006535896915e-05,6.937671514606336e-06,56,-1
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,27,0.5059491122094087,0.7078097830492441,0.66996022186109,9.524668712401764e-06,9.63294860412134e-06,1.0827992724671277e-07,56,-1
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,28,0.5061321618158521,0.6866231536271806,0.7400386102497578,1.3161995411792304e-05,2.463834243826568e-05,1.1476347026473375e-05,56,-1
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,29,0.4946000366099213,0.6952099174391997,0.6798505289213999,5.876600425835932e-06,5.9580211200227495e-06,8.142063023797165e-08,56,-1
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,30,0.4946000366099213,0.6984818987930153,0.6706077745982578,3.786616616707761e-06,4.1701550799189135e-06,3.83538349524315e-07,56,-1
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,31,0.4946000366099213,0.6981429311052773,0.7158545721854481,4.5366937229118776e-06,5.970318852632772e-06,1.4336252434077323e-06,56,-1
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,32,0.4946000366099213,0.696341446692214,0.7220494616244519,5.623138804367045e-06,7.792885298840702e-06,2.1697464944736566e-06,56,-1
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,33,0.4946000366099213,0.6938225633927005,0.7148157878645829,3.6037754398421376e-06,5.375380624172976e-06,1.771605070644e-06,56,-1
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,34,0.5161998901702362,0.6929077400470024,0.6992048040032387,5.480102117871866e-06,6.592682893824531e-06,1.1125810033263406e-06,56,-1
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,35,0.5053999633900788,0.6931155796979567,0.6905798856701171,3.6734493278345326e-06,3.675469770314521e-06,2.020555278647862e-09,56,-1
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.0001,SGD,1e-05,36,0.5053999633900788,0.6936858133201543,0.694191266809191,5.533403509616619e-06,5.81924723519478e-06,2.858435550479044e-07,56,-1
