,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,1,0.4946000366099213,2.404222882950016,0.6329934844481094,0.0004756474227178,0.0004805822100024,4.934800017508678e-06,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,2,0.5053999633900788,0.7455299021471646,1.4716829523643744,0.0020503606647253,0.0074291871860623,0.005378826521337,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,3,0.5053999633900788,0.6988865892848717,0.6567350533125655,0.0008215171983465,0.0009600620833225,0.0001385448849759,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,4,0.5053999633900788,1.0347153676638317,0.496611838109259,0.0005061508854851,0.0005678282468579,6.167734682094306e-05,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,5,0.4946000366099213,1.709421324951364,0.4847768339328467,0.0002761065261438,0.0003810229245573,0.0001049163838615,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,6,0.5053999633900788,2.169486211994622,1.264761328258153,0.0016465997323393,0.0071511478163301,0.0055045480839908,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,7,0.5053999633900788,2.4151098207484707,1.2766061870381236,0.0015907501801848,0.0079940352588891,0.0064032850787043,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,8,0.4946000366099213,0.6997024045158096,2.509713882477288,0.0009306520223617,0.0095562115311622,0.0086255595088005,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,9,0.5053999633900788,0.8115739024750136,0.605850956269673,0.0009594445582479,0.0009970831451937,3.763855784200132e-05,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.0001,10,0.4946000366099213,1.3547311486515434,0.7430923228418188,0.0010219075484201,0.0025209330487996,0.0014990255003795,56,-1
