,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,1,0.4946000366099213,2.0217457746413277,0.47509835189640776,0.49999040365219116,0.558079719543457,0.05808931216597557,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,2,0.4946000366099213,0.6949228361619862,0.438223029852296,0.055121924728155136,0.10774071514606476,0.05261879041790962,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,3,0.5053999633900788,0.9760296095386256,0.42145108968626516,0.03818153589963913,0.04082998260855675,0.002648446708917618,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,4,0.4946000366099213,0.6941264665318793,0.4717730592636923,0.027266550809144974,0.04525814577937126,0.017991594970226288,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,5,0.5053999633900788,1.5429637863479368,0.4567484462824982,0.028416667133569717,0.03238564357161522,0.003968977369368076,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,6,0.5053999633900788,0.9166477177275746,0.3939230893738568,0.03297952562570572,0.04367929324507713,0.010699768550693989,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,7,0.4946000366099213,0.864320704519836,0.44808063969914136,0.0264744833111763,0.04193169251084328,0.015457209199666977,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,8,0.4946000366099213,1.4245945607935178,0.4594875639836703,0.014577718451619148,0.016301177442073822,0.0017234589904546738,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,9,0.4946000366099213,0.9875598050010327,0.44585439673891025,0.032313015311956406,0.07443775981664658,0.04212474450469017,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,0.01,10,0.4946000366099213,0.7757905448076491,0.4239845084192764,0.025205517187714577,0.027994802221655846,0.002789284335449338,56
