,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,1,0.4946000366099213,1.4766742142236424,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,2,0.5053999633900788,0.6931605888844234,1.5111079785374126,2.1839758119313046e-05,5.9436522860778496e-05,3.759676474146545e-05,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,3,0.5053999633900788,0.7039036231543623,0.6939285416688238,9.694208529253956e-06,9.758917258295696e-06,6.470834534866299e-08,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,4,0.4946000366099213,0.864095562460831,0.718311685057623,5.347094429453136e-06,6.126079370005755e-06,7.789848268657806e-07,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,5,0.5053999633900788,0.7541840690819446,0.914061439542898,1.6659028915455565e-05,3.5690609365701675e-05,1.903158045024611e-05,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,6,0.5053999633900788,0.742122889306849,0.6565118964229311,1.0095294783241116e-05,1.0342254427087028e-05,2.469592175202706e-07,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,7,0.4946000366099213,1.0700444431640044,0.8095162310238395,7.256290700752288e-06,1.2638549378607422e-05,5.382258677855134e-06,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,8,0.4946000366099213,0.7624794814632019,0.6109131051759634,1.5175009139056783e-05,1.760035775077995e-05,2.4253483843494905e-06,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,9,0.4946000366099213,0.6985478811347816,0.8334510828767504,7.099321919668e-06,1.0573493455012795e-05,3.474171307971119e-06,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,10,0.4946000366099213,0.6996219469722508,0.6682482009487493,4.056173565913923e-06,4.694564267992973e-06,6.383907020790502e-07,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,11,0.5053999633900788,0.6982431592389745,0.7253469732190883,3.5582907003117725e-06,4.6979803300928324e-06,1.1396897434678976e-06,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,12,0.5053999633900788,0.7107458660054521,0.7043323640844652,4.629616341844667e-06,4.895923666481394e-06,2.663074383235653e-07,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,13,0.5053999633900788,0.720909954644576,0.6818181651511362,4.76583727504476e-06,4.796645498572616e-06,3.08084366906769e-08,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,14,0.5053999633900788,0.6963683840645529,0.7336936615407467,3.587359060475137e-06,4.459767296793871e-06,8.724081226318958e-07,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,15,0.4946000366099213,0.701228528123998,0.698625722527504,2.9870529942854773e-06,3.0699332000949653e-06,8.288027686376154e-08,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,0.001,SGD,1e-05,16,0.4946000366099213,0.7016268355954618,0.7161159480256695,4.079974132764619e-06,4.383376563055208e-06,3.0340248713400797e-07,56
