,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,1,0.4946000366099213,0.7047902328203572,0.6329934844481094,0.0004756474227178842,0.00048058221000246704,4.934800017508678e-06,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,2,0.4946000366099213,0.703322984114573,0.6504653482564857,0.0006125847576186061,0.0006831304635852575,7.05457350704819e-05,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,3,0.4946000366099213,0.7012934659445443,0.642276865403567,0.0006235953187569976,0.0006618571933358908,3.826187094091438e-05,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,4,0.4946000366099213,0.6994020554890221,0.6379917662058558,0.00055809406330809,0.0005655051209032536,7.41104031476425e-06,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,5,0.4946000366099213,0.6970050082723358,0.6490813557058572,0.0005660806782543659,0.0006655739271081984,9.949326340574771e-05,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,6,0.4946000366099213,0.6944851471250263,0.6347119411187513,0.0006347630987875164,0.0008001434616744518,0.0001653803774388507,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,7,0.4946000366099213,0.6929108229074437,0.621951112523675,0.0006306478753685951,0.0006836606771685183,5.30128127138596e-05,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,8,0.4946000366099213,0.6925194696311895,0.6216217544461999,0.0003575090377125889,0.000662391830701381,0.00030488279298879206,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,9,0.49514918542925135,0.6919034067568632,0.6128771256123271,0.0008180790464393795,0.0008442458929494023,2.6166871975874528e-05,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,10,0.4946000366099213,0.6917731939088199,0.6057844638824463,0.000673099362757057,0.0008374928729608655,0.00016439349565189332,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.0001,11,0.4958813838550247,0.6909539655920004,0.62271890837167,0.0006190337589941919,0.0007764786714687943,0.00015744489792268723,56
