,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,1,0.4946000366099213,0.70382133776412,0.4750983518964077,0.4999904036521911,0.558079719543457,0.0580893121659755,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,2,0.4946000366099213,0.7039005087025867,0.4117622707280264,0.0546048507094383,0.0589521415531635,0.0043472894467413,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,3,0.4946000366099213,0.7036082045574663,0.4254450475884369,0.1013665795326232,0.111586146056652,0.0102195627987384,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,4,0.4946000366099213,0.7033180763745901,0.4818631872335183,0.0717580169439315,0.0784194320440292,0.0066614178940653,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,5,0.4946000366099213,0.7024541140300812,0.4713449486373325,0.0710187628865242,0.0813917145133018,0.0103729525581002,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,6,0.4946000366099213,0.701233574883306,0.3997473242559603,0.0804057717323303,0.0945583805441856,0.0141526069492101,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,7,0.4946000366099213,0.700393026953735,0.4523214056909118,0.0467879883944988,0.0521104335784912,0.0053224451839923,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,8,0.4946000366099213,0.700239337118967,0.4742904527911118,0.0483204945921897,0.0603426359593868,0.0120221432298421,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,9,0.4946000366099213,0.6999640465655403,0.437118089850992,0.1752464026212692,0.1997558027505874,0.0245094057172536,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,10,0.4946000366099213,0.7000896498713626,0.442753271903244,0.071343146264553,0.0824280306696891,0.0110848862677812,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,11,0.4946000366099213,0.6997394750268358,0.4864886548095715,0.0740572214126586,0.0879077613353729,0.0138505371287465,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,12,0.4946000366099213,0.699291026871515,0.4659385658734079,0.086696982383728,0.0950756669044494,0.008378685452044,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,13,0.4946000366099213,0.6984669968464015,0.405694816358612,0.0891171842813491,0.1045321151614189,0.0154149271547794,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,14,0.4946000366099213,0.6975126028235451,0.5132955041458315,0.0928488075733184,0.1020689532160759,0.0092201419174671,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,15,0.4946000366099213,0.6964528999600892,0.5525198051439865,0.1094087809324264,0.1235296949744224,0.0141209103167057,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,16,0.4946000366099213,0.6952178059350345,0.4738569038629066,0.0804220736026763,0.0887643471360206,0.0083422726020216,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,17,0.4946000366099213,0.6938002613941712,0.3995312543987113,0.0664834976196289,0.0761071071028709,0.0096236085519194,56,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,18,0.4946000366099213,0.6919760906504328,0.4027863179316877,0.1057213470339775,0.119912065565586,0.0141907185316085,56,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,19,0.4946000366099213,0.6900522697547868,0.5394331529137812,0.1037964150309562,0.116749607026577,0.012953189201653,56,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,20,0.4946000366099213,0.6879028012078817,0.5369171668509287,0.0662080496549606,0.0773321315646171,0.0111240809783339,56,-1
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,21,0.4946000366099213,0.6851036755441746,0.4273345695120432,0.2567059099674225,0.288998007774353,0.0322920903563499,56,-1
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,22,0.4946000366099213,0.6819786232177545,0.4284608067345938,0.0715966299176216,0.0801009163260459,0.0085042854771018,56,-1
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,23,0.4946000366099213,0.6783140539948448,0.4682551499516453,0.0833634585142135,0.0978849679231643,0.0145215131342411,56,-1
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,24,0.4946000366099213,0.6741935997372316,0.3732944604179855,0.0953882560133934,0.1090171486139297,0.0136288907378911,56,-1
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,25,0.4946000366099213,0.6697625870411428,0.3845031373019863,0.0648214519023895,0.074766606092453,0.0099451541900634,56,-1
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,26,0.4946000366099213,0.6641325497697074,0.3634539258924114,0.0701241046190261,0.0927649363875389,0.0226408336311578,56,-1
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,27,0.4951491854292513,0.6581505482053687,0.4816082801328905,0.0895663350820541,0.1013604402542114,0.0117941088974475,56,-1
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,28,0.495515284642138,0.6522242558648261,0.4977807767539551,0.2465032935142517,0.2805395126342773,0.0340362228453159,56,-1
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,29,0.4989932271645615,0.6459741780471662,0.4757396126215877,0.0928523167967796,0.1069446206092834,0.0140923038125038,56,-1
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,30,0.5043016657514187,0.6395420673825556,0.4899625726642885,0.1084079220890998,0.1234801560640335,0.0150722311809659,56,-1
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,31,0.5211422295442065,0.6324112108563609,0.4622216395688675,0.0869705826044082,0.0998253375291824,0.0128547511994838,56,-1
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,32,0.5539081090975655,0.6242041203410175,0.3490423111292849,0.1020381599664688,0.124204970896244,0.02216680906713,56,-1
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,33,0.6079077429983526,0.6153853819712364,0.4622157546117835,0.1340789347887039,0.1568962931632995,0.0228173620998859,56,-1
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,34,0.6739886509244005,0.605440419467267,0.3401210973201419,0.0817285180091857,0.0980206429958343,0.0162921249866485,56,-1
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,35,0.7263408383671975,0.5961912440171528,0.5219875899368033,0.1214265972375869,0.1371487826108932,0.0157221872359514,56,-1
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,36,0.7627677100494233,0.586777412961203,0.4097985976475423,0.0851016193628311,0.096049927175045,0.0109483106061816,56,-1
36,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,37,0.7801574226615413,0.5782111138759909,0.4397000620208149,0.0747930258512497,0.0893617644906044,0.014568742364645,56,-1
37,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,38,0.7891268533772653,0.5706222913886583,0.502398470370099,0.1859847605228424,0.2100336849689483,0.0240489263087511,56,-1
38,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,39,0.794801391177009,0.563395422557437,0.3928713526048731,0.1098024547100067,0.1212009564042091,0.0113985007628798,56,-1
39,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,40,0.7986454329123193,0.557121274499209,0.4759162880135201,0.1184741705656051,0.1344123035669326,0.0159381330013275,56,-1
40,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,41,0.7988284825187626,0.5515388458923575,0.382701769787153,0.0863306894898414,0.0964873656630516,0.0101566771045327,56,-1
41,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,42,0.7993776313380926,0.5470014042159649,0.5034032491335114,0.1033712401986122,0.1159562692046165,0.0125850262120366,56,-1
42,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,43,0.8008420281896393,0.5432129514950436,0.4733114690153993,0.109300673007965,0.1250817477703094,0.0157810766249895,56,-1
43,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,44,0.800658978583196,0.5390597849778864,0.4155943621132921,0.1311899721622467,0.1490303575992584,0.0178403779864311,56,-1
44,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,45,0.7984623833058759,0.5358483854184911,0.3612728866511523,0.0844124034047126,0.0968311429023742,0.012418738566339,56,-1
45,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,46,0.7991945817316493,0.5322972619865161,0.4886596352028262,0.1083695143461227,0.1235918626189231,0.015222349204123,56,-1
46,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,47,0.8015742266154128,0.5277413257655427,0.4769962242421961,0.1310606002807617,0.1524001806974411,0.0213395878672599,56,-1
47,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,48,0.8056013179571664,0.5229916901138133,0.3749557529243508,0.1336809396743774,0.150926262140274,0.0172453187406063,56,-1
48,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,49,0.8088962108731467,0.5193143113465819,0.483748648445388,0.1036087349057197,0.1145051270723342,0.0108963949605822,56,-1
49,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,50,0.8107267069375801,0.5154455619622813,0.4363288990591951,0.1169486120343208,0.1301445811986923,0.013195970095694,56,-1
50,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,51,0.8107267069375801,0.5114816053283686,0.4191017788934655,0.1048960462212562,0.1169312000274658,0.0120351556688547,56,-1
51,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,52,0.8112758557569101,0.508586345619548,0.4431039585763107,0.1826576441526413,0.2084359377622604,0.0257782954722642,56,-1
52,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,53,0.8121911037891268,0.5051002447898356,0.3770206682500429,0.1120625734329223,0.1263471841812133,0.0142846116796135,56,-1
53,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,54,0.8123741533955702,0.5022855706916547,0.3606686725094082,0.1523852050304412,0.1695804595947265,0.0171952620148658,56,-1
54,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,55,0.8120080541826835,0.4989174507547437,0.4425268601551319,0.1378906071186065,0.1550478488206863,0.01715724542737,56,-1
55,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,56,0.8123741533955702,0.4951924597230872,0.4822156460481762,0.155643805861473,0.1769869327545166,0.0213431250303983,56,-1
56,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,57,0.8132894014277869,0.4908512796917562,0.5339616697181813,0.1843881160020828,0.2143187820911407,0.029930667951703,56,-1
57,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,58,0.8140215998535603,0.4873373070363593,0.4839582154045015,0.1442215293645858,0.1662571877241134,0.0220356527715921,56,-1
58,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,59,0.8147537982793337,0.4837956800729603,0.4732876389312358,0.1149029657244682,0.1303787976503372,0.0154758319258689,56,-1
59,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,60,0.8162181951308805,0.479675331563412,0.464689599988716,0.1426455080509185,0.1624780446290969,0.0198325384408235,56,-1
60,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,AdamW,1e-05,SGD,0.01,61,0.8169503935566539,0.4764476223667404,0.4312106444088776,0.2138721644878387,0.2456854432821273,0.031813271343708,56,-1
