,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,1,0.4946000366099213,0.7780635980002877,0.6329934844481094,0.0004756474227178842,0.00048058221000246704,4.934800017508678e-06,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,2,0.4946000366099213,0.698408837723348,0.6753018305769989,0.0008466786239296198,0.0011874072952196002,0.00034072870039381087,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,3,0.5053999633900788,0.7386433319413644,0.6180384588028703,0.0007898355834186077,0.00082459079567343,3.4755212254822254e-05,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,4,0.5053999633900788,0.6932067506309834,0.6320889799988696,0.0009120438480749726,0.001153495511971414,0.00024145169300027192,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,5,0.5053999633900788,0.6886477645808398,0.5956876761679138,0.0007821089238859713,0.000813187682069838,3.1078761821845546e-05,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,6,0.5053999633900788,0.7138754835851371,0.5578816104148114,0.0009001407888717949,0.0009938107104972005,9.366990707349032e-05,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,7,0.5462200256269449,0.6864924279872007,0.6100031598338058,0.0008930409094318748,0.0013559203362092376,0.00046287939767353237,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,8,0.4946000366099213,0.749214816625785,0.5769564761114971,0.00046845979522913694,0.0008180851000361145,0.0003496253048069775,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,9,0.4946000366099213,0.7175708107246661,0.6053125227668456,0.0010795841226354241,0.001458976767025888,0.00037939264439046383,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,0.0001,10,0.4946000366099213,0.6905398943937366,0.510547068289348,0.0008454034687019885,0.000909197551663965,6.379409751389176e-05,56
