,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,1,0.4946000366099213,0.7248216071991062,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,2,0.4946000366099213,0.7016867601679498,0.7523155690836055,8.580758731113747e-06,1.10624787339475e-05,2.481719548086403e-06,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,3,0.4946000366099213,0.6927380655206314,0.697571961688144,7.391511189780431e-06,7.806774192431476e-06,4.152629458076263e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,4,0.5053999633900788,0.6921130583715648,0.6877935262663024,6.641374966420699e-06,6.724625563947484e-06,8.32505122616567e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,5,0.5053999633900788,0.6945584897240992,0.681687848482813,6.077124908188125e-06,6.244607448024908e-06,1.674823835173811e-07,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,6,0.5053999633900788,0.7025891875801813,0.6626256812896046,6.07554238740704e-06,6.351977845042711e-06,2.764353723705426e-07,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,7,0.5053999633900788,0.696494028037673,0.7487933005605425,5.863603291800246e-06,8.43347606860334e-06,2.569872776803095e-06,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,8,0.5053999633900788,0.6947579902227242,0.7658731773495674,3.1837084861763287e-06,8.535849701729603e-06,5.352141215553274e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,9,0.4946000366099213,0.6956361856851536,0.6894049914819853,6.706229669362074e-06,6.742372534063179e-06,3.614274746155388e-08,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,0.0001,SGD,1e-05,10,0.4946000366099213,0.712514227777065,0.6771385374878134,5.191424861550331e-06,6.209902039699955e-06,1.0184774055232992e-06,56,-1
