,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,1,0.4946000366099213,0.7047902405000187,0.6329934844481094,0.0004756474227178,0.0004805822100024,4.934800017508678e-06,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,2,0.4946000366099213,0.7033229770457936,0.65046492974673,0.0006125514628365,0.0006830940255895,7.054256275296211e-05,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,3,0.4946000366099213,0.7012921439082871,0.6422739325889519,0.0006219832575879,0.0006602986832149,3.831542926491238e-05,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,4,0.4946000366099213,0.6993801000352137,0.6378668726022754,0.0005614611436612,0.0005685011856257,7.040037417027634e-06,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,5,0.4946000366099213,0.6969664350784716,0.6490140378475189,0.0005654118722304,0.0006646869587711,9.92750865407288e-05,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,6,0.4946000366099213,0.6944517080466185,0.6346571113382067,0.0006375804077833,0.0008027856238186,0.0001652052305871,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,7,0.4946000366099213,0.692920447181294,0.6220222955303533,0.0006200289353728,0.0006711761816404,5.1147253543604165e-05,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,8,0.4946000366099213,0.6925039307090234,0.6216534798166582,0.0003530516405589,0.0006543987547047,0.0003013471141457,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,9,0.4951491854292513,0.6918309467952387,0.612601342744061,0.0008216250571422,0.0008481311961077,2.6506151698413305e-05,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.0001,10,0.4946000366099213,0.6916924867762654,0.605066514174853,0.0007263143779709,0.0008939986000768,0.0001676842221058,56,-1
