,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,1,0.4946000366099213,0.7038213433493283,0.47509835189640776,0.49999040365219116,0.558079719543457,0.05808931216597557,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,2,0.4946000366099213,0.7039446075873703,0.41247360097851404,0.3368823230266571,0.3706000745296478,0.03371775895357132,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,3,0.4946000366099213,0.7037302876984916,0.4249036950398087,0.06341185420751572,0.06990713626146317,0.006495281588286161,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,4,0.4946000366099213,0.7034922179331019,0.48095086519939023,0.10405457764863968,0.11617685854434967,0.01212228275835514,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,5,0.4946000366099213,0.7026671392851309,0.47200417702344044,0.11415822058916092,0.12868711352348328,0.014528894796967506,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,6,0.4946000366099213,0.7014510306048358,0.40051118822094783,0.07107783854007721,0.08396842330694199,0.012890585698187351,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,7,0.4946000366099213,0.7006513738178404,0.4521479788897393,0.12807583808898926,0.1372000277042389,0.009124194271862507,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,8,0.4946000366099213,0.7004781822683521,0.47502254861340454,0.054671112447977066,0.06507710367441177,0.010405992157757282,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,9,0.4946000366099213,0.7001611414974989,0.43597256992694133,0.0702378898859024,0.07649871706962585,0.006260824855417013,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,10,0.4946000366099213,0.7002475602909551,0.4416639633194011,0.16781765222549438,0.18845905363559723,0.020641401410102844,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,11,0.4946000366099213,0.6999551635535535,0.4864807671114769,0.05724965035915375,0.06888148188591003,0.011631831526756287,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,12,0.4946000366099213,0.699547155884314,0.4682036394640038,0.09808367490768433,0.11065918207168579,0.012575503438711166,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,13,0.4946000366099213,0.6988029781058104,0.40716715303507434,0.06858030706644058,0.08054021745920181,0.011959908530116081,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,14,0.4946000366099213,0.6980181928958585,0.5136838882658464,0.1900966316461563,0.20799879729747772,0.01790216937661171,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,15,0.4946000366099213,0.6971597173203486,0.5518636180985985,0.07136880606412888,0.07888668775558472,0.0075178793631494045,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,16,0.4946000366099213,0.6962249420397801,0.4748594056216201,0.10268581658601761,0.11499129980802536,0.012305483222007751,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,17,0.4946000366099213,0.6952328651401692,0.40224547991383586,0.20198744535446167,0.22531139850616455,0.02332395873963833,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,18,0.4946000366099213,0.6939691402901668,0.4035625816385228,0.08205310255289078,0.09352260082960129,0.011469497345387936,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,19,0.4946000366099213,0.6927687962093605,0.5397791204841009,0.08741888403892517,0.09938474744558334,0.011965863406658173,56
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,20,0.4946000366099213,0.6915389609197223,0.5413119784955468,0.08271268755197525,0.09678482264280319,0.014072132296860218,56
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,21,0.4946000366099213,0.6898945445197567,0.42920213964056797,0.09302971512079239,0.1072709932923317,0.014241280034184456,56
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,22,0.4946000366099213,0.688122609611137,0.4295692666117767,0.07785241305828094,0.09028821438550949,0.012435803189873695,56
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,23,0.4946000366099213,0.6861588117144293,0.47202512609448083,0.38475537300109863,0.42471787333488464,0.03996250033378601,56
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,24,0.4946000366099213,0.6838291297894445,0.3743249388661103,0.06341217458248138,0.07066470384597778,0.007252527866512537,56
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,25,0.4946000366099213,0.6812393082357605,0.3844609581732324,0.07774233818054199,0.088651143014431,0.010908802039921284,56
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,26,0.4946000366099213,0.6774607252760478,0.3624544775032389,0.06766635179519653,0.09323720633983612,0.02557085081934929,56
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,27,0.4946000366099213,0.673216106863706,0.4863452673089341,0.11979583650827408,0.13227984309196472,0.012484007515013218,56
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,28,0.4946000366099213,0.6684361550504258,0.49770380032381834,0.0837753489613533,0.09680087864398956,0.013025529682636261,56
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,29,0.49496613582280796,0.6630377571369858,0.4768808087583499,0.0958210676908493,0.10857739299535751,0.01275632530450821,56
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,30,0.49514918542925135,0.6570631737764897,0.48880620913447004,0.13905858993530273,0.1581176370382309,0.01905905455350876,56
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,31,0.49606443346146806,0.6502284487030342,0.46268520170581595,0.08770674467086792,0.1039157509803772,0.016209004446864128,56
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,32,0.5075965586673988,0.6423402864535068,0.3510009953124348,0.09345551580190659,0.11210095137357712,0.01864543743431568,56
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,0.01,33,0.5423759838916347,0.6333951409878877,0.46253436111479196,0.08172833919525146,0.10053431242704391,0.01880597695708275,56
