,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,1,0.4946000366099213,0.7037212880080127,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,2,0.4946000366099213,0.7023603209290288,0.7075930462351867,7.71257600717945e-06,8.544410775357392e-06,8.318348818647792e-07,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,3,0.4946000366099213,0.70078796706821,0.6987758900438036,7.602179266541498e-06,8.03831426310353e-06,4.361349397186132e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,4,0.4946000366099213,0.6994424456209599,0.6876201862735408,6.459456471930025e-06,6.528382073156536e-06,6.892580728390385e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,5,0.4946000366099213,0.6979966556345212,0.70834498831204,6.361893611028791e-06,7.465759608749067e-06,1.103865997720277e-06,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,6,0.4946000366099213,0.6965843213948464,0.7095486587711743,6.754471996828215e-06,8.621077540738042e-06,1.8666055439098272e-06,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,7,0.4946000366099213,0.6957440336138053,0.6777423325393882,6.238172318262514e-06,6.590817974938545e-06,3.5264577036286937e-07,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,8,0.4946000366099213,0.6955672862065484,0.6680780432053974,3.4199326819361886e-06,6.027809376973892e-06,2.607876695037703e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,9,0.4946000366099213,0.6953136393824922,0.6927089402718203,7.678931069676764e-06,7.927103979454841e-06,2.481731655734621e-07,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,10,0.4946000366099213,0.6953182601823988,0.6764972097107342,6.1206569625937846e-06,7.304958216991508e-06,1.184301140710886e-06,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,11,0.4946000366099213,0.6951210374015316,0.7028263589101178,5.140278517501429e-06,6.456186383729801e-06,1.315907866228372e-06,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,12,0.4946000366099213,0.6949106402487916,0.6895342561815466,7.129572168196319e-06,7.213573553599417e-06,8.400127882168817e-08,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,13,0.4946000366099213,0.694566768224557,0.6970144820000445,7.109395482984837e-06,7.987528988451231e-06,8.781333917795564e-07,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,14,0.4946000366099213,0.6942226207797384,0.6897080209638391,5.616237103822641e-06,5.662585863319691e-06,4.6348727522627093e-08,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,15,0.4946000366099213,0.6938906517070698,0.6918703096253531,4.710506800620351e-06,4.803380761586595e-06,9.287406044222737e-08,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,16,0.4946000366099213,0.6935045893684487,0.6922459342650006,6.144430699350778e-06,6.314815436780918e-06,1.7038465216501208e-07,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,17,0.4946000366099213,0.6932387724627862,0.683216790748494,7.845888831070624e-06,7.999897206900641e-06,1.5400868846882076e-07,56,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,18,0.4946000366099213,0.6929292348083954,0.6896751104721003,7.399756213999353e-06,7.632016604475211e-06,2.3226056100611459e-07,56,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,19,0.4946000366099213,0.6928041047617073,0.6857509973858085,4.158239789830986e-06,4.687049113272224e-06,5.288090960675618e-07,56,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,20,0.4946000366099213,0.6927608708860584,0.6860633179545402,4.544137937045889e-06,5.066966878075618e-06,5.228289410297293e-07,56,-1
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,21,0.4946000366099213,0.6925872037211763,0.6941879190504551,6.852263595646946e-06,8.16288866190007e-06,1.3106250662531238e-06,56,-1
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,22,0.4946000366099213,0.6924790914550881,0.6832543579595429,6.807595582358772e-06,7.070569154166151e-06,2.629736002290884e-07,56,-1
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,23,0.4946000366099213,0.6923913568214651,0.6843049978571278,6.189179202920059e-06,6.323218258330599e-06,1.3403922594079634e-07,56,-1
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,24,0.4946000366099213,0.6923143328719746,0.6844241056059088,8.743960279389285e-06,8.752270332479384e-06,8.310355070761943e-09,56,-1
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,25,0.4946000366099213,0.6923304244679553,0.6795629787657942,7.43440205042134e-06,8.395359145652037e-06,9.609570952306967e-07,56,-1
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,26,0.4946000366099213,0.6920931407333643,0.70213773516672,4.693296887126053e-06,9.66559582593618e-06,4.972298938810127e-06,56,-1
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,27,0.4946000366099213,0.6918484682045429,0.6875035259340492,6.132657290436328e-06,6.165740614960669e-06,3.308328899720436e-08,56,-1
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,28,0.4946000366099213,0.6917025850946698,0.6826751320489814,4.813927262148354e-06,5.581743607763201e-06,7.678165729885222e-07,56,-1
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,29,0.4946000366099213,0.6915536741037495,0.6847794993647508,6.363848569890251e-06,6.402101917046821e-06,3.825334360385568e-08,56,-1
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,30,0.4946000366099213,0.6914762316999813,0.6789710936801775,4.787169018527493e-06,5.59870250071981e-06,8.115333685054793e-07,56,-1
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,31,0.4946000366099213,0.6912698539772983,0.6927020642374243,5.91104162595002e-06,7.085339802870294e-06,1.1742984042939495e-06,56,-1
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,32,0.4953322350356947,0.690906535566813,0.6952804195029395,7.688207915634848e-06,9.850244168774225e-06,2.1620367078867275e-06,56,-1
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,33,0.5101592531576057,0.6904490927826085,0.6937707567853588,4.874802471022122e-06,6.7737041717919055e-06,1.8989014733961085e-06,56,-1
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,34,0.6124839831594362,0.6899699481479594,0.6873753278383187,7.965420991240535e-06,9.34466424951097e-06,1.3792434856441105e-06,56,-1
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,35,0.6511074501189822,0.6895373314400892,0.6863529394779886,5.422980393632315e-06,5.440669610834448e-06,1.7689194109493656e-08,56,-1
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,36,0.6157788760754165,0.6891445134429597,0.6841488750917571,8.072727723629214e-06,8.304636139655486e-06,2.3190867182165678e-07,56,-1
36,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,37,0.6300567453779974,0.6887925288164074,0.6915434610630784,2.9485568120435346e-06,8.144517778418958e-06,5.195960966375424e-06,56,-1
37,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,38,0.6666666666666666,0.6884236554799282,0.6891088074871472,5.336273261491442e-06,6.402211965905735e-06,1.0659385907274554e-06,56,-1
38,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,39,0.690097016291415,0.6880050549395437,0.6803748253200737,8.793690540187526e-06,8.85185545485001e-06,5.8164825844642116e-08,56,-1
39,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,40,0.6884495698334249,0.6875623809296425,0.6849355300622327,6.732470865244977e-06,6.922919510543579e-06,1.9044860266603794e-07,56,-1
40,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,41,0.6196229178107268,0.6871779574133118,0.6776105991431647,7.334082965826383e-06,8.76929971127538e-06,1.4352167454489972e-06,56,-1
41,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,42,0.5460369760205016,0.6868161595757849,0.6834071756473609,6.427975222322857e-06,6.4471905716345645e-06,1.9215374180703293e-08,56,-1
42,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,43,0.5064982610287387,0.686565611495106,0.6776389784046583,6.7141490944777615e-06,7.107526471372694e-06,3.933772063646757e-07,56,-1
43,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,44,0.4973457807065715,0.6862577374473672,0.680981608693089,8.036205144890118e-06,8.208097824535798e-06,1.718929496519195e-07,56,-1
44,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,45,0.4946000366099213,0.6861553253226887,0.6662940723555428,8.366456313524395e-06,9.585131920175629e-06,1.2186751519038808e-06,56,-1
45,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,46,0.4946000366099213,0.6859011503473732,0.680043280337538,6.920270607224666e-06,6.983024832152296e-06,6.275423203305763e-08,56,-1
46,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,47,0.4946000366099213,0.6848965996704548,0.695556889474392,5.822325874760281e-06,7.5651073530025315e-06,1.7427817056159256e-06,56,-1
47,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,48,0.4946000366099213,0.6834699534217924,0.6775209162916455,9.796169251785614e-06,9.96952257992234e-06,1.7335364077553097e-07,56,-1
48,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,49,0.4947830862163646,0.6819799604387967,0.6657922228532178,6.284851224336308e-06,6.544541975017637e-06,2.596908927898767e-07,56,-1
49,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,50,0.4947830862163646,0.6802909492922736,0.6690617613494396,8.296136911667418e-06,8.360252650163602e-06,6.411589481558623e-08,56,-1
50,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,51,0.4958813838550247,0.678392456879902,0.666798730620316,8.670053830428515e-06,8.735511073609814e-06,6.54573639735645e-08,56,-1
51,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,52,0.4991762767710049,0.6761836235903717,0.6723959844027247,8.918383173295297e-06,9.11892766453093e-06,2.005442780728117e-07,56,-1
52,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,53,0.5085118066996156,0.6735633565426571,0.6687096650046962,1.1191851626790594e-05,1.1513064237078652e-05,3.2121249660121975e-07,56,-1
53,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,54,0.528281164195497,0.6700028722143103,0.6522801398166589,1.1315830306557473e-05,1.178300863102777e-05,4.671783244702965e-07,56,-1
54,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,55,0.5595826468973092,0.6653446090867194,0.6593873100621361,9.773664714884944e-06,1.0010220648837276e-05,2.3655547920498066e-07,56,-1
55,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,56,0.5958264689730917,0.6595501925027213,0.6540911316871643,8.971112947619986e-06,9.238481652573682e-06,2.6736904601420974e-07,56,-1
56,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,57,0.6822258832143511,0.6530798606432724,0.6648091986775397,7.031638233456761e-06,9.498461622570176e-06,2.4668236164870905e-06,56,-1
57,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,58,0.7446457990115322,0.6449027299706444,0.6342543845730167,1.1422594980103897e-05,1.1816914593509864e-05,3.943193291888747e-07,56,-1
58,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,59,0.7613033131978766,0.6345119532170442,0.6257554354944399,1.3819269042869564e-05,1.4725405890203548e-05,9.061371315510768e-07,56,-1
59,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,60,0.785831960461285,0.6224480876112752,0.6346396619187934,1.5838582839933224e-05,1.7935430150828324e-05,2.096847765642451e-06,56,-1
60,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,61,0.7728354384038074,0.6095047213933479,0.5829681651400668,1.7137206668849103e-05,2.141259756172076e-05,4.275391347619006e-06,56,-1
61,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,62,0.7836353651839648,0.5921610579832756,0.5967409371797527,3.0643725040135905e-05,3.444983303779736e-05,3.806106633419404e-06,56,-1
62,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,63,0.7938861431447922,0.572318760228192,0.6007466272584029,2.549328564782627e-05,3.744297282537445e-05,1.1949687177548183e-05,56,-1
63,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,64,0.7838184147904081,0.5575377904478662,0.550446799823216,3.790122718783096e-05,3.9616887079318985e-05,1.7156590956801665e-06,56,-1
64,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,65,0.790042101409482,0.5273163815193959,0.5169135703838297,4.031918797409162e-05,5.2945397328585386e-05,1.2626208444999064e-05,56,-1
65,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,66,0.7898590518030386,0.5008984489112787,0.4845640397497586,5.749810588895343e-05,6.225736433407292e-05,4.759258445119485e-06,56,-1
66,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,67,0.7958996888156691,0.4788598913704843,0.4143059515793409,4.483972952584736e-05,6.622986984439194e-05,2.139014031854458e-05,56,-1
67,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,68,0.7770455793520044,0.5200683426433741,0.406869356586997,4.8717840400058776e-05,5.0098147767130286e-05,1.3803090723740752e-06,56,-1
68,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,69,0.791689547867472,0.4868977610594531,0.3787388338707388,6.206909893080592e-05,9.167264943243936e-05,2.9603554139612243e-05,56,-1
69,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,70,0.8045030203185063,0.4588190893128536,0.438907378978495,4.146079663769342e-05,6.167803076095879e-05,2.021723412326537e-05,56,-1
70,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,71,0.7728354384038074,0.5439835499159413,0.4279515279723065,3.591174754546955e-05,3.740762986126356e-05,1.495883907409734e-06,56,-1
71,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,72,0.765696503752517,0.5799370655356354,0.3886806122626045,3.9622842450626194e-05,6.0141221183585e-05,2.051837873295881e-05,56,-1
72,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,73,0.8063335163829398,0.4779959432508027,0.4154080642653363,1.6259116819128394e-05,6.942441541468725e-05,5.316529859555885e-05,56,-1
73,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,74,0.8154859967051071,0.4200353491533204,0.3692457225173712,3.562604251783341e-05,4.0862520108930767e-05,5.236477591097355e-06,56,-1
74,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,75,0.7883946549514919,0.4458827147175767,0.3553163529174136,5.006339415558614e-05,5.365979814087041e-05,3.596403530536918e-06,56,-1
75,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,76,0.7726523887973641,0.460049622633534,0.3277312364362713,4.431531488080509e-05,5.490843977895565e-05,1.0593124898150563e-05,56,-1
76,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,77,0.8021233754347428,0.4252402759750276,0.3564527457979108,4.2175619455520064e-05,5.944459189777263e-05,1.7268970623263158e-05,56,-1
77,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,78,0.8229910305692842,0.4037011811294283,0.3125444647856057,3.694362749229185e-05,4.105176776647568e-05,4.108140274183825e-06,56,-1
78,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,79,0.8160351455244371,0.4384067783767622,0.3030059665840651,4.817197623196989e-05,5.62217683182098e-05,8.0497902672505e-06,56,-1
79,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,80,0.804319970712063,0.4668678673336045,0.3320558109719838,2.5895627913996577e-05,3.985850707977079e-05,1.3962879165774211e-05,56,-1
80,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,81,0.8079809628409299,0.4496833645516398,0.3370569692259388,2.913479329436086e-05,4.052703661727719e-05,1.1392242413421629e-05,56,-1
81,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,82,0.8231740801757276,0.4027518760712918,0.3510805636478055,3.57122698915191e-05,4.936379991704598e-05,1.365152911603218e-05,56,-1
82,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,83,0.8319604612850082,0.3888963392852515,0.3880145696923136,2.7466088795335963e-05,2.8571315851877443e-05,1.105226715480967e-06,56,-1
83,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,84,0.8229910305692842,0.4113717789204019,0.402759587458734,1.594772402313538e-05,1.7919539459398948e-05,1.9718154362635687e-06,56,-1
84,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,85,0.8332418085301116,0.3861300770253336,0.247649742978891,4.235844608047046e-05,8.387085108552128e-05,4.151240500505082e-05,56,-1
85,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,86,0.8315943620721216,0.3862629184556653,0.2823938642229352,4.205937875667587e-05,5.336253889254294e-05,1.130315831687767e-05,56,-1
86,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,Adam,1e-05,SGD,1e-05,87,0.8112758557569101,0.4266521118166768,0.2697367925596024,4.4989079469814897e-05,4.566543429973535e-05,6.763533519915654e-07,56,-1
