,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,1,0.4946000366099213,0.7021524787472772,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,2,0.4946000366099213,0.7021465373074153,0.7044079560254303,7.638522220076993e-06,8.345846254087519e-06,7.073237497934315e-07,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,3,0.4946000366099213,0.7021354982304887,0.6985035978257657,7.604984148201765e-06,8.029035598156042e-06,4.240515920628241e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,4,0.4946000366099213,0.7021228902336445,0.6888055928051472,6.4356872826465406e-06,6.536186447192449e-06,1.0049926402189159e-07,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,5,0.4946000366099213,0.7021011948410972,0.715740833271827,6.328746621875325e-06,7.691400242038071e-06,1.3626537338495837e-06,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,6,0.4946000366099213,0.7020679270715001,0.726042793904032,6.717882570228539e-06,9.151520316663664e-06,2.433637519061449e-06,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,7,0.4946000366099213,0.7020407553822194,0.670041062789304,6.20033733866876e-06,6.298367225099355e-06,9.802974432204793e-08,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,8,0.4946000366099213,0.7020274996757507,0.6397637806300607,3.3726789752108743e-06,4.971019734512083e-06,1.5983407593012089e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,9,0.4946000366099213,0.7020084416360143,0.7042593568563461,7.521948191424599e-06,8.180000804713927e-06,6.580525564459094e-07,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,10,0.4946000366099213,0.7019976704745481,0.6569299128438745,6.008322543493705e-06,6.5394815464969724e-06,5.311590030032676e-07,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,11,0.4946000366099213,0.7019750119826456,0.72671479636005,5.150382094143424e-06,7.320243639696855e-06,2.169861545553431e-06,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,12,0.4946000366099213,0.7019500847616796,0.694820594468287,6.957203368074261e-06,7.229460607049987e-06,2.7225729581914493e-07,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,13,0.4946000366099213,0.7019165243795291,0.7183361676122461,7.108698355295928e-06,8.72482814884279e-06,1.616129793546861e-06,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,14,0.4946000366099213,0.7018817596868401,0.6964361897536686,5.632818101730663e-06,5.913702807447407e-06,2.808845636081969e-07,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.01,SGD,1e-05,15,0.4946000366099213,0.7018448199918643,0.7009354908551487,4.750272637465969e-06,5.180505013413495e-06,4.3023240436923526e-07,56,-1
