,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,1,0.4946000366099213,0.7053483883423477,0.47509835189640776,0.49999040365219116,0.558079719543457,0.05808931216597557,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,2,0.4946000366099213,0.7047347552081676,0.41272028337137134,0.06197907030582428,0.06760182231664658,0.005622750613838434,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,3,0.4946000366099213,0.7019035886007731,0.4261732978814897,0.06773821264505386,0.0739688128232956,0.006230601575225592,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,4,0.4946000366099213,0.6984977294550458,0.48227521240644694,0.11982979625463486,0.13124299049377441,0.011413196101784706,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,5,0.4946000366099213,0.6934419806670304,0.4708159238640552,0.1029629111289978,0.11833906173706055,0.01537614781409502,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,6,0.5053999633900788,0.6946606608121322,0.3972686598543077,0.06903634965419769,0.08019763976335526,0.011161291971802711,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,7,0.5053999633900788,0.702186075782357,0.45185413188716794,0.10983675718307495,0.1217002421617508,0.011863485909998417,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,8,0.5053999633900788,0.7002694050005553,0.47826239961598604,0.11098536103963852,0.13635224103927612,0.025366879999637604,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,9,0.5053999633900788,0.6972494934348725,0.43196803538594397,0.1520886868238449,0.1661422699689865,0.01405358873307705,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,10,0.5207761303313198,0.691385024201294,0.4395491026375177,0.11553966999053955,0.13356302678585052,0.018023353070020676,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,11,0.5319421563243639,0.6912375007855596,0.4827373218597911,0.0802883505821228,0.09047732502222061,0.01018897257745266,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,12,0.49917627677100496,0.6920563457301909,0.46296957111667975,0.08802430331707001,0.09810049831867218,0.010076191276311874,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,13,0.5152846421380194,0.6911438082182565,0.40156917482548,0.10825490951538086,0.12099417299032211,0.012739263474941254,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,14,0.5198608822991031,0.6908719225474368,0.512059271900216,0.3367806673049927,0.3692682683467865,0.032487597316503525,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,15,0.5416437854658612,0.6898801554523485,0.5455532981714766,0.1188279464840889,0.1325787901878357,0.013750841841101646,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,16,0.5738605161998902,0.6885290947002338,0.47083663789671837,0.08520211279392242,0.09390521049499512,0.008703094907104969,56
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,17,0.5844773933736043,0.6868211387889801,0.3952914109416139,0.06316418200731277,0.06783313304185867,0.004668951500207186,56
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,18,0.5334065531759107,0.6869040330541955,0.3993211115980687,0.07754082977771759,0.08401709794998169,0.006476269103586674,56
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,19,0.575324913051437,0.6841744455027545,0.5354737378690126,0.09279483556747437,0.1043129488825798,0.011518113315105438,56
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,20,0.6496430532674354,0.6806143710763353,0.5326214127541918,0.04787784069776535,0.056282222270965576,0.008404380641877651,56
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,21,0.6688632619439868,0.6797059393906488,0.42028190826614653,0.06079046428203583,0.06848021596670151,0.007689750753343105,56
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,22,0.6254805052169138,0.6770423372353851,0.4241980699789045,0.055197857320308685,0.0612829215824604,0.006085065193474293,56
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,23,0.5480505216913784,0.6748734432467605,0.46145156055073516,0.05548728257417679,0.060057979077100754,0.004570698365569115,56
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,24,0.5257184697052901,0.671682043096506,0.368582763645931,0.06993573158979416,0.07489704340696335,0.0049613118171691895,56
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,25,0.49478308621636463,0.6785155676992537,0.3754399669855567,0.04990231990814209,0.05733485892415047,0.0074325380846858025,56
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,26,0.6359143327841845,0.6603911677879959,0.3630604191192625,0.04894533008337021,0.07643439620733261,0.02748906798660755,56
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,27,0.7484898407468424,0.6559150870862154,0.4708049095539276,0.04998012259602547,0.056315332651138306,0.0063352095894515514,56
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,28,0.7422661541277686,0.6513324697579681,0.4887847883327465,0.0518733374774456,0.06081835553050041,0.008945017121732235,56
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,29,0.76258466044298,0.6424197840830242,0.4672873697609508,0.110953688621521,0.13297675549983978,0.022023065015673637,56
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,30,0.551528464213802,0.6395648513671071,0.4804234313612272,0.05675957724452019,0.06701289862394333,0.010253320448100567,56
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,31,0.6079077429983526,0.6292861367127208,0.449624911229226,0.08175913989543915,0.09554561227560043,0.013786476105451584,56
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,32,0.753066080907926,0.6075882579187698,0.33868861448053,0.08511265367269516,0.10025768727064133,0.015145033597946167,56
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,33,0.7653304045396302,0.5905619154562888,0.4501493734191172,0.09952358901500702,0.1144433543086052,0.014919763430953026,56
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,34,0.7259747391543108,0.5849070566901351,0.3329117031564238,0.08462006598711014,0.09758532792329788,0.012965263798832893,56
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,35,0.7162731100128135,0.5795682191761486,0.5061106542890359,0.15292774140834808,0.1716633290052414,0.01873558945953846,56
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,36,0.7369577155409116,0.5635000007393419,0.40403477261175536,0.10042048990726471,0.11334691196680069,0.012926418334245682,56
36,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,37,0.7878455061321619,0.5238307573086696,0.4402885950503073,0.10659446567296982,0.1385471075773239,0.031952641904354095,56
37,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,38,0.7512355848434926,0.5344603550381751,0.48589636509838907,0.15536867082118988,0.1804688572883606,0.025100186467170715,56
38,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,39,0.695405454878272,0.5736255079813268,0.3807995572511572,0.1364421844482422,0.1528405100107193,0.016398321837186813,56
39,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,40,0.6641039721764598,0.6170003231980267,0.45787135589884465,0.2102479189634323,0.23302118480205536,0.022773267701268196,56
40,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,41,0.6445176642870217,0.6672286934070671,0.37388699237490075,0.14350351691246033,0.15957166254520416,0.01606813818216324,56
41,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,42,0.6304228445908842,0.7025310553359427,0.48719079282600425,0.20375679433345795,0.2261887639760971,0.02243197336792946,56
42,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,43,0.6263957532491305,0.7194981173139017,0.45380064252364843,0.1751737892627716,0.19803044199943542,0.022856658324599266,56
43,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,44,0.6399414241259381,0.6976117812871584,0.40349183035016595,0.21912983059883118,0.2520683705806732,0.03293854370713234,56
44,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,45,0.6490939044481054,0.6746132091058644,0.3407776238588017,0.20863103866577148,0.23555885255336761,0.02692781202495098,56
45,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,0.1,SGD,0.01,46,0.6943071572396119,0.6288835306380539,0.4506903289318351,0.2759976089000702,0.3174649178981781,0.04146731644868851,56
