,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,1,0.4946000366099213,0.7038264216999708,0.6329934844481094,0.0004756474227178,0.0004805822100024,4.934800017508678e-06,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,2,0.4946000366099213,0.6986981388590521,0.6515809261905295,0.0005880727549083,0.0006498207803815,6.174803274916485e-05,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,3,0.4946000366099213,0.6937856682921224,0.6421291895210742,0.000585670932196,0.0006064801127649,2.080916237900965e-05,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,4,0.5053999633900788,0.6930289042467254,0.6420621753271137,0.0005172764649614,0.0005208263755775,3.549930625013076e-06,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,5,0.5053999633900788,0.6973714777875261,0.6364971881998438,0.0005262409104034,0.0005478232051245,2.1582276531262323e-05,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,6,0.5053999633900788,0.7147170130277971,0.60969891606697,0.0005873289774172,0.0006147131207399,2.7384117856854573e-05,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,7,0.5053999633900788,0.7105070605634072,0.6927123201212713,0.0005689204554073,0.0008691308903507,0.0003002104349434,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,8,0.4947830862163646,0.6933699504173693,0.7216418227979116,0.0003205341054126,0.0010022426722571,0.0006817085668444,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,9,0.4946000366099213,0.7182342218968739,0.6243464503969465,0.0007079804781824,0.0007214481593109,1.3467682947521098e-05,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,10,0.4946000366099213,0.7926479378172454,0.5887456654970135,0.0005825729458592,0.0006066675414331,2.4094575564959086e-05,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,11,0.4946000366099213,0.7818595892252022,0.770945174193808,0.0005476572550833,0.0012647177791222,0.0007170605240389,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,12,0.4946000366099213,0.7260158009183529,0.6767653199977108,0.0007408854435198,0.0009991900296881,0.0002583045861683,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,13,0.5053999633900788,0.6932388851269098,0.6633614226643528,0.0007570572197437,0.0010652027558535,0.0003081455652136,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,14,0.5053999633900788,0.7388815110546604,0.6335926353931426,0.0006007591146044,0.0006138318567536,1.307276397710666e-05,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,15,0.5053999633900788,0.7877472846347452,0.6691564899470125,0.0005290126428008,0.0006695903721265,0.0001405777438776,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,16,0.5053999633900788,0.7774552322411432,0.6717563637665339,0.0007359060691669,0.0009752567857503,0.0002393507456872,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,17,0.5053999633900788,0.7092984805693564,0.6933968398453934,0.0009091674583032,0.0013898807810619,0.0004807133227586,56,-1
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,18,0.4949661358228079,0.692428279673547,0.6080096459282296,0.0008446542196907,0.0008715233998373,2.6869203793467022e-05,56,-1
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,19,0.4946000366099213,0.748900941359002,0.6347156291029282,0.0004578844527713,0.0005140706780366,5.618623981717974e-05,56,-1
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,20,0.4946000366099213,0.8488526937291353,0.6267668796969311,0.0004943904932588,0.0005186912603676,2.430073982395697e-05,56,-1
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,21,0.4946000366099213,0.7918447959475426,0.7855168796809656,0.0007921007927507,0.0018311971798539,0.0010390963871032,56,-1
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,22,0.4946000366099213,0.7228301763534546,0.6255225070619158,0.0007964555989019,0.0009095343993976,0.0001130788150476,56,-1
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,23,0.5033864177192019,0.6907583023932807,0.6196455025779349,0.0006902027525939,0.0007181295659393,2.792681334540248e-05,56,-1
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,24,0.5053999633900788,0.7011799371609052,0.5965332273926054,0.0009381432901136,0.0009523953194729,1.425205573468702e-05,56,-1
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,25,0.5053999633900788,0.7019730811586841,0.6310944267681667,0.0008246245561167,0.0011576503748074,0.0003330257895868,56,-1
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,26,0.5053999633900788,0.7478582449748261,0.5382198370727045,0.0005522476276382,0.0008116693352349,0.0002594217075966,56,-1
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,27,0.5053999633900788,0.7549947143299164,0.6407687087144172,0.000779413501732,0.0009928946383297,0.0002134811657015,56,-1
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,28,0.5253523704924035,0.6852172452569183,0.6921419894056661,0.0006078251753933,0.0013853949494659,0.0007775697740726,56,-1
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,29,0.4946000366099213,0.7545192945492215,0.5924650274749312,0.000852885947097,0.0008943497086875,4.146375431446359e-05,56,-1
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,30,0.4946000366099213,0.9469525735732576,0.5751076021098666,0.0006854282109998,0.0007001007325015,1.4672506040369626e-05,56,-1
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,31,0.4946000366099213,0.7950245556946555,0.7500654386090381,0.0009151475969702,0.0026335972361266,0.0017184496391564,56,-1
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,32,0.5053999633900788,0.7181779907615433,0.6270279120121683,0.0010871547274291,0.0021847335156053,0.0010975787881761,56,-1
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,33,0.5053999633900788,1.0783458345107415,0.5576673900974648,0.0006887671770527,0.0007198001840151,3.1033032428240404e-05,56,-1
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,34,0.5053999633900788,1.2639867325434748,0.590860176419041,0.0011697357986122,0.0014664301415905,0.0002966943720821,56,-1
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,35,0.5053999633900788,0.9372248391717628,0.8784594493385937,0.00077995355241,0.0021124645136296,0.0013325109612196,56,-1
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,36,0.5053999633900788,0.7205386181876041,0.8531747494558137,0.00091060961131,0.001865358906798,0.0009547492954879,56,-1
36,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,37,0.4946000366099213,0.6891535709927058,0.8314075496047735,0.0002362801460549,0.0012362063862383,0.0009999262401834,56,-1
37,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,38,0.4946000366099213,0.7268697890844387,0.6465822468378715,0.0002729383704718,0.0002994805399794,2.654218224051874e-05,56,-1
38,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,39,0.4946000366099213,0.7652226885014363,0.7079009027619448,0.0004256979445926,0.0005360057111829,0.0001103077738662,56,-1
39,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,40,0.4946000366099213,0.7842167971074843,0.7604311107524804,0.0003347499296069,0.0004781101888511,0.0001433602592442,56,-1
40,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,41,0.4946000366099213,0.7907296650406208,0.670392439940146,0.0003484707849565,0.0003909970109816,4.2526233301032335e-05,56,-1
41,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,42,0.4946000366099213,0.7708708749508614,0.8341001980006695,0.0002963259757962,0.0004989650915376,0.0002026391157414,56,-1
42,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,0.0001,43,0.4946000366099213,0.7467432540471871,0.7348339767594424,0.0002683002967387,0.0003415356914047,7.323540194192901e-05,56,-1
