,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_momentum,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,1,0.4946000366099213,0.7023148997461813,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,2,0.4946000366099213,0.7017151470763792,0.7046787109758172,7.642673153895885e-06,8.359385901712812e-06,7.167129183471843e-07,56
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,3,0.4946000366099213,0.7006742102509885,0.6979579780782973,7.51445895730285e-06,7.910598469607066e-06,3.9613971125618264e-07,56
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,4,0.4946000366099213,0.6996031194968942,0.687955888254302,6.426867457776098e-06,6.497746653622016e-06,7.087913900249987e-08,56
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,5,0.4946000366099213,0.697979647453498,0.709708573403103,6.336588285194011e-06,7.486006779799936e-06,1.1494183809190872e-06,56
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,6,0.4946000366099213,0.6959686312459049,0.7121589212545328,6.737579496984836e-06,8.690280083101243e-06,1.9527008134900825e-06,56
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,7,0.4946000366099213,0.6948183183265116,0.6767725278224264,6.14826876699226e-06,6.474089786934201e-06,3.258209062551032e-07,56
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,8,0.4946000366099213,0.6945557818580337,0.6682871792997633,3.3911132959474344e-06,5.994209914206294e-06,2.60309661825886e-06,56
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,9,0.4946000366099213,0.6941920070313081,0.6911141461559704,7.453768830600893e-06,7.646455742360558e-06,1.926870538682124e-07,56
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,10,0.4946000366099213,0.6942439568863082,0.6779396368988924,5.8533660194370896e-06,7.110552814992843e-06,1.2571865681820782e-06,56
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,11,0.4946000366099213,0.6939552520588586,0.6979684891445296,5.097195298731094e-06,6.2599060584034305e-06,1.1627107596723363e-06,56
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,12,0.4946000366099213,0.6937036080555895,0.6875442702855382,6.936640147614526e-06,6.951256636966718e-06,1.461628151844252e-08,56
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,13,0.4942339373970346,0.6933472983833637,0.69143410846591,7.08641482560779e-06,7.766763701511081e-06,6.803487622164539e-07,56
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,14,0.5006406736225517,0.6931240173768508,0.6884415916034153,5.572756890614983e-06,5.5758896451152395e-06,3.1328040162037496e-09,56
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,15,0.513454146073586,0.6930021807704104,0.6890203225825514,4.705023911810713e-06,4.722564426629106e-06,1.7540513042035855e-08,56
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,0.9,1.0,SGD,1e-05,16,0.5053999633900788,0.6929757434487518,0.689157222211361,6.056882739358116e-06,6.092360763432225e-06,3.5478159077229066e-08,56
