,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,1,0.4946000366099213,0.7038264216999708,0.6329934844481094,0.0004756474227178,0.0004805822100024,4.934800017508678e-06,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,2,0.4946000366099213,0.6976180371567934,0.6515809261905295,0.0005880727549083,0.0006498207803815,6.174803274916485e-05,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,3,0.4946000366099213,0.6954568871467389,0.6416139078991755,0.0005836396594531,0.0006008790223859,1.7239353837794624e-05,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,4,0.4946000366099213,0.6954869250078327,0.6427676656416484,0.0005061299307271,0.0005080035771243,1.873621158665628e-06,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,5,0.4986271279516749,0.6931475249949521,0.6501506681420974,0.0004992084577679,0.0005604144535027,6.120602483861148e-05,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,6,0.5053999633900788,0.6939081674438968,0.632167308564697,0.0005429815500974,0.0006289431476034,8.596159022999927e-05,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,7,0.4940508877905912,0.6932874737337428,0.652055478787848,0.0005047779413871,0.0006085605127736,0.0001037825568346,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,8,0.4946000366099213,0.7021340614356548,0.6384276884474925,0.000275976024568,0.0005326757091097,0.0002566996845416,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,9,0.4946000366099213,0.6967788876237492,0.6464890143701008,0.0006148942629806,0.0006660188082605,5.112452708999626e-05,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,10,0.4946000366099213,0.7040785157488519,0.6187195396316904,0.0004827521042898,0.0005628261715173,8.00740672275424e-05,56,-1
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,11,0.4946000366099213,0.6943027440834884,0.6779914900128331,0.000428773695603,0.0006214781897142,0.0001927044941112,56,-1
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,12,0.4946000366099213,0.6938884758320943,0.637191868679864,0.000576306018047,0.0005800020880997,3.696070507430704e-06,56,-1
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,13,0.5053999633900788,0.6929655764497391,0.6345751394650767,0.0006042759632691,0.0006695305346511,6.525456410599872e-05,56,-1
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,14,0.5066813106351822,0.6928847841427581,0.6469769091478417,0.0004834848223254,0.0004876266757491,4.141852969041793e-06,56,-1
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,15,0.5066813106351822,0.6928785603880707,0.6532459457537957,0.0004050171992275,0.0004063674423377,1.3502294677891769e-06,56,-1
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,16,0.5053999633900788,0.6929355783832545,0.6423342914453574,0.0005273867864161,0.0005307778483256,3.39103917212924e-06,56,-1
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,0.0001,17,0.4942339373970346,0.6933138473491194,0.6271783660565105,0.0006800887640565,0.0007196124643087,3.9523718442069367e-05,56,-1
