,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,1,0.4946000366099213,0.7023148997461813,0.6738507838121482,6.222016963874921e-06,6.260657301027095e-06,3.8640411759161e-08,56,-1
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,2,0.4946000366099213,0.7015723336493462,0.7046787109758172,7.642673153895885e-06,8.359385901712812e-06,7.167129183471843e-07,56,-1
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,3,0.4946000366099213,0.7010465507800547,0.6977775569472995,7.578667009511264e-06,7.974686923262198e-06,3.960198853292241e-07,56,-1
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,4,0.4946000366099213,0.7008278029554934,0.6881638580134937,6.4296832533727866e-06,6.507805665023625e-06,7.812239743998363e-08,56,-1
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,5,0.4946000366099213,0.6999336259431406,0.7126897271190371,6.326159564196132e-06,7.5805996857525315e-06,1.2544401215563994e-06,56,-1
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,6,0.4946000366099213,0.6988403304953177,0.7190638867872102,6.715570634696633e-06,8.906888069759589e-06,2.1913172076892806e-06,56,-1
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,7,0.4946000366099213,0.6991470670804796,0.672651648095676,6.168113031890243e-06,6.354911874950631e-06,1.867987435844043e-07,56,-1
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,8,0.4946000366099213,0.7001864931070263,0.6480968594551088,3.366706096130656e-06,5.254350526229246e-06,1.8876444300985893e-06,56,-1
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,9,0.4946000366099213,0.6996150220121158,0.7012385647211757,7.509026090701809e-06,8.061021617322695e-06,5.519956971511419e-07,56,-1
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,False,0.0,,SGD,1.0,SGD,1e-05,10,0.4946000366099213,0.7002406012086883,0.6608695865741797,5.911142579861917e-06,6.573251539521152e-06,6.621090733460733e-07,56,-1
