,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,1,0.4946000366099213,0.7811987087632343,0.5074681969226471,0.0082702198997139,0.0089406734332442,0.0006704531260766,56,10
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,2,0.7431814021599854,0.6080278180877775,0.3832201373320291,0.0439952164888381,0.0569554343819618,0.0129602197557687,392,10
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,3,0.7814387699066447,0.5311959081194412,0.3477798621793876,0.0327178835868835,0.0445199497044086,0.0118020642548799,224,10
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,4,0.8002928793703094,0.4948097720174978,0.3553002392828819,0.0444907546043396,0.05312005802989,0.0086293034255504,168,10
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,5,0.8295808164012447,0.4456223515005534,0.2895590757391239,0.0791908651590347,0.0976799353957176,0.0184890683740377,336,10
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,6,0.8552077613033132,0.3951843203254055,0.2050548814657045,0.0714989304542541,0.0854136794805526,0.0139147527515888,336,10
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,7,0.8451400329489291,0.4391540065980455,0.2415318876892394,0.0742522552609443,0.0880905464291572,0.0138382939621806,280,10
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,8,0.8250045762401611,0.5224166720734683,0.2253879416444605,0.0816428363323211,0.0953564643859863,0.0137136289849877,280,10
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,9,0.8628958447739338,0.373414888979368,0.1937375535764399,0.0967058911919593,0.1132495552301406,0.0165436659008264,336,10
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,10,0.8497162731100129,0.4620066501369282,0.2005503388582396,0.085911214351654,0.0991902276873588,0.0132790170609951,280,10
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,11,0.8716822258832143,0.3423756346383335,0.2266112702102067,0.0919778868556022,0.1064731255173683,0.0144952377304434,280,10
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,12,0.8735127219476478,0.3596686158400154,0.2024221620570668,0.0917340666055679,0.1042745262384414,0.0125404568389058,280,10
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,13,0.876807614863628,0.3607501524506003,0.1553573365755992,0.1005270779132843,0.114418126642704,0.0138910487294197,336,10
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,14,0.8788211605345049,0.3342864345513709,0.2114574733127873,0.1034353375434875,0.1175953671336174,0.0141600277274847,280,10
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,15,0.8801025077796083,0.3545503274511715,0.207549188112524,0.110568419098854,0.1252664178609848,0.0146979987621307,280,10
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,16,0.8793703093538349,0.3670266193411372,0.1613600119734265,0.1245106235146522,0.1417238712310791,0.017213249579072,336,10
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,17,0.8733296723412045,0.3765209104683752,0.1449896887738543,0.1095760762691497,0.1236845776438713,0.0141085013747215,336,10
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,18,0.8802855573860516,0.3353977292683384,0.1532004501029898,0.0975567102432251,0.1104505807161331,0.0128938732668757,280,10
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,19,0.8801025077796083,0.3234274150690508,0.2328396059271264,0.0998352319002151,0.1130092516541481,0.0131740234792232,224,10
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,20,0.882116053450485,0.3636998697463559,0.1834760620991887,0.1388089656829834,0.1575497835874557,0.0187408160418272,336,10
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adagrad,0.0001,SGD,0.001,21,0.8844956983342486,0.3450266022615593,0.1403568204431004,0.115491934120655,0.1299497187137603,0.0144577836617827,336,10
