,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,1,0.4946000366099213,0.7797373556375155,0.5074681969226471,0.0082702198997139,0.0089406734332442,0.0006704531260766,56,10
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,2,0.6921105619622918,0.6650581696721156,0.3843096206298079,0.0418768525123596,0.0520254746079444,0.0101486202329397,448,10
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,3,0.742449203734212,0.531181864473167,0.3727503392943097,0.027892468497157,0.0375889651477336,0.0096964966505765,224,10
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,4,0.8196961376533041,0.4777165624868032,0.3489132872641286,0.0410873591899871,0.053764522075653,0.0126771610230207,224,10
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,5,0.8213435841112942,0.5288806172540496,0.346523733542043,0.0512843653559684,0.0609893687069416,0.0097050033509731,224,10
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,6,0.8405637927878455,0.4302223094522211,0.2245849454145562,0.0737456828355789,0.0879513993859291,0.0142057193443179,336,10
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,7,0.8497162731100129,0.3769238923374962,0.2513590547768815,0.0666483119130134,0.079188272356987,0.0125399613752961,280,10
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,8,0.8365367014460919,0.4415581149579534,0.2367548828120509,0.0741773024201393,0.0883068963885307,0.0141295948997139,280,10
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,9,0.8304960644334615,0.5077620223580449,0.1970470427748208,0.0899343863129615,0.1047886162996292,0.014854229055345,336,10
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,10,0.8266520226981512,0.5653058966276772,0.1936394128263263,0.0812437385320663,0.093177817761898,0.0119340829551219,280,10
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,AdamW,0.0001,SGD,0.001,11,0.8455061321618158,0.4561408269410001,0.226386630089889,0.1046430766582489,0.1186616942286491,0.0140186203643679,224,10
