,checkpoint,ds_path,ds_name,num_labels,num_clients,clients_per_round,alpha,batch_size,local_epochs,total_rounds,fda,theta,extras,server_opt_name,server_opt_lr,client_opt_name,client_opt_lr,round,accuracy,testing_loss,training_loss,variance,avg_norm_sq_drifts,norm_sq_avg_drift,round_steps,max_epochs
0,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,1,0.4946000366099213,0.779737711869082,0.5074681969226471,0.0082702198997139,0.0089406734332442,0.0006704531260766,56,10
1,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,2,0.6144975288303131,0.6384935138602557,0.3739001723521921,0.0479057841002941,0.0670894533395767,0.0191836692392826,504,10
2,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,3,0.7512355848434926,0.5874171904445044,0.3401685672912988,0.0304402038455009,0.0457987934350967,0.0153585895895957,224,10
3,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,4,0.7402526084568918,0.8670724978013234,0.3369273814522394,0.0419519729912281,0.0552351661026477,0.0132831921800971,224,10
4,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,5,0.7955335896027823,0.6614829356854408,0.3263744527776725,0.0621743835508823,0.0742298513650894,0.0120554687455296,280,10
5,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,6,0.841845140032949,0.4517132511926954,0.22414361217511,0.071378543972969,0.0855266004800796,0.014148055575788,336,10
6,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,7,0.8541094636646531,0.3853164652899715,0.2525553121614419,0.067023292183876,0.0795333459973335,0.0125100556761026,280,10
7,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,8,0.841845140032949,0.4060529738413729,0.2339841758670186,0.0729371905326843,0.0858457386493682,0.0129085518419742,280,10
8,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,9,0.8383671975105254,0.473064824044609,0.1931432666024194,0.0857532694935798,0.1004553213715553,0.0147020500153303,336,10
9,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,10,0.829763866007688,0.560547769506016,0.194178387194822,0.0791327655315399,0.090203508734703,0.0110707413405179,280,10
10,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,11,0.8544755628775398,0.487502947286055,0.2110145290288451,0.087573304772377,0.1006697639822959,0.0130964573472738,280,10
11,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,12,0.8696686802123376,0.4214833895503686,0.1926368808793735,0.1001640558242797,0.1135048419237136,0.0133407888934016,280,10
12,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,13,0.8650924400512539,0.4297043711697345,0.1413984913891562,0.1117223873734474,0.1258962303400039,0.0141738457605242,336,10
13,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,14,0.8586857038257367,0.4323653052329177,0.1958836331656701,0.1109920293092727,0.125447615981102,0.0144555903971195,280,10
14,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,15,0.8639941424125938,0.4115737342176138,0.1982021319248763,0.1153757274150848,0.1308253854513168,0.0154496561735868,280,10
15,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,16,0.8696686802123376,0.4082319922653186,0.1519723810833447,0.1314703971147537,0.1479284614324569,0.016458062455058,336,10
16,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,17,0.8755262676185246,0.4345129744325646,0.1299333354667483,0.1145035997033119,0.1284428685903549,0.0139392707496881,336,10
17,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,18,0.876258466044298,0.446957547399304,0.1447085660500202,0.1003301963210105,0.1130982190370559,0.0127680208534002,280,10
18,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,19,0.8766245652571847,0.4164474397378879,0.2384746608653845,0.1101770773530006,0.1241962239146232,0.0140191437676548,224,10
19,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,20,0.8747940691927513,0.3912846903885288,0.1859703737734734,0.1429845243692398,0.1597127765417099,0.0167282540351152,280,10
20,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,21,0.880468606992495,0.3568488486724092,0.1192902439243156,0.1441687643527984,0.1619666069746017,0.0177978351712226,392,10
21,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,22,0.8822991030569284,0.3531223886437021,0.1276603957379501,0.1126263514161109,0.126269593834877,0.013643242418766,336,10
22,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,23,0.8848617975471352,0.3597947599863672,0.1411416412401844,0.1058356612920761,0.1185693368315696,0.0127336736768484,280,10
23,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,24,0.890536335346879,0.3772597012170052,0.1023459238698359,0.1103143021464347,0.1233618259429931,0.0130475237965583,336,10
24,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,25,0.8909024345597657,0.3974015568491272,0.0867541634209503,0.1038459986448288,0.1164761781692504,0.0126301813870668,336,10
25,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,26,0.8934651290499726,0.4045955411262986,0.082204385967123,0.0977031737565994,0.1098560467362403,0.0121528748422861,336,10
26,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,27,0.891085484166209,0.3845646848760976,0.1333438645171814,0.0940313190221786,0.1053528413176536,0.0113215260207653,224,10
27,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,28,0.8951125755079626,0.3376390501230581,0.1209362460729816,0.127137079834938,0.1433824896812439,0.0162454117089509,280,10
28,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,29,0.8949295259015193,0.3246228429079765,0.0960900776872185,0.1426017582416534,0.1589220464229583,0.0163202919065952,392,10
29,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,30,0.8855939959729087,0.3611588363108221,0.1006820977070068,0.1196452528238296,0.1337041705846786,0.0140589196234941,336,10
30,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,31,0.8846787479406919,0.3890246154336834,0.0912851369165201,0.1132804974913597,0.1279825717210769,0.0147020742297172,336,10
31,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,32,0.8901702361339923,0.382199797854574,0.0613051552208255,0.1024737805128097,0.115442119538784,0.0129683408886194,392,10
32,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,33,0.8962108731466227,0.3417153587527498,0.1668719454670801,0.0762935429811477,0.0859997346997261,0.0097061898559331,112,10
33,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,34,0.8963939227530661,0.3562170854153652,0.0516297559725301,0.126625120639801,0.1411521285772323,0.0145270098000764,560,10
34,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,35,0.890536335346879,0.3863461963506143,0.1346134083311924,0.0691513642668724,0.0776892602443695,0.0085378987714648,168,10
35,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,36,0.8912685337726524,0.3790551847462933,0.0707393381513698,0.1159624233841896,0.1310817152261734,0.0151192946359515,336,10
36,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,37,0.9004210140948197,0.3450529733399171,0.0938980409214647,0.1075111851096153,0.1235595867037773,0.0160484015941619,280,10
37,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,38,0.8914515833790957,0.4065185781288926,0.1034224854297644,0.1131675988435745,0.1272277981042862,0.0140602011233568,280,10
38,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,39,0.8725974739154311,0.5605864453602972,0.0558385349980415,0.1174421608448028,0.1309776157140731,0.0135354558005929,504,10
39,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,40,0.8546586124839831,0.6237846028841562,0.1529490279031354,0.068470224738121,0.0780209824442863,0.0095507577061653,168,10
40,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,41,0.8488010250777961,0.6477782226140859,0.0428088054303017,0.1154608950018882,0.1294815391302108,0.0140206441283226,560,10
41,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,42,0.8606992494966136,0.5289132880570406,0.1391452836757664,0.069531999528408,0.0799304619431495,0.0103984614834189,168,10
42,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,43,0.8837634999084752,0.4171777213800059,0.0633880578691397,0.1225073635578155,0.1377581059932708,0.0152507461607456,448,10
43,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,44,0.9009701629141498,0.3177370533914207,0.0970963441185761,0.0788456127047538,0.0890058055520057,0.0101601919159293,224,10
44,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,45,0.9075599487461102,0.3056238680136408,0.0438898853975554,0.0988210067152977,0.1111494675278663,0.0123284617438912,504,10
45,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,46,0.9088412959912135,0.308074909734327,0.121690175955709,0.0623523518443107,0.0699234828352928,0.0075711291283369,168,10
46,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,47,0.9077429983525536,0.3274581288114513,0.0774634411760973,0.1137019470334053,0.1268866062164306,0.0131846563890576,392,10
47,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,48,0.9082921471718836,0.3361435450692245,0.0604298310374534,0.0828563198447227,0.0923817306756973,0.0095254136249423,336,10
48,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,49,0.9093904448105437,0.3120326611793247,0.139818845844803,0.0780783742666244,0.0883326157927513,0.0102542424574494,168,10
49,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,50,0.909024345597657,0.3038407473526295,0.0606463168620278,0.1411026269197464,0.157830461859703,0.0167278293520212,504,10
50,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,51,0.90536335346879,0.3179558297925346,0.0658233381762277,0.0785566344857215,0.0873221233487129,0.0087654907256364,280,10
51,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,52,0.9038989566172432,0.3385630325473215,0.0590955505579664,0.0860909968614578,0.0958551093935966,0.0097641153261065,280,10
52,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,53,0.9017023613399232,0.3583619053605354,0.0437984886782422,0.0870096981525421,0.0972331836819648,0.0102234873920679,336,10
53,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,54,0.90316675819147,0.3681957125903661,0.041531731489353,0.0810019746422767,0.0901208817958831,0.0091189090162515,336,10
54,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,55,0.9051803038623468,0.3656921991009507,0.0696368834502664,0.0750070288777351,0.0836272463202476,0.0086202174425125,224,10
55,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,56,0.9081090975654402,0.3512344934370714,0.077175748865719,0.1038512364029884,0.1161629781126976,0.0123117389157414,224,10
56,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,57,0.9110378912685336,0.3379095848191664,0.0557990669281786,0.1295944154262542,0.1450413763523101,0.015446956269443,392,10
57,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,58,0.9130514369394106,0.3260114265957013,0.0568802624950279,0.1032422110438346,0.115864597260952,0.012622389011085,280,10
58,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,59,0.9134175361522971,0.3253480746030434,0.0546597964540783,0.1025453358888626,0.1152354031801223,0.0126900672912597,336,10
59,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,60,0.9145158337909574,0.3252794591870916,0.0610356017353998,0.0869700461626052,0.0964231044054031,0.0094530610367655,280,10
60,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,61,0.9139666849716274,0.3279011636645126,0.0507278797144603,0.0982663631439209,0.1102518066763877,0.0119854463264346,336,10
61,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,62,0.9130514369394106,0.3323351238488365,0.0484070465711803,0.0888163521885871,0.0990012288093566,0.0101848784834146,336,10
62,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,63,0.9134175361522971,0.3312587788323883,0.0533766064223614,0.0812348127365112,0.0907587856054306,0.009523969143629,336,10
63,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,64,0.9141497345780708,0.3258594591568117,0.0596437416490568,0.0726178437471389,0.0810521617531776,0.0084343198686838,280,10
64,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,65,0.9128683873329672,0.3247721062216442,0.0503589637837857,0.0794818997383117,0.0883546024560928,0.0088727064430713,280,10
65,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,66,0.9121361889071938,0.3281584380904115,0.0287731055425215,0.084540382027626,0.0944157764315605,0.0098753962665796,504,10
66,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,67,0.9117700896943072,0.3199735538799473,0.076289720508352,0.0474278219044208,0.0534205250442028,0.0059927031397819,112,10
67,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,68,0.9112209408749772,0.3266676185135903,0.0330897963310703,0.1116426214575767,0.1245753169059753,0.0129326963797211,560,10
68,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,69,0.9114039904814204,0.3236752979957299,0.0361937972826854,0.0577619448304176,0.0642678067088127,0.0065058600157499,280,10
69,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,70,0.913234486545854,0.299884264013639,0.0866449800663758,0.063118852674961,0.0706655606627464,0.0075467061251401,168,10
70,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,71,0.9119531393007504,0.2919897544977107,0.0528928264517205,0.1061206683516502,0.1190361902117729,0.0129155199974775,336,10
71,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,72,0.913234486545854,0.2946269501253415,0.0510288051287543,0.0900433585047721,0.1007646918296814,0.0107213342562317,336,10
72,roberta-base,glue,qnli,2,250,10,1.0,8,1,200,True,1.0,,Adam,0.0001,SGD,0.001,73,0.9103056928427604,0.3109412607247276,0.0732736397139563,0.0791637524962425,0.0891417935490608,0.0099780382588505,224,10
